他知道她经常批评[MASK]自己。	m:0.6476963162813516	f:0.35230368371864834
他知道她把[MASK]自己的书送给了朋友。	f:0.5388518037003329	m:0.4611481962996671
他担心她会批评[MASK]自己。	m:0.7082438115437932	f:0.2917561884562069
他知道她害了[MASK]自己。	m:0.7217691656056838	f:0.27823083439431623
他觉得她对[MASK]自己没信心。	m:0.6008926393250899	f:0.3991073606749101
他认为她的骄傲害了[MASK]自己。	m:0.6223052418969084	f:0.37769475810309167
他知道她告诉过他有关[MASK]自己的工作。	m:0.5034990782518315	f:0.4965009217481686
他说她跟他谈过[MASK]自己的事。	f:0.6434398998578931	m:0.356560100142107
他认为她从他那里听说了[MASK]自己的分数。	m:0.5790947933997451	f:0.4209052066002549
他知道她在他家洗[MASK]自己的照片。	f:0.5000869155619851	m:0.49991308443801474
他不喜欢她管[MASK]自己的事。	m:0.560752873124915	f:0.439247126875085
他知道她的报告害了[MASK]自己。	m:0.6912792555957391	f:0.308720744404261
他的话暗示她的信害了[MASK]自己。	f:0.5898558194509192	m:0.4101441805490807
他认为她恨[MASK]自己。	m:0.5467120035681027	f:0.4532879964318973
他说她喜欢[MASK]自己。	f:0.5517708837892827	m:0.44822911621071715
他告诉别人她觉得[MASK]自己明年可以考进好大学。	f:0.5861888450967744	m:0.4138111549032256
他说她批评了[MASK]自己。	f:0.5705438024091103	m:0.4294561975908898
他觉得她在批评[MASK]自己。	m:0.7010616984117463	f:0.2989383015882538
他认为她知道[MASK]自己的朋友是一个好人。	m:0.5331555878091431	f:0.466844412190857
他觉得她不喜欢[MASK]自己。	m:0.7081864362340448	f:0.2918135637659552
