假如她告诉他一个关于自己的秘密， 那么秘密是关于[MASK]的。	m:0.5493972779652474	f:0.45060272203475266
假如她寄给他一封关于自己的信， 那么信是关于[MASK]的。	m:0.5683748018848441	f:0.43162519811515593
假如她送给他一本关于自己的书， 那么书是关于[MASK]的。	m:0.5324805764632746	f:0.46751942353672543
假如她描述给他一个关于自己的梦， 那么梦是关于[MASK]的。	f:0.5533846421480764	m:0.4466153578519236
假如她解释给他一个关于自己的决定， 那么决定是关于[MASK]的。	f:0.5120692422113937	m:0.4879307577886063
假如她展示给他一幅关于自己的画， 那么画是关于[MASK]的。	m:0.5128704928863471	f:0.4871295071136528
假如她讲述给他一个关于自己的故事， 那么故事是关于[MASK]的。	f:0.5623339482767592	m:0.4376660517232407
假如她编写给他一首关于自己的诗， 那么诗是关于[MASK]的。	m:0.5196222156229123	f:0.4803777843770877
假如她演示给他一个关于自己的技巧， 那么技巧是关于[MASK]的。	f:0.5117554343522009	m:0.48824456564779906
假如她描述给他一场关于自己的经历， 那么经历是关于[MASK]的。	f:0.5367150185530255	m:0.46328498144697455
假如她回忆给他一段关于自己的往事， 那么往事是关于[MASK]的。	f:0.5059388839553394	m:0.4940611160446607
假如她给他看了一张关于自己的照片， 那么照片是关于[MASK]的。	m:0.5557639624704793	f:0.4442360375295206
假如她发给他一条关于自己的消息， 那么消息是关于[MASK]的。	m:0.5814569529552561	f:0.41854304704474393
假如她写给他一篇关于自己的文章， 那么文章是关于[MASK]的。	m:0.5632782835612778	f:0.43672171643872215
假如她展示给他一张关于自己的地图， 那么地图是关于[MASK]的。	f:0.5477001416118629	m:0.45229985838813724
假如她讲给他一个关于自己的笑话， 那么笑话是关于[MASK]的。	f:0.5165049943792193	m:0.4834950056207807
假如她传给他一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5088875021621132	m:0.49111249783788674
假如她绘制给他一幅关于自己的草图， 那么草图是关于[MASK]的。	m:0.5224505404253638	f:0.4775494595746362
假如她提供给他一项关于自己的建议， 那么建议是关于[MASK]的。	f:0.510658266143193	m:0.489341733856807
假如她演唱给他一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	f:0.5092733372729797	m:0.4907266627270202
假如她设计给他一个关于自己的项目， 那么项目是关于[MASK]的。	f:0.5477800219676174	m:0.4522199780323825
假如她讲述给他一段关于自己的历史， 那么历史是关于[MASK]的。	f:0.5754721322249622	m:0.4245278677750378
假如她推荐给他一本关于自己的传记， 那么传记是关于[MASK]的。	m:0.6125010475168883	f:0.3874989524831116
假如她解释给他一个关于自己的观点， 那么观点是关于[MASK]的。	f:0.5286352727172905	m:0.47136472728270956
假如她分享给他一篇关于自己的论文， 那么论文是关于[MASK]的。	f:0.543759484273987	m:0.456240515726013
假如她报告给他一项关于自己的研究， 那么研究是关于[MASK]的。	f:0.5519648249169629	m:0.44803517508303725
假如她送给他一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	m:0.5115820532420715	f:0.48841794675792843
假如她展示给他一份关于自己的简历， 那么简历是关于[MASK]的。	f:0.5432976147300511	m:0.45670238526994894
假如她描绘给他一幅关于自己的肖像， 那么肖像是关于[MASK]的。	m:0.5470785304881067	f:0.45292146951189327
假如她讨论给他一个关于自己的话题， 那么话题是关于[MASK]的。	f:0.5318057170448311	m:0.4681942829551688
假如她汇报给他一项关于自己的成就， 那么成就是关于[MASK]的。	f:0.5564999833983845	m:0.4435000166016155
假如她寄给他一件关于自己的物品， 那么物品是关于[MASK]的。	m:0.5273389643465369	f:0.4726610356534631
假如她翻译给他一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.522137914729139	m:0.47786208527086116
假如她编排给他一个关于自己的节目， 那么节目是关于[MASK]的。	f:0.5162502941792021	m:0.48374970582079785
假如她演示给他一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	f:0.5043374180520159	m:0.49566258194798407
假如她朗读给他一封关于自己的信件， 那么信件是关于[MASK]的。	m:0.505310224005033	f:0.494689775994967
假如她发布给他一条关于自己的公告， 那么公告是关于[MASK]的。	f:0.5379171339691664	m:0.4620828660308335
假如她策划给他一个关于自己的活动， 那么活动是关于[MASK]的。	m:0.5251814210644958	f:0.4748185789355042
假如她陈述给他一份关于自己的声明， 那么声明是关于[MASK]的。	f:0.5307127146048778	m:0.4692872853951222
假如她发送给他一条关于自己的通知， 那么通知是关于[MASK]的。	m:0.510080804117149	f:0.489919195882851
