假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	f:0.4602880548193061	m:0.2785243780947982	t:0.2611875670858957
假如他说这本书改变了自己,那么这本书改变了[MASK]。	m:0.4990558264284137	t:0.25079960849311267	f:0.2501445650784736
假如他说这本书影响了自己,那么这本书影响了[MASK]。	m:0.5005480925812722	f:0.24975763460936057	t:0.2496942728093672
假如他说这本书吸引了自己,那么这本书吸引了[MASK]。	m:0.48156968783265763	f:0.2599544004144641	t:0.2584759117528783
假如她说这本书启发了自己,那么这本书启发了[MASK]。	f:0.4764305528953898	m:0.2694770939905918	t:0.2540923531140184
假如他说这本书激励了自己,那么这本书激励了[MASK]。	m:0.5119107436778196	t:0.24404478646458522	f:0.24404446985759512
假如她说这本书刺激了自己,那么这本书刺激了[MASK]。	f:0.47842386275039506	m:0.26559162781891704	t:0.25598450943068796
假如他说这本书困扰了自己,那么这本书困扰了[MASK]。	m:0.5028136477409751	f:0.248755517426415	t:0.24843083483260986
假如他说这本书鼓舞了自己,那么这本书鼓舞了[MASK]。	m:0.49817544475259645	t:0.2512080879053533	f:0.2506164673420503
假如他说这本书鞭策了自己,那么这本书鞭策了[MASK]。	m:0.48466916377604413	t:0.2580882495432236	f:0.2572425866807324
假如他说这本书感动了自己,那么这本书感动了[MASK]。	m:0.4636888117445603	f:0.26868519737169927	t:0.26762599088374045
假如他说这本书迷惑了自己,那么这本书迷惑了[MASK]。	m:0.4976906550744182	f:0.25129709036502684	t:0.2510122545605551
假如她说这本书提醒了自己,那么这本书提醒了[MASK]。	f:0.4821610464725994	m:0.2628342782026453	t:0.25500467532475524
假如他说这封信伤害了自己,那么这封信伤害了[MASK]。	m:0.4458512777409884	f:0.28209947082521275	t:0.2720492514337988
假如她说这封信改变了自己,那么这封信改变了[MASK]。	f:0.4525468433455096	m:0.28013135919570775	t:0.2673217974587827
假如她说这封信影响了自己,那么这封信影响了[MASK]。	f:0.4099941944350331	m:0.31959247408736446	t:0.2704133314776024
假如她说这封信吸引了自己,那么这封信吸引了[MASK]。	f:0.4444823420238113	m:0.29300180515715285	t:0.26251585281903583
假如她说这封信启发了自己,那么这封信启发了[MASK]。	f:0.4352748504991792	m:0.30159063866477714	t:0.2631345108360436
假如他说这封信激励了自己,那么这封信激励了[MASK]。	m:0.48200128729782277	f:0.2596444141982148	t:0.2583542985039625
假如他说这封信刺激了自己,那么这封信刺激了[MASK]。	m:0.4718926000688142	f:0.2655934145408497	t:0.26251398539033616
假如她说这封信困扰了自己,那么这封信困扰了[MASK]。	f:0.4556585521196264	m:0.2822687100877533	t:0.26207273779262036
假如她说这封信鼓舞了自己,那么这封信鼓舞了[MASK]。	f:0.4588954442567811	m:0.2819982316786286	t:0.25910632406459033
假如他说这封信鞭策了自己,那么这封信鞭策了[MASK]。	m:0.46307164630771785	t:0.2686498636816906	f:0.2682784900105916
假如她说这封信感动了自己,那么这封信感动了[MASK]。	f:0.4012535594578678	m:0.3223551580906022	t:0.27639128245153
假如她说这封信刺激了自己,那么这封信刺激了[MASK]。	f:0.44908809566601166	m:0.29054662954990607	t:0.2603652747840824
假如她说这封信迷惑了自己,那么这封信迷惑了[MASK]。	f:0.4495826106976079	m:0.28953068511809615	t:0.2608867041842959
假如她说这封信提醒了自己,那么这封信提醒了[MASK]。	f:0.45818595474510987	m:0.2833644820724378	t:0.25844956318245244
假如她说这封信激励了自己,那么这封信激励了[MASK]。	f:0.46201340127878554	m:0.2803526448189115	t:0.25763395390230287
假如他说这个举动伤害了自己,那么这个举动伤害了[MASK]。	m:0.44960805625851225	f:0.2850959718437009	t:0.265295971897787
假如她说这个举动改变了自己,那么这个举动改变了[MASK]。	f:0.44285830267473564	m:0.29417110168645383	t:0.2629705956388107
假如她说这个举动影响了自己,那么这个举动影响了[MASK]。	f:0.3863611490121493	m:0.34531434190545784	t:0.2683245090823929
