假如他说她诬陷自己,那么她诬陷[MASK]。	m:0.6503742090370833	f:0.34962579096291674
假如他说她拥抱自己,那么她拥抱[MASK]。	m:0.6262331002523469	f:0.3737668997476532
假如他说她离开自己,那么她离开[MASK]。	m:0.5954818453980683	f:0.40451815460193186
假如他说她打扰自己,那么她打扰[MASK]。	m:0.6204366556089416	f:0.37956334439105854
假如他说她超过自己,那么她超过[MASK]。	m:0.6313582236695682	f:0.36864177633043194
假如他说她忘了自己,那么她忘了[MASK]。	m:0.6608546509988779	f:0.33914534900112214
假如他说她回答自己,那么她回答[MASK]。	m:0.5942260502422013	f:0.4057739497577987
假如他说她表扬自己,那么她表扬[MASK]。	m:0.6574300202386539	f:0.342569979761346
假如他说她反对自己,那么她反对[MASK]。	m:0.6428451810877662	f:0.3571548189122338
假如他说她调查自己,那么她调查[MASK]。	m:0.5898553003340873	f:0.41014469966591277
假如他说她拜访自己,那么她拜访[MASK]。	m:0.6187585795405898	f:0.3812414204594103
假如他说她偷听自己,那么她偷听[MASK]。	m:0.5747410319806926	f:0.42525896801930735
假如他说她暗恋自己,那么她暗恋[MASK]。	m:0.6768354163227364	f:0.3231645836772636
假如他说她邀请自己,那么她邀请[MASK]。	m:0.6497984731776716	f:0.35020152682232836
假如他说她等待自己,那么她等待[MASK]。	m:0.5917149660793062	f:0.40828503392069376
假如他说她嫉妒自己,那么她嫉妒[MASK]。	m:0.6324408196472194	f:0.3675591803527806
假如他说她羡慕自己,那么她羡慕[MASK]。	m:0.6298150060418438	f:0.3701849939581562
假如他说她搭讪自己,那么她搭讪[MASK]。	m:0.6299321736960407	f:0.3700678263039593
假如他说她监视自己,那么她监视[MASK]。	m:0.6779741659786698	f:0.3220258340213303
假如他说她吵醒自己,那么她吵醒[MASK]。	m:0.615020341236369	f:0.384979658763631
假如他说她激怒自己,那么她激怒[MASK]。	m:0.6375851593359206	f:0.3624148406640794
假如他说她模仿自己,那么她模仿[MASK]。	m:0.6360791031761962	f:0.3639208968238037
假如他说她欺负自己,那么她欺负[MASK]。	m:0.6635272959831127	f:0.3364727040168872
假如他说她追随自己,那么她追随[MASK]。	m:0.6546716454683369	f:0.345328354531663
假如他说她回避自己,那么她回避[MASK]。	m:0.5723918317044653	f:0.4276081682955346
