假如她说他反思自己,那么他反思[MASK]自己。	m:0.5379984476507498	f:0.4620015523492502
假如她说他反省自己,那么他反省[MASK]自己。	m:0.5275828755070475	f:0.47241712449295253
假如她说他坦白自己,那么他坦白[MASK]自己。	m:0.5181217764064527	f:0.48187822359354726
假如她说他迷失自己,那么他迷失[MASK]自己。	f:0.5000257038045448	m:0.4999742961954552
假如她说他克制自己,那么他克制[MASK]自己。	f:0.5059817671278719	m:0.4940182328721281
假如她说他检讨自己,那么他检讨[MASK]自己。	m:0.5168700382679781	f:0.48312996173202194
假如她说他放松自己,那么他放松[MASK]自己。	m:0.5008794758712007	f:0.49912052412879926
假如她说他磨练自己,那么他磨练[MASK]自己。	m:0.5039921821157805	f:0.49600781788421955
假如她说他奉献自己,那么他奉献[MASK]自己。	m:0.502653011368626	f:0.4973469886313741
假如她说他调整自己,那么他调整[MASK]自己。	m:0.5086797612208177	f:0.4913202387791822
假如她说他提升自己,那么他提升[MASK]自己。	f:0.5027974943220624	m:0.49720250567793756
假如她说他炫耀自己,那么他炫耀[MASK]自己。	m:0.5086551677275746	f:0.4913448322724254
假如她说他调节自己,那么他调节[MASK]自己。	m:0.5004952045401025	f:0.4995047954598975
假如她说他坚持自己,那么他坚持[MASK]自己。	m:0.5017808674964535	f:0.4982191325035466
假如她说他交代自己,那么他交代[MASK]自己。	m:0.5031006758293673	f:0.4968993241706327
假如她说他计较自己,那么他计较[MASK]自己。	m:0.5134117274949062	f:0.4865882725050938
假如她说他检讨自己,那么他检讨[MASK]自己。	m:0.5168700382679781	f:0.48312996173202194
假如她说他卖弄自己,那么他卖弄[MASK]自己。	f:0.5127677722416063	m:0.48723222775839375
假如她说他表达自己,那么他表达[MASK]自己。	f:0.5043056585996384	m:0.4956943414003616
假如她说他表现自己,那么他表现[MASK]自己。	m:0.5337482949454296	f:0.46625170505457036
假如她说他扭伤自己,那么他扭伤[MASK]自己。	f:0.5051442406529931	m:0.4948557593470068
