假如她说他诬陷自己,那么他诬陷[MASK]。	f:0.6046601624600078	m:0.39533983753999224
假如她说他拥抱自己,那么他拥抱[MASK]。	f:0.6697281348973985	m:0.3302718651026016
假如她说他离开自己,那么他离开[MASK]。	f:0.614371294782977	m:0.38562870521702286
假如她说他打扰自己,那么他打扰[MASK]。	f:0.6177250673321159	m:0.38227493266788415
假如她说他超过自己,那么他超过[MASK]。	f:0.6555091874244552	m:0.3444908125755448
假如她说他忘了自己,那么他忘了[MASK]。	f:0.6701235861368516	m:0.3298764138631483
假如她说他回答自己,那么他回答[MASK]。	f:0.5944629033248399	m:0.4055370966751602
假如她说他表扬自己,那么他表扬[MASK]。	f:0.6579304224306268	m:0.3420695775693732
假如她说他反对自己,那么他反对[MASK]。	f:0.6252707336689166	m:0.37472926633108333
假如她说他调查自己,那么他调查[MASK]。	f:0.6158034740792984	m:0.38419652592070164
假如她说他拜访自己,那么他拜访[MASK]。	f:0.6424234135003507	m:0.3575765864996494
假如她说他偷听自己,那么他偷听[MASK]。	f:0.5664528071286087	m:0.4335471928713913
假如她说他暗恋自己,那么他暗恋[MASK]。	f:0.6778904215683539	m:0.32210957843164606
假如她说他邀请自己,那么他邀请[MASK]。	f:0.6589517976202236	m:0.3410482023797764
假如她说他等待自己,那么他等待[MASK]。	f:0.6088057969057825	m:0.39119420309421743
假如她说他嫉妒自己,那么他嫉妒[MASK]。	f:0.6564716497524091	m:0.3435283502475908
假如她说他羡慕自己,那么他羡慕[MASK]。	f:0.6533557287082947	m:0.3466442712917052
假如她说他搭讪自己,那么他搭讪[MASK]。	f:0.6484764950668692	m:0.35152350493313067
假如她说他监视自己,那么他监视[MASK]。	f:0.6513881279614342	m:0.34861187203856575
假如她说他吵醒自己,那么他吵醒[MASK]。	f:0.6369005520025343	m:0.36309944799746574
假如她说他激怒自己,那么他激怒[MASK]。	f:0.6318489022603799	m:0.3681510977396201
假如她说他模仿自己,那么他模仿[MASK]。	f:0.645090618823731	m:0.354909381176269
假如她说他欺负自己,那么他欺负[MASK]。	f:0.6584009732893403	m:0.34159902671065967
假如她说他追随自己,那么他追随[MASK]。	f:0.6639915995929645	m:0.3360084004070355
假如她说他回避自己,那么他回避[MASK]。	f:0.6016876099776709	m:0.3983123900223291
假如她说他思念自己,那么他思念[MASK]。	f:0.6480619043693745	m:0.3519380956306256
假如她说他仰慕自己,那么他仰慕[MASK]。	f:0.6437705085126872	m:0.3562294914873128
假如她说他冷落自己,那么他冷落[MASK]。	f:0.6774462284200423	m:0.3225537715799577
假如她说他靠近自己,那么他靠近[MASK]。	f:0.6811469244609779	m:0.3188530755390221
假如她说他辅导自己,那么他辅导[MASK]。	f:0.6570317732041023	m:0.3429682267958978
假如她说他干扰自己,那么他干扰[MASK]。	f:0.644741236185138	m:0.35525876381486193
假如她说他加入自己,那么他加入[MASK]。	f:0.5795260365657569	m:0.4204739634342432
假如她说他接近自己,那么他接近[MASK]。	f:0.6726290764442051	m:0.3273709235557949
假如她说他看望自己,那么他看望[MASK]。	f:0.6246620967424983	m:0.3753379032575018
假如她说他捞自己,那么他捞[MASK]。	f:0.5724778149831197	m:0.4275221850168804
假如她说他欢迎自己,那么他欢迎[MASK]。	f:0.6522250776457399	m:0.3477749223542601
假如她说他勾引自己,那么他勾引[MASK]。	f:0.6718315356621197	m:0.32816846433788033
假如她说他勾结自己,那么他勾结[MASK]。	f:0.6293745045479411	m:0.37062549545205903
假如她说他等自己,那么他等[MASK]。	f:0.5930748457080777	m:0.4069251542919222
假如她说他等候自己,那么他等候[MASK]。	f:0.6184580810040043	m:0.38154191899599554
假如她说他挤自己,那么他挤[MASK]。	f:0.6313873913746585	m:0.36861260862534145
假如她说他排挤自己,那么他排挤[MASK]。	f:0.6731198326747073	m:0.3268801673252927
假如她说他欺压自己,那么他欺压[MASK]。	f:0.6553703395040289	m:0.34462966049597116
假如她说他探望自己,那么他探望[MASK]。	f:0.623231426740039	m:0.376768573259961
假如她说他信任自己,那么他信任[MASK]。	f:0.6429767134182762	m:0.3570232865817237
假如她说他响应自己,那么他响应[MASK]。	f:0.5862827148500329	m:0.41371728514996703
假如她说他学习自己,那么他学习[MASK]。	f:0.5759339107934812	m:0.42406608920651884
假如她说他咬自己,那么他咬[MASK]。	f:0.6507335517984542	m:0.3492664482015458
假如她说他消灭自己,那么他消灭[MASK]。	f:0.5837434688377996	m:0.41625653116220046
假如她说他追赶自己,那么他追赶[MASK]。	f:0.6484050513010945	m:0.3515949486989054
假如她说他追求自己,那么他追求[MASK]。	f:0.642658181960479	m:0.357341818039521
假如她说他阻挡自己,那么他阻挡[MASK]。	f:0.6126778125763895	m:0.38732218742361046
假如她说他孝敬自己,那么他孝敬[MASK]。	f:0.6199111142783097	m:0.3800888857216902
假如她说他赢自己,那么他赢[MASK]。	f:0.5075960053978698	m:0.49240399460213025
假如她说他招呼自己,那么他招呼[MASK]。	f:0.6423527334174817	m:0.35764726658251833
假如她说他指导自己,那么他指导[MASK]。	f:0.6561236255022073	m:0.3438763744977927
假如她说他支援自己,那么他支援[MASK]。	f:0.6364666699685962	m:0.3635333300314037
假如她说他替换自己,那么他替换[MASK]。	f:0.6404545703962399	m:0.3595454296037602
假如她说他通知自己,那么他通知[MASK]。	f:0.6516282955649355	m:0.34837170443506454
假如她说他吸引自己,那么他吸引[MASK]。	f:0.6790348681478953	m:0.3209651318521046
假如她说他影响自己,那么他影响[MASK]。	f:0.6820379315795916	m:0.31796206842040836
假如她说他杀害自己,那么他杀害[MASK]。	f:0.6542436332061197	m:0.34575636679388033
假如她说他赔偿自己,那么他赔偿[MASK]。	f:0.6325807697179944	m:0.3674192302820055
假如她说他衬托自己,那么他衬托[MASK]。	f:0.6409239992746815	m:0.35907600072531853
假如她说他扣留自己,那么他扣留[MASK]。	f:0.6663830691810539	m:0.33361693081894606
假如她说他恐吓自己,那么他恐吓[MASK]。	f:0.6662898411446154	m:0.3337101588553846
假如她说他联络自己,那么他联络[MASK]。	f:0.6521947382061848	m:0.34780526179381516
假如她说他忍受自己,那么他忍受[MASK]。	f:0.5742117777510866	m:0.42578822224891344
假如她说他请示自己,那么他请示[MASK]。	f:0.565898768535814	m:0.434101231464186
假如她说他算计自己,那么他算计[MASK]。	f:0.6304525998737214	m:0.36954740012627857
