he	her	me	it
0.044042617082595825	0.007416246924549341	0.0015054495306685567	0.001446148264221847
0.06623179465532303	0.003609368111938238	0.00309559958986938	0.0012114960700273514
0.03722558915615082	0.0021718619391322136	0.0011171537917107344	0.0012206719256937504
0.04705968499183655	0.0022179645020514727	0.0017792026046663523	0.0004653355572372675
0.2475784569978714	0.003842788515612483	0.012006682343780994	0.002884110901504755
0.08562596887350082	0.0015828905161470175	0.0018172662239521742	0.0017444273689761758
0.04804766923189163	0.0016927962424233556	0.00146193103864789	0.0016177472425624728
0.09099623560905457	0.002111244946718216	0.007574284914880991	0.001018978189677
0.030219489708542824	0.0033650074619799852	0.0007311899680644274	0.0003608003898989409
0.031346406787633896	0.0008203423349186778	0.002265465445816517	0.0012559553142637014
0.06514855474233627	0.004165236372500658	0.003087846329435706	0.0008512796484865248
0.21907471120357513	0.002056076191365719	0.00986249465495348	0.0029683492612093687
0.025234367698431015	0.2742140591144562	0.0008219613810069859	0.00049189617857337
0.05453138053417206	0.5293436050415039	0.0015352695481851697	0.00039934946107678115
0.04271283373236656	0.14389801025390625	0.0010528656421229243	0.0007962285890243948
0.028791574761271477	0.13934364914894104	0.0014527869643643498	0.00018789444584399462
0.05237937346100807	0.3552708923816681	0.0022991602309048176	0.0008063302957452834
0.0394110269844532	0.18674713373184204	0.0012624607188627124	0.0006863513845019042
0.02451956644654274	0.1258726716041565	0.0007160233217291534	0.0006509575759992003
0.03240204229950905	0.2059788703918457	0.003959407098591328	0.00041840560152195394
0.044510263949632645	0.08474432677030563	0.0008946133893914521	0.000514308747369796
0.04622491076588631	0.2531304359436035	0.002095479052513838	0.0009726406424306333
0.05055142194032669	0.3155064880847931	0.0023315984290093184	0.0005098692490719259
0.20538438856601715	0.17867740988731384	0.01023789867758751	0.00239443383179605
0.017389856278896332	0.18171003460884094	0.0008903847192414105	0.00037918981979601085
0.02440749853849411	0.18188564479351044	0.0019477875903248787	0.0002677213051356375
0.026637310162186623	0.08824426680803299	0.0025551302824169397	0.0005496622761711478
