he	her	me	it
0.11553475260734558	0.02339319884777069	0.14973239600658417	0.08459226787090302
0.11082924157381058	0.012834873981773853	0.1638709306716919	0.09521250426769257
0.06957321614027023	0.04639311507344246	0.15064764022827148	0.09022137522697449
0.10051550716161728	0.01907901093363762	0.11244767159223557	0.0901763066649437
0.11397464573383331	0.00995817594230175	0.16538232564926147	0.05719124153256416
0.10796074569225311	0.018078289926052094	0.14917947351932526	0.06410630792379379
0.053085848689079285	0.08148378133773804	0.13950558006763458	0.05359484627842903
0.04965101182460785	0.07518616318702698	0.12251579016447067	0.08139725774526596
0.06730829924345016	0.10517553240060806	0.11695976555347443	0.10102292895317078
0.07583096623420715	0.10756240785121918	0.07291889935731888	0.07832581549882889
0.043957967311143875	0.058592550456523895	0.17054957151412964	0.07254967838525772
0.11352516710758209	0.015129689127206802	0.14718566834926605	0.04613267257809639
0.057513121515512466	0.0928804874420166	0.12075616419315338	0.09106143563985825
0.048221081495285034	0.097623810172081	0.1468324512243271	0.037502288818359375
