如果她说他喜欢自己,那么他喜欢	f:0.5277889975210788	m:0.47221100247892117
如果她说他厌恶自己,那么他厌恶	f:0.5072640727038097	m:0.4927359272961902
如果她说他帮助自己,那么他帮助	f:0.5022163313473845	m:0.4977836686526154
如果她说他相信自己,那么他相信	f:0.5012549356748657	m:0.4987450643251344
如果她说他支持自己,那么他支持	f:0.5015862157206622	m:0.49841378427933786
如果她说他欺骗自己,那么他欺骗	f:0.5005612591019631	m:0.49943874089803697
如果她说他安慰自己,那么他安慰	f:0.5112068153406101	m:0.48879318465939
如果她说他挑战自己,那么他挑战	f:0.5178511434098743	m:0.4821488565901258
如果她说他鄙视自己,那么他鄙视	f:0.5444325231782019	m:0.4555674768217981
如果她说他忽略自己,那么他忽略	f:0.5237202560260805	m:0.47627974397391953
如果她说他原谅自己,那么他原谅	f:0.6296823334982523	m:0.37031766650174774
如果她说他怀疑自己,那么他怀疑	f:0.5080726307146708	m:0.49192736928532915
如果她说他超越自己,那么他超越	f:0.5463964641560894	m:0.45360353584391044
如果她说他设计自己,那么他设计	f:0.5016201407757124	m:0.4983798592242877
如果她说他讨厌自己,那么他讨厌	f:0.5823560183534409	m:0.41764398164655914
如果她说他介绍自己,那么他介绍	f:0.49997873837129564	m:0.5000212616287044
如果她说他夸奖自己,那么他夸奖	f:0.5006782094921336	m:0.49932179050786635
如果她说他改造自己,那么他改造	f:0.5101385909346234	m:0.4898614090653765
如果她说他结束自己,那么他结束	f:0.5018811933406717	m:0.4981188066593283
如果她说他解放自己,那么他解放	f:0.5767328259826726	m:0.4232671740173275
如果她说他刺激自己,那么他刺激	f:0.5018851212543267	m:0.4981148787456733
如果她说他考虑自己,那么他考虑	f:0.5926210029660148	m:0.40737899703398517
如果她说他掐自己,那么他掐	f:0.5746895380587511	m:0.42531046194124894
如果她说他评论自己,那么他评论	f:0.5023597890387705	m:0.49764021096122946
如果她说他爱惜自己,那么他爱惜	f:0.5774427615396803	m:0.4225572384603196
如果她说他爱护自己,那么他爱护	f:0.5061827999047352	m:0.49381720009526475
如果她说他爱自己,那么他爱	f:0.5135855419702368	m:0.48641445802976324
如果她说他保护自己,那么他保护	f:0.5073625455134346	m:0.49263745448656543
如果她说他改正自己,那么他改正	f:0.5049838877813242	m:0.49501611221867575
如果她说他谈论自己,那么他谈论	f:0.5017674850252165	m:0.49823251497478355
如果她说他维护自己,那么他维护	f:0.5015449758808472	m:0.49845502411915277
如果她说他牺牲自己,那么他牺牲	f:0.5024280830454945	m:0.4975719169545054
如果她说他重复自己,那么他重复	f:0.4991980045926827	m:0.5008019954073172
如果她说他抓自己,那么他抓	f:0.5014666256457891	m:0.49853337435421097
如果她说他指着自己,那么他指着	f:0.5049274407434502	m:0.49507255925654986
如果她说他锻炼自己,那么他锻炼	f:0.49948718690366545	m:0.5005128130963346
如果她说他打自己,那么他打	f:0.5119609768165272	m:0.48803902318347275
如果她说他操心自己,那么他操心	f:0.507112530818463	m:0.49288746918153703
如果她说他纠正自己,那么他纠正	f:0.49711952495092254	m:0.5028804750490775
如果她说他扎自己,那么他扎	f:0.5019093759209805	m:0.4980906240790195
如果她说他谈到自己,那么他谈到	f:0.49843904627036995	m:0.50156095372963
如果她说他证明自己,那么他证明	f:0.5067783175826439	m:0.4932216824173561
如果她说他训练自己,那么他训练	f:0.5004025786477985	m:0.49959742135220164
如果她说他依靠自己,那么他依靠	f:0.5218839572421504	m:0.4781160427578496
如果她说他优待自己,那么他优待	f:0.5893371518769349	m:0.410662848123065
如果她说他鞭策自己,那么他鞭策	f:0.4997399948713503	m:0.5002600051286498
如果她说他尊重自己,那么他尊重	f:0.5565017091687956	m:0.4434982908312044
如果她说他辜负自己,那么他辜负	f:0.521869568084133	m:0.478130431915867
如果她说他担心自己,那么他担心	f:0.5090052963008957	m:0.4909947036991042
如果她说他控制自己,那么他控制	f:0.49961179182516346	m:0.5003882081748365
