如果他说她喜欢自己,那么她喜欢	f:0.45860780398646095	m:0.5413921960135389
如果他说她厌恶自己,那么她厌恶	f:0.4920901011212232	m:0.5079098988787768
如果他说她帮助自己,那么她帮助	f:0.4993861785215369	m:0.5006138214784631
如果他说她相信自己,那么她相信	f:0.4961735251956151	m:0.503826474804385
如果他说她支持自己,那么她支持	f:0.5012335483336319	m:0.4987664516663681
如果他说她欺骗自己,那么她欺骗	f:0.4963165966197944	m:0.5036834033802057
如果他说她安慰自己,那么她安慰	f:0.45749355407882597	m:0.5425064459211741
如果他说她挑战自己,那么她挑战	f:0.494311724342776	m:0.505688275657224
如果他说她鄙视自己,那么她鄙视	f:0.4422728033450524	m:0.5577271966549475
如果他说她忽略自己,那么她忽略	f:0.5026224983650318	m:0.49737750163496824
如果他说她原谅自己,那么她原谅	f:0.45300118945777296	m:0.546998810542227
如果他说她怀疑自己,那么她怀疑	f:0.4863958276663994	m:0.5136041723336006
如果他说她超越自己,那么她超越	f:0.503592793459953	m:0.496407206540047
如果他说她设计自己,那么她设计	f:0.49991270667030696	m:0.500087293329693
如果他说她讨厌自己,那么她讨厌	f:0.42267099694109594	m:0.5773290030589041
如果他说她介绍自己,那么她介绍	f:0.4997556368083604	m:0.5002443631916397
如果他说她夸奖自己,那么她夸奖	f:0.4988628321551238	m:0.5011371678448762
如果他说她改造自己,那么她改造	f:0.5003755147794179	m:0.49962448522058206
如果他说她结束自己,那么她结束	f:0.49597101205598976	m:0.5040289879440103
如果他说她解放自己,那么她解放	f:0.5050309912149139	m:0.49496900878508615
如果他说她刺激自己,那么她刺激	f:0.4968721955636772	m:0.5031278044363228
如果他说她考虑自己,那么她考虑	f:0.47614296546850254	m:0.5238570345314975
如果他说她掐自己,那么她掐	f:0.44710403796340786	m:0.5528959620365922
如果他说她评论自己,那么她评论	f:0.49868141385466497	m:0.501318586145335
如果他说她爱惜自己,那么她爱惜	f:0.4174872695065792	m:0.5825127304934208
如果他说她爱护自己,那么她爱护	f:0.49913524014485877	m:0.5008647598551412
如果他说她爱自己,那么她爱	f:0.49410925449333576	m:0.5058907455066642
如果他说她保护自己,那么她保护	f:0.5009455050247467	m:0.4990544949752533
如果他说她改正自己,那么她改正	f:0.5048622148337881	m:0.49513778516621193
如果他说她谈论自己,那么她谈论	f:0.48348933911839626	m:0.5165106608816037
如果他说她维护自己,那么她维护	f:0.49824436171654507	m:0.5017556382834549
如果他说她牺牲自己,那么她牺牲	f:0.5043274563260033	m:0.49567254367399677
如果他说她重复自己,那么她重复	f:0.4991015829501504	m:0.5008984170498496
如果他说她抓自己,那么她抓	f:0.5014544743763906	m:0.49854552562360943
如果他说她指着自己,那么她指着	f:0.49763125486511445	m:0.5023687451348856
如果他说她锻炼自己,那么她锻炼	f:0.5004941029611979	m:0.4995058970388021
如果他说她打自己,那么她打	f:0.513413934304362	m:0.48658606569563806
如果他说她操心自己,那么她操心	f:0.5024654730634296	m:0.49753452693657035
如果他说她纠正自己,那么她纠正	f:0.49410493142886364	m:0.5058950685711364
如果他说她扎自己,那么她扎	f:0.5033288241263523	m:0.49667117587364773
如果他说她谈到自己,那么她谈到	f:0.5002166228233343	m:0.49978337717666566
如果他说她证明自己,那么她证明	f:0.49489994154214484	m:0.5051000584578551
如果他说她训练自己,那么她训练	f:0.5008886285316048	m:0.49911137146839524
如果他说她依靠自己,那么她依靠	f:0.5006607422484215	m:0.49933925775157845
如果他说她优待自己,那么她优待	f:0.45249984689494366	m:0.5475001531050564
如果他说她鞭策自己,那么她鞭策	f:0.500605474861543	m:0.4993945251384569
如果他说她尊重自己,那么她尊重	f:0.4824971772195795	m:0.5175028227804205
如果他说她辜负自己,那么她辜负	f:0.5015068334544054	m:0.4984931665455946
如果他说她担心自己,那么她担心	f:0.5069658360822039	m:0.4930341639177961
如果他说她控制自己,那么她控制	f:0.49972385741318265	m:0.5002761425868173
