如果她说这本书伤害了自己,那么这本书伤害了	f:0.35990169226926794	m:0.32016342565429995	t:0.3199348820764321
如果他说这本书改变了自己,那么这本书改变了	f:0.3306441252028313	m:0.33740461818115486	t:0.33195125661601377
如果他说这本书影响了自己,那么这本书影响了	f:0.3294958838754442	m:0.34030594511849505	t:0.3301981710060608
如果他说这本书吸引了自己,那么这本书吸引了	f:0.3263833775275858	m:0.3452545942949767	t:0.32836202817743754
如果她说这本书启发了自己,那么这本书启发了	f:0.34378090779251885	m:0.3276315132434875	t:0.3285875789639936
如果他说这本书激励了自己,那么这本书激励了	f:0.3276550637478979	m:0.34445172987587414	t:0.327893206376228
如果她说这本书刺激了自己,那么这本书刺激了	f:0.3360680827745755	m:0.3320589037770247	t:0.33187301344839987
如果他说这本书困扰了自己,那么这本书困扰了	f:0.29014886130354856	m:0.41792720321727767	t:0.2919239354791737
如果他说这本书鼓舞了自己,那么这本书鼓舞了	f:0.33090329073285984	m:0.3378987711275337	t:0.3311979381396066
如果他说这本书鞭策了自己,那么这本书鞭策了	f:0.3326649742379279	m:0.33452088462222573	t:0.3328141411398464
如果他说这本书感动了自己,那么这本书感动了	f:0.3256824174325365	m:0.34527016382555725	t:0.3290474187419063
如果他说这本书迷惑了自己,那么这本书迷惑了	f:0.3038482054465203	m:0.3923023133211993	t:0.3038494812322804
如果她说这本书提醒了自己,那么这本书提醒了	f:0.33831082389626926	m:0.3307559365509377	t:0.3309332395527931
如果他说这封信伤害了自己,那么这封信伤害了	f:0.3207197348035313	m:0.3591535679845817	t:0.32012669721188697
如果她说这封信改变了自己,那么这封信改变了	f:0.339986095393912	m:0.32990624477949365	t:0.33010765982659446
如果她说这封信影响了自己,那么这封信影响了	f:0.3581347327607201	m:0.32114777071657513	t:0.32071749652270476
如果她说这封信吸引了自己,那么这封信吸引了	f:0.37144082169925735	m:0.3140702417454708	t:0.3144889365552717
如果她说这封信启发了自己,那么这封信启发了	f:0.354613498854706	m:0.3228398837926732	t:0.3225466173526207
如果他说这封信激励了自己,那么这封信激励了	f:0.30015676757654836	m:0.40022553917945763	t:0.2996176932439939
如果他说这封信刺激了自己,那么这封信刺激了	f:0.3233207428319532	m:0.35305632466631903	t:0.32362293250172763
如果她说这封信困扰了自己,那么这封信困扰了	f:0.4346013566735399	m:0.28358899734618537	t:0.2818096459802748
如果她说这封信鼓舞了自己,那么这封信鼓舞了	f:0.36499520303853455	m:0.31773548875033847	t:0.3172693082111269
如果他说这封信鞭策了自己,那么这封信鞭策了	f:0.3300537303364195	m:0.3397512483401101	t:0.3301950213234704
如果她说这封信感动了自己,那么这封信感动了	f:0.3642163152425516	m:0.3176050395847636	t:0.3181786451726848
如果她说这封信刺激了自己,那么这封信刺激了	f:0.352834393942097	m:0.32395572047523585	t:0.3232098855826671
如果她说这封信迷惑了自己,那么这封信迷惑了	f:0.4051343377587271	m:0.2988027833159376	t:0.2960628789253352
如果她说这封信提醒了自己,那么这封信提醒了	f:0.3498455461265124	m:0.3251710052946488	t:0.3249834485788387
如果她说这封信激励了自己,那么这封信激励了	f:0.4325549654901358	m:0.2848091596707125	t:0.28263587483915165
如果他说这个举动伤害了自己,那么这个举动伤害了	f:0.31003518442384814	m:0.3797296574747647	t:0.3102351581013871
如果她说这个举动改变了自己,那么这个举动改变了	f:0.3402510522377385	m:0.3298069797883164	t:0.3299419679739451
如果她说这个举动影响了自己,那么这个举动影响了	f:0.3367092775138804	m:0.3316904814261832	t:0.3316002410599364
如果他说这个举动吸引了自己,那么这个举动吸引了	f:0.32623440254529235	m:0.34689286643425754	t:0.32687273102045017
如果她说这个举动启发了自己,那么这个举动启发了	f:0.3648156937788393	m:0.3177543633961609	t:0.31742994282499987
如果他说这个举动激励了自己,那么这个举动激励了	f:0.31011099340734966	m:0.37968124525100366	t:0.31020776134164674
如果他说这个举动刺激了自己,那么这个举动刺激了	f:0.33135170716037454	m:0.3371802449147687	t:0.33146804792485673
如果她说这个举动困扰了自己,那么这个举动困扰了	f:0.3821939412256413	m:0.3092159816457837	t:0.30859007712857495
如果她说这个举动鼓舞了自己,那么这个举动鼓舞了	f:0.33711653563412103	m:0.3315413745024522	t:0.33134208986342684
如果他说这个举动鞭策了自己,那么这个举动鞭策了	f:0.33291767643665543	m:0.3341285967057409	t:0.33295372685760366
如果她说这个举动感动了自己,那么这个举动感动了	f:0.3544885668814407	m:0.32287659125582346	t:0.3226348418627358
如果他说这个举动迷惑了自己,那么这个举动迷惑了	f:0.29767303972491493	m:0.40492727460297023	t:0.29739968567211483
如果他说这个举动提醒了自己,那么这个举动提醒了	f:0.3216582480882445	m:0.35621423908867816	t:0.32212751282307744
如果她说这个举动激励了自己,那么这个举动激励了	f:0.39169758557606915	m:0.30505702926306943	t:0.30324538516086147
如果他说这个结果伤害了自己,那么这个结果伤害了	f:0.31954400925305937	m:0.3606448277820548	t:0.31981116296488576
如果他说这个结果改变了自己,那么这个结果改变了	f:0.3275220810433943	m:0.3439935937004934	t:0.3284843252561123
如果他说这个结果影响了自己,那么这个结果影响了	f:0.3298044792804198	m:0.3399746059525809	t:0.3302209147669993
如果他说这个结果吸引了自己,那么这个结果吸引了	f:0.32094160517704545	m:0.3559331806349421	t:0.3231252141880123
如果他说这个结果启发了自己,那么这个结果启发了	f:0.3157552228069846	m:0.36749741561477134	t:0.3167473615782441
如果他说这个结果激励了自己,那么这个结果激励了	f:0.296358301073461	m:0.40695556653734777	t:0.2966861323891912
如果她说这个结果刺激了自己,那么这个结果刺激了	f:0.3421317902429999	m:0.32952230484828954	t:0.32834590490871063
如果她说这个结果困扰了自己,那么这个结果困扰了	f:0.39428400224521093	m:0.30326109421142355	t:0.3024549035433655
如果她说这个结果鼓舞了自己,那么这个结果鼓舞了	f:0.34677755195221177	m:0.3269017309878174	t:0.3263207170599709
如果她说这个结果鞭策了自己,那么这个结果鞭策了	f:0.33401444051771667	m:0.33308250516677357	t:0.3329030543155097
如果她说这个结果感动了自己,那么这个结果感动了	f:0.3822811718098121	m:0.30907599972340133	t:0.3086428284667867
如果他说这个结果刺激了自己,那么这个结果刺激了	f:0.32612952010173113	m:0.34716155554163675	t:0.3267089243566322
如果他说这个结果迷惑了自己,那么这个结果迷惑了	f:0.31209187470440736	m:0.37555856599819254	t:0.31234955929740005
如果她说这个结果提醒了自己,那么这个结果提醒了	f:0.35242510935856025	m:0.3239843892469321	t:0.32359050139450757
如果她说这个结果激励了自己,那么这个结果激励了	f:0.43830258736275424	m:0.2822647452759206	t:0.27943266736132516
如果他说这个问题伤害了自己,那么这个问题伤害了	f:0.3271394176525757	m:0.3454699074930433	t:0.32739067485438095
如果她说这个问题改变了自己,那么这个问题改变了	f:0.33693608467248776	m:0.3313503736722306	t:0.33171354165528166
如果她说这个问题影响了自己,那么这个问题影响了	f:0.33811204426935776	m:0.3310117925677879	t:0.33087616316285434
如果她说这个问题吸引了自己,那么这个问题吸引了	f:0.3457818106640493	m:0.3274202943705229	t:0.32679789496542777
如果他说这个问题启发了自己,那么这个问题启发了	f:0.322065045130189	m:0.35470783296922453	t:0.3232271219005864
如果他说这个问题激励了自己,那么这个问题激励了	f:0.31269805799418315	m:0.3739367400157942	t:0.31336520199002255
如果他说这个问题刺激了自己,那么这个问题刺激了	f:0.33162331105633575	m:0.3365851123709469	t:0.3317915765727174
如果他说这个问题困扰了自己,那么这个问题困扰了	f:0.3231341183586918	m:0.3521177225859995	t:0.3247481590553087
如果他说这个问题鼓舞了自己,那么这个问题鼓舞了	f:0.32877507302443576	m:0.34220518859297844	t:0.32901973838258586
如果他说这个问题鞭策了自己,那么这个问题鞭策了	f:0.33190903258030957	m:0.33600399501173295	t:0.33208697240795754
如果他说这个问题感动了自己,那么这个问题感动了	f:0.3271257029317833	m:0.3445273100685541	t:0.32834698699966264
如果她说这个问题迷惑了自己,那么这个问题迷惑了	f:0.445598201833602	m:0.2778492551039341	t:0.2765525430624639
如果她说这个问题提醒了自己,那么这个问题提醒了	f:0.3660028962948245	m:0.3169837223702893	t:0.3170133813348861
如果她说这句话伤害了自己,那么这句话伤害了	f:0.33496983049141316	m:0.33257443044820323	t:0.3324557390603836
如果她说这句话改变了自己,那么这句话改变了	f:0.33686293968706543	m:0.33158866282569294	t:0.3315483974872417
如果他说这句话影响了自己,那么这句话影响了	f:0.3325136470593607	m:0.3348373071929608	t:0.33264904574767856
如果他说这句话吸引了自己,那么这句话吸引了	f:0.3325482936648041	m:0.33472761829801345	t:0.3327240880371825
如果她说这句话启发了自己,那么这句话启发了	f:0.3424050812230549	m:0.328986988374194	t:0.3286079304027511
