如果她给他的书是关于自己的， 那么书是关于	f:0.5035586782977807	m:0.49644132170221933
如果她写给他的信是关于自己的， 那么信是关于	f:0.5143439264561372	m:0.48565607354386287
如果她给他的结果是关于自己的， 那么结果是关于	f:0.5124675105405412	m:0.4875324894594588
如果她问他的问题是关于自己的， 那么问题是关于	f:0.5003344659427491	m:0.49966553405725084
如果她给他讲的话是关于自己的， 那么话是关于	f:0.5012419993939208	m:0.4987580006060792
如果她告诉他的成绩是关于自己的， 那么成绩是关于	f:0.5071126802654885	m:0.4928873197345115
如果她给他的经验是关于自己的， 那么经验是关于	f:0.5000843060544153	m:0.4999156939455847
如果她给他的照片是关于自己的， 那么照片是关于	f:0.5010564566176973	m:0.49894354338230273
如果她给他的计划是关于自己的， 那么计划是关于	f:0.5042819228004235	m:0.4957180771995765
如果她给他看的论文是关于自己的， 那么论文是关于	f:0.5000463717004584	m:0.49995362829954154
如果她放给他听的歌是关于自己的， 那么歌是关于	f:0.500005017420335	m:0.49999498257966496
如果她提给他的意见是关于自己的， 那么意见是关于	f:0.5075567889601358	m:0.49244321103986427
如果她呈现给他的想法是关于自己的， 那么想法是关于	f:0.5088836607387298	m:0.49111633926127024
如果她告诉他的结果是关于自己的， 那么结果是关于	f:0.5047613640357624	m:0.49523863596423756
如果她告诉他的话是关于自己的， 那么话是关于	f:0.5011038083579393	m:0.49889619164206067
如果她告诉他的成绩是关于自己的， 那么成绩是关于	f:0.5071126802654885	m:0.4928873197345115
如果她告诉他的经验是关于自己的， 那么经验是关于	f:0.5000991596594491	m:0.4999008403405508
如果她给他展示的照片是关于自己的， 那么照片是关于	f:0.5069960612691299	m:0.4930039387308701
如果她告诉他的计划是关于自己的， 那么计划是关于	f:0.502114068691646	m:0.49788593130835396
如果她告诉他的意见是关于自己的， 那么意见是关于	f:0.5030159118828361	m:0.4969840881171638
如果她告诉他的想法是关于自己的， 那么想法是关于	f:0.5016304942375793	m:0.49836950576242073
如果她通知他的结果是关于自己的， 那么结果是关于	f:0.5078279548770743	m:0.4921720451229257
如果她通知他的成绩是关于自己的， 那么成绩是关于	f:0.5067044986611566	m:0.4932955013388433
如果她分享给他的经验是关于自己的， 那么经验是关于	f:0.502587384731804	m:0.497412615268196
如果她分享给他的照片是关于自己的， 那么照片是关于	f:0.5058182807353182	m:0.4941817192646818
如果她分享给他的计划是关于自己的， 那么计划是关于	f:0.5079452915293919	m:0.49205470847060806
如果她向他表达的意见是关于自己的， 那么意见是关于	f:0.5066196510322107	m:0.4933803489677892
如果她告知他的想法是关于自己的， 那么想法是关于	f:0.5034710360363525	m:0.49652896396364743
如果她提供给他的书是关于自己的， 那么书是关于	f:0.5003942637760282	m:0.49960573622397186
如果她提供给他的信是关于自己的， 那么信是关于	f:0.5074731605370929	m:0.49252683946290715
如果她提供给他的结果是关于自己的， 那么结果是关于	f:0.5114737677511128	m:0.4885262322488872
如果她提供给他的经验是关于自己的， 那么经验是关于	f:0.5012265513494756	m:0.4987734486505245
如果她提供给他的照片是关于自己的， 那么照片是关于	f:0.5067146449319803	m:0.4932853550680198
如果她提供给他的计划是关于自己的， 那么计划是关于	f:0.5100199195320483	m:0.48998008046795166
如果她提供给他的意见是关于自己的， 那么意见是关于	f:0.5168372264463299	m:0.48316277355367004
如果她提供给他的想法是关于自己的， 那么想法是关于	f:0.5065148247824295	m:0.4934851752175705
如果她拒绝回答他的问题是关于自己的， 那么问题是关于	f:0.5071417942443786	m:0.4928582057556215
如果她提醒他的事情是涉及自己的， 那么事情是关于	f:0.5003403442735402	m:0.49965965572645976
如果她提醒他的想法是关于自己的， 那么想法是关于	f:0.5012297439039993	m:0.49877025609600073
如果她推荐他的书是关于自己的， 那么书是关于	f:0.5022690060088281	m:0.497730993991172
