如果罗伯特-乔丹明白她信任自己，那么她信任<mask>。	f:0.5065896457956297	m:0.4934103542043703
如果她明白是建军在暗中保护着自己，那么建军在保护<mask>。	f:0.6488405207866379	m:0.35115947921336205
如果他知道他们在说自己，那么他们在说<mask>。	m:0.5658090551758151	f:0.4341909448241849
如果婆一见她就说他骗了自己，那么他骗了<mask>。	f:0.6247169082851213	m:0.3752830917148787
如果她明白他还在跟着自己，那么他跟着<mask>。	f:0.655358776130442	m:0.34464122386955803
如果她发现他还在恶狠狠地看着自己，那么他在看着<mask>。	f:0.6460023315104382	m:0.3539976684895618
如果姑娘却用如此凄楚的眼神看着他，仿佛恳求他来解救自己，那么他被恳求解救<mask>。	m:0.5007115444603775	f:0.4992884555396225
如果德克尔仍在抚摸着贝丝的秀发，他真不愿意警察这个时候来打扰自己，那么警察打扰<mask>。	m:0.5531127740146762	f:0.4468872259853238
如果建军本来在看电视，突然发觉母亲在注视着自己，那么母亲在注视着<mask>。	m:0.6524210986503381	f:0.34757890134966185
如果校长忽然不说话了，建军知道她正打量着自己，那么她打量<mask>。	m:0.5236424127495533	f:0.4763575872504468
如果他抬眼一瞥，看到她在看着自己，那么她在看着<mask>。	m:0.6439584429523785	f:0.35604155704762147
如果我咕哝着，担心他弄醒自己，那么我担心他弄醒<mask>。	m:0.5014900115914829	f:0.4985099884085171
如果铂内尔发现那双灰眼睛正以奇异的目光注视着自己，那么眼睛正注视着<mask>。	m:0.5227114815148007	f:0.4772885184851992
如果她感觉到男出纳的黑眼睛一动不动地盯着自己，那么眼睛正盯着<mask>。	f:0.5887042239646518	m:0.4112957760353482
如果他看到丽娟怀疑地看着自己，那么丽娟看着<mask>。	m:0.7065392645588306	f:0.2934607354411694
如果她不喜欢建军继续抚摸自己，那么建军抚摸<mask>。	f:0.6573156679385993	m:0.3426843320614007
如果我甚至也希望丽娟能够这样来迎接自己，那么丽娟可以这样来迎接<mask>。	m:0.5002821822700386	f:0.4997178177299614
如果她一抬头，看到建军正在端详着自己，那么建军在端详<mask>。	f:0.6175544495539453	m:0.3824455504460546
如果她觉得对面的日本兵非常不友好地看着自己，那么日本兵在看着<mask>。	f:0.6851478855241645	m:0.31485211447583555
如果她相信一营的士兵们也都会这样嘲笑自己，那么士兵们嘲笑<mask>。	f:0.652394708227364	m:0.347605291772636
如果她害怕他辞掉自己，那么他可能辞掉<mask>。	f:0.6802729711996873	m:0.3197270288003127
如果丽娟知道建军是有心救济自己，那么建军有心救济<mask>。	f:0.6409141226593279	m:0.35908587734067215
如果他感到她在注意自己，那么她在注意<mask>。	m:0.5538997213825745	f:0.4461002786174255
如果奥多太太还只道他看上了自己，那么他看上了<mask>。	f:0.6265743385476094	m:0.37342566145239053
如果他看到她正微笑地注视着自己，那么她正注视着<mask>。	m:0.672350178346188	f:0.327649821653812
如果建军忽然发觉女儿长得并不像自己，那么女儿不像<mask>。	m:0.6061891068361633	f:0.3938108931638368
如果她看到知县大老爷也正在注目自己，那么知县大老爷正注目<mask>。	f:0.699636763653053	m:0.30036323634694706
如果突然他发现丽娟在看自己，那么丽娟在看<mask>。	m:0.688985653700214	f:0.311014346299786
如果他只见丽娟正盯住自己，那么丽娟盯着<mask>。	m:0.7175025111683325	f:0.2824974888316675
如果可他总觉得王太太在扭头望着自己，那么王太太望着<mask>。	m:0.6609764120801433	f:0.33902358791985654
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着<mask>。	m:0.5509387189454229	f:0.4490612810545771
如果建军则害怕丽娟告发自己，那么丽娟告发<mask>。	m:0.5652921308264938	f:0.43470786917350623
如果她希望建军能尽力挽留自己，那么建军挽留<mask>。	f:0.6852726314476093	m:0.3147273685523906
如果他感到她又回避自己，那么她回避<mask>。	m:0.5432047712479394	f:0.45679522875206063
如果他发现丽娟也正在默默地注视着自己，那么丽娟在注视<mask>。	m:0.5329121952654964	f:0.46708780473450356
如果她知道那年轻轿夫正在注视着自己，那么轿夫正注视着<mask>。	f:0.7090935404843666	m:0.29090645951563354
如果建军看到丽娟站在门边，悲哀地望着自己，那么丽娟望着<mask>。	m:0.6301651575260615	f:0.3698348424739385
如果她料不到建军会主动地强迫了自己，那么建军强迫了<mask>。	f:0.706132249297234	m:0.293867750702766
如果她希望他来看看自己，那么他来看看<mask>。	f:0.6279536093713893	m:0.3720463906286106
如果他不愿母亲靠近自己，那么母亲靠近<mask>。	m:0.6640956406900842	f:0.3359043593099158
如果我觉得丈夫背叛了自己，那么丈夫背叛了<mask>。	f:0.5049912550030092	m:0.4950087449969907
如果丽娟觉得他是有意避着自己，那么他在避着<mask>。	f:0.5736522969488709	m:0.4263477030511291
如果建军却感到她是在冷眼看着自己，那么她看着<mask>。	m:0.5855123720412794	f:0.4144876279587206
如果但丽娟发现他并没有认出自己，那么他没有认出<mask>。	f:0.6236328909503588	m:0.37636710904964127
如果父亲看见母亲从她幽居的高处俯视着自己，那么母亲俯视着<mask>。	m:0.5491506202904776	f:0.45084937970952255
如果建军觉得人们好像在纷纷躲避自己，那么人们在躲避<mask>。	m:0.559873577258211	f:0.44012642274178915
如果她热切地盼望着建军前来找自己，那么建军会来找<mask>。	f:0.7024264349382948	m:0.29757356506170507
如果建军好像听到丽娟正在身边取笑自己，那么丽娟在取笑<mask>。	m:0.6445197016224106	f:0.35548029837758943
如果她无意中发现他正在看着自己，那么他在看着<mask>。	f:0.6635782276314246	m:0.33642177236857546
如果建军怀疑她是在有意躲避自己，那么她在躲避<mask>。	m:0.5134708842322907	f:0.4865291157677093
如果他在回来的路上仍不相信丽娟会真的喜欢自己，那么丽娟喜欢<mask>。	m:0.6340519250306795	f:0.3659480749693206
如果建军感到连母亲也抛弃了自己，那么母亲抛弃了<mask>。	m:0.5307696555592635	f:0.4692303444407365
如果她看到安全部头子的脸从银行大楼的一扇窗子后边注视着自己，那么安全部头子在注视着<mask>。	f:0.6641671470236924	m:0.33583285297630755
如果建军没想到丽娟会反问自己，那么丽娟反问<mask>。	m:0.5656623226566133	f:0.4343376773433867
如果他没有等着她过来拥抱自己，那么她过来拥抱<mask>。	m:0.6405464229673418	f:0.35945357703265834
如果他环顾了一下四周，发觉这个丽娟正诚挚地注视着自己，那么丽娟正注视着<mask>。	m:0.6051918180609475	f:0.3948081819390524
如果她一抬头，看到建军正在端详着自己，那么建军正端详着<mask>。	f:0.6899675974340223	m:0.31003240256597764
如果她听不惯别人称赞自己，那么别人称赞<mask>。	f:0.6642555097102667	m:0.3357444902897332
