如果她们觉得她是在卖弄自己，那么她在卖弄<mask>。	f:0.5250899076387177	m:0.47491009236128234
如果我觉得他是想淹死自己，那么他想淹死<mask>。	w:0.38302686004827036	f:0.30907087472678885	m:0.30790226522494074
如果我看她是故意显夸自己，那么她显夸<mask>。	w:0.39928358073399395	f:0.30499785790242295	m:0.2957185613635831
如果我知道他又开始在责备自己，那么他责备<mask>。	w:0.40918995006265363	f:0.2954230655149668	m:0.2953869844223797
如果我也提醒了他注意自己，那么他注意<mask>。	w:0.47205167844365264	m:0.26408129161378874	f:0.2638670299425586
如果我发现她的唯一缺陷是她有时有点控制不住自己，那么她控制不住<mask>。	w:0.44366346762031045	f:0.28272841929122394	m:0.27360811308846555
如果她想这个美国人也许一直都躺在紫外线灯下晒黑自己，那么这个美国人晒黑<mask>。	f:0.5109818487750764	m:0.4890181512249236
如果请你不要以为我只是考虑自己，那么我考虑<mask>。	w:0.33554191086767354	m:0.33253452603662065	f:0.3319235630957059
如果我告诉了她我刚才做了什么和我为什么克制住了自己，那么我克制<mask>。	f:0.3399094337101384	w:0.3336163404317414	m:0.3264742258581202
如果他埋怨她只顾着自己，那么她只顾<mask>。	m:0.5295399492579138	f:0.47046005074208624
如果他认为她特意在考虑为他牺牲自己，那么她考虑牺牲<mask>。	m:0.6184793478078789	f:0.38152065219212106
如果她落在后面，奇怪他竟会只顾自己，那么他只顾<mask>。	f:0.6385473304929431	m:0.3614526695070569
如果我觉得他全靠香槟酒在支撑自己，那么他支撑<mask>。	w:0.37980890306709164	m:0.31107497765260456	f:0.3091161192803038
如果我们看到他坐在书桌前，准备结果自己，那么他结果<mask>。	w:0.3354972025203217	m:0.3347998363412273	f:0.3297029611384509
如果太阳好像早早就升起来了，想看看桑乔怎样折腾自己，那么桑乔折腾<mask>。	m:0.501348392563073	f:0.49865160743692705
如果尽管我痛不欲生，但我不愿意她这样折磨自己，那么她折磨<mask>。	w:0.4802535914909253	m:0.2598904724461213	f:0.2598559360629534
如果她无法简捷地理解女人为何要如此装饰自己，那么女人装饰<mask>。	f:0.5334114845505243	m:0.4665885154494756
如果我们知道她已经能够照顾自己了，那么她照顾<mask>。	w:0.3357354158963461	m:0.332609828866059	f:0.331654755237595
