假如他告诉她一个关于自己的秘密， 那么秘密是关于<mask>的。	f:0.5883592805433209	m:0.4116407194566791
假如他寄给她一封关于自己的信， 那么信是关于<mask>的。	f:0.6000938296691481	m:0.3999061703308519
假如他送给她一本关于自己的书， 那么书是关于<mask>的。	f:0.6101746941242749	m:0.3898253058757251
假如他描述给她一个关于自己的梦， 那么梦是关于<mask>的。	f:0.5560103264071689	m:0.4439896735928312
假如他解释给她一个关于自己的决定， 那么决定是关于<mask>的。	f:0.6005546371409878	m:0.3994453628590122
假如他展示给她一幅关于自己的画， 那么画是关于<mask>的。	f:0.6118193935325136	m:0.38818060646748653
假如他讲述给她一个关于自己的故事， 那么故事是关于<mask>的。	f:0.6063081601176376	m:0.39369183988236245
假如他编写给她一首关于自己的诗， 那么诗是关于<mask>的。	f:0.5949427689153682	m:0.4050572310846319
假如他演示给她一个关于自己的技巧， 那么技巧是关于<mask>的。	f:0.6003854070470583	m:0.3996145929529416
假如他描述给她一场关于自己的经历， 那么经历是关于<mask>的。	f:0.5624548309662921	m:0.437545169033708
假如他回忆给她一段关于自己的往事， 那么往事是关于<mask>的。	f:0.5850070975962113	m:0.4149929024037887
假如他给她看了一张关于自己的照片， 那么照片是关于<mask>的。	f:0.585254450227933	m:0.41474554977206696
假如他发给她一条关于自己的消息， 那么消息是关于<mask>的。	f:0.6140259925771657	m:0.3859740074228342
假如他写给她一篇关于自己的文章， 那么文章是关于<mask>的。	f:0.5976609583663216	m:0.40233904163367845
假如他展示给她一张关于自己的地图， 那么地图是关于<mask>的。	f:0.589995341060653	m:0.410004658939347
假如他讲给她一个关于自己的笑话， 那么笑话是关于<mask>的。	f:0.5750503901900581	m:0.424949609809942
假如他传给她一个关于自己的文件， 那么文件是关于<mask>的。	f:0.5696035459457472	m:0.43039645405425275
假如他绘制给她一幅关于自己的草图， 那么草图是关于<mask>的。	f:0.6035069371079544	m:0.39649306289204567
假如他提供给她一项关于自己的建议， 那么建议是关于<mask>的。	f:0.5604752461466607	m:0.43952475385333933
假如他演唱给她一首关于自己的歌曲， 那么歌曲是关于<mask>的。	f:0.5914468795590744	m:0.4085531204409257
假如他设计给她一个关于自己的项目， 那么项目是关于<mask>的。	f:0.569116706990232	m:0.4308832930097681
假如他讲述给她一段关于自己的历史， 那么历史是关于<mask>的。	f:0.6103679766933255	m:0.3896320233066745
假如他推荐给她一本关于自己的传记， 那么传记是关于<mask>的。	f:0.5556386500961753	m:0.44436134990382464
假如他解释给她一个关于自己的观点， 那么观点是关于<mask>的。	f:0.6041802710187956	m:0.3958197289812044
假如他分享给她一篇关于自己的论文， 那么论文是关于<mask>的。	f:0.5469690729069645	m:0.4530309270930355
假如他报告给她一项关于自己的研究， 那么研究是关于<mask>的。	f:0.5705850780080692	m:0.4294149219919308
假如他送给她一个关于自己的纪念品， 那么纪念品是关于<mask>的。	f:0.5858110112600979	m:0.41418898873990206
假如他展示给她一份关于自己的简历， 那么简历是关于<mask>的。	f:0.5622931921341704	m:0.43770680786582955
假如他描绘给她一幅关于自己的肖像， 那么肖像是关于<mask>的。	f:0.5728243514527274	m:0.42717564854727264
假如他讨论给她一个关于自己的话题， 那么话题是关于<mask>的。	f:0.5739763258009968	m:0.42602367419900333
假如他汇报给她一项关于自己的成就， 那么成就是关于<mask>的。	f:0.5560335673194082	m:0.4439664326805918
假如他寄给她一件关于自己的物品， 那么物品是关于<mask>的。	f:0.5872988364472355	m:0.41270116355276465
假如他翻译给她一篇关于自己的文章， 那么文章是关于<mask>的。	f:0.5930217269092036	m:0.4069782730907964
假如他编排给她一个关于自己的节目， 那么节目是关于<mask>的。	f:0.6099133914331465	m:0.3900866085668534
假如他演示给她一段关于自己的舞蹈， 那么舞蹈是关于<mask>的。	f:0.6127222993212306	m:0.38727770067876954
假如他朗读给她一封关于自己的信件， 那么信件是关于<mask>的。	f:0.6195748615094044	m:0.38042513849059567
假如他发布给她一条关于自己的公告， 那么公告是关于<mask>的。	f:0.6317492559113935	m:0.3682507440886064
假如他策划给她一个关于自己的活动， 那么活动是关于<mask>的。	f:0.5829103259376555	m:0.4170896740623445
假如他陈述给她一份关于自己的声明， 那么声明是关于<mask>的。	f:0.5902161102757171	m:0.409783889724283
假如他发送给她一条关于自己的通知， 那么通知是关于<mask>的。	f:0.6217892645715133	m:0.3782107354284867
