假如他说她反思自己,那么她反思<mask>自己。	m:0.5339721398639315	f:0.46602786013606845
假如他说她反省自己,那么她反省<mask>自己。	m:0.5133259032583279	f:0.4866740967416721
假如他说她坦白自己,那么她坦白<mask>自己。	m:0.5365376092260236	f:0.4634623907739764
假如他说她迷失自己,那么她迷失<mask>自己。	m:0.5009522099410606	f:0.49904779005893946
假如他说她克制自己,那么她克制<mask>自己。	m:0.5262452343925225	f:0.47375476560747753
假如他说她检讨自己,那么她检讨<mask>自己。	m:0.5383933442676672	f:0.4616066557323328
假如他说她放松自己,那么她放松<mask>自己。	m:0.5056683830193074	f:0.49433161698069267
假如他说她磨练自己,那么她磨练<mask>自己。	m:0.5099619336372735	f:0.49003806636272657
假如他说她奉献自己,那么她奉献<mask>自己。	m:0.5146577033484317	f:0.48534229665156825
假如他说她调整自己,那么她调整<mask>自己。	m:0.5372740658594137	f:0.4627259341405862
假如他说她提升自己,那么她提升<mask>自己。	m:0.5115905874879897	f:0.48840941251201037
假如他说她炫耀自己,那么她炫耀<mask>自己。	m:0.5229122340334305	f:0.47708776596656954
假如他说她调节自己,那么她调节<mask>自己。	m:0.54969273182363	f:0.4503072681763699
假如他说她坚持自己,那么她坚持<mask>自己。	m:0.5105221434297931	f:0.48947785657020687
假如他说她交代自己,那么她交代<mask>自己。	m:0.5396355619292749	f:0.46036443807072513
假如他说她计较自己,那么她计较<mask>自己。	m:0.5354174213437818	f:0.4645825786562182
假如他说她检讨自己,那么她检讨<mask>自己。	m:0.5383933442676672	f:0.4616066557323328
假如他说她卖弄自己,那么她卖弄<mask>自己。	m:0.5222395315202173	f:0.47776046847978265
假如他说她表达自己,那么她表达<mask>自己。	m:0.5121127349061229	f:0.48788726509387714
假如他说她表现自己,那么她表现<mask>自己。	m:0.5088810578153453	f:0.4911189421846547
假如他说她扭伤自己,那么她扭伤<mask>自己。	m:0.5044220629579045	f:0.4955779370420956
