如果他推荐她的丈夫是关于自己的， 那么丈夫是关于<mask>的。	f:0.5742035549743962	m:0.4257964450256037
如果他推荐她的胳膊是关于自己的， 那么胳膊是关于<mask>的。	f:0.5609321479148321	m:0.43906785208516796
如果他推荐她的头发是关于自己的， 那么头发是关于<mask>的。	f:0.5462991450523603	m:0.45370085494763973
如果他推荐她的身体是关于自己的， 那么身体是关于<mask>的。	f:0.5758662279906138	m:0.4241337720093862
如果他推荐她的美貌是关于自己的， 那么美貌是关于<mask>的。	f:0.548872166658144	m:0.45112783334185597
如果他推荐她的裙子是关于自己的， 那么裙子是关于<mask>的。	f:0.5663132500652249	m:0.43368674993477513
如果他推荐她的胸脯是关于自己的， 那么胸脯是关于<mask>的。	f:0.5563786924361603	m:0.4436213075638396
如果他推荐她的面颊是关于自己的， 那么面颊是关于<mask>的。	f:0.5479554326525162	m:0.4520445673474837
如果他推荐她的笑容是关于自己的， 那么笑容是关于<mask>的。	f:0.5537195779975813	m:0.44628042200241863
如果他推荐她的身材是关于自己的， 那么身材是关于<mask>的。	f:0.5488417006299808	m:0.45115829937001917
如果他推荐她的肉体是关于自己的， 那么肉体是关于<mask>的。	f:0.5599216247479197	m:0.4400783752520803
如果他推荐她的容貌是关于自己的， 那么容貌是关于<mask>的。	f:0.5585808605790518	m:0.44141913942094824
如果他推荐她的处境是关于自己的， 那么处境是关于<mask>的。	f:0.5458106516722294	m:0.45418934832777064
如果他推荐她的脸庞是关于自己的， 那么脸庞是关于<mask>的。	f:0.5845232923257757	m:0.4154767076742244
如果他推荐她的笑声是关于自己的， 那么笑声是关于<mask>的。	f:0.5609669829352444	m:0.43903301706475567
如果他推荐她的举止是关于自己的， 那么举止是关于<mask>的。	f:0.5697358891054134	m:0.4302641108945866
如果他推荐她的形象是关于自己的， 那么形象是关于<mask>的。	f:0.5854471428423339	m:0.4145528571576661
如果他推荐她的脸蛋是关于自己的， 那么脸蛋是关于<mask>的。	f:0.5922969360491416	m:0.4077030639508584
如果他推荐她的愿望是关于自己的， 那么愿望是关于<mask>的。	f:0.5541385326313522	m:0.4458614673686479
如果他推荐她的照片是关于自己的， 那么照片是关于<mask>的。	f:0.6081038843176372	m:0.3918961156823628
如果他推荐她的关系是关于自己的， 那么关系是关于<mask>的。	f:0.56377011490817	m:0.4362298850918299
如果他推荐她的姐姐是关于自己的， 那么姐姐是关于<mask>的。	m:0.5247120658928628	f:0.47528793410713727
如果他推荐她的爱人是关于自己的， 那么爱人是关于<mask>的。	f:0.5378403778401087	m:0.4621596221598913
如果他推荐她的欢心是关于自己的， 那么欢心是关于<mask>的。	f:0.550551121455476	m:0.4494488785445241
如果他推荐她的前额是关于自己的， 那么前额是关于<mask>的。	f:0.5719789047046199	m:0.42802109529538007
如果他描述她的丈夫是关于自己的， 那么丈夫是关于<mask>的。	f:0.5930169563422504	m:0.4069830436577495
如果他描述她的胳膊是关于自己的， 那么胳膊是关于<mask>的。	f:0.5610545852910803	m:0.43894541470891973
如果他描述她的头发是关于自己的， 那么头发是关于<mask>的。	f:0.54868411048581	m:0.45131588951419005
如果他描述她的身体是关于自己的， 那么身体是关于<mask>的。	f:0.5784346473979196	m:0.4215653526020804
如果他描述她的美貌是关于自己的， 那么美貌是关于<mask>的。	f:0.5516057337848874	m:0.4483942662151126
如果他描述她的裙子是关于自己的， 那么裙子是关于<mask>的。	f:0.5631806398850522	m:0.4368193601149479
