假如他说她诬陷自己,那么她诬陷<mask>。	m:0.559716477340194	f:0.440283522659806
假如他说她拥抱自己,那么她拥抱<mask>。	m:0.6018829075449238	f:0.39811709245507615
假如他说她离开自己,那么她离开<mask>。	m:0.5957283309952675	f:0.4042716690047326
假如他说她打扰自己,那么她打扰<mask>。	m:0.5796756702513775	f:0.4203243297486226
假如他说她超过自己,那么她超过<mask>。	m:0.5593616660733807	f:0.4406383339266194
假如他说她忘了自己,那么她忘了<mask>。	m:0.5762489484099116	f:0.42375105159008847
假如他说她回答自己,那么她回答<mask>。	m:0.5458922434598285	f:0.4541077565401716
假如他说她表扬自己,那么她表扬<mask>。	m:0.5591142302936151	f:0.4408857697063849
假如他说她反对自己,那么她反对<mask>。	m:0.5732126445161969	f:0.42678735548380314
假如他说她调查自己,那么她调查<mask>。	m:0.5530001346017667	f:0.4469998653982333
假如他说她拜访自己,那么她拜访<mask>。	m:0.5622856921494899	f:0.4377143078505101
假如他说她偷听自己,那么她偷听<mask>。	m:0.5732950034304433	f:0.4267049965695568
假如他说她暗恋自己,那么她暗恋<mask>。	m:0.6148848415546005	f:0.3851151584453995
假如他说她邀请自己,那么她邀请<mask>。	m:0.5793194340851504	f:0.42068056591484965
假如他说她等待自己,那么她等待<mask>。	m:0.6138549563093584	f:0.3861450436906417
假如他说她嫉妒自己,那么她嫉妒<mask>。	m:0.5669633967789053	f:0.43303660322109466
假如他说她羡慕自己,那么她羡慕<mask>。	m:0.5695294613601168	f:0.4304705386398832
假如他说她搭讪自己,那么她搭讪<mask>。	m:0.5788630027754441	f:0.42113699722455594
假如他说她监视自己,那么她监视<mask>。	m:0.577916948818415	f:0.422083051181585
假如他说她吵醒自己,那么她吵醒<mask>。	m:0.5632178529786656	f:0.43678214702133433
假如他说她激怒自己,那么她激怒<mask>。	m:0.5496553495800779	f:0.45034465041992217
假如他说她模仿自己,那么她模仿<mask>。	m:0.584724727802085	f:0.41527527219791516
假如他说她欺负自己,那么她欺负<mask>。	m:0.5867294900944279	f:0.4132705099055721
假如他说她追随自己,那么她追随<mask>。	m:0.6128861434345044	f:0.3871138565654955
假如他说她回避自己,那么她回避<mask>。	m:0.5359593822121396	f:0.4640406177878604
假如他说她思念自己,那么她思念<mask>。	m:0.6089410079712978	f:0.3910589920287022
假如他说她仰慕自己,那么她仰慕<mask>。	m:0.5910904633662247	f:0.4089095366337753
假如他说她冷落自己,那么她冷落<mask>。	m:0.5950824086385578	f:0.4049175913614421
假如他说她靠近自己,那么她靠近<mask>。	m:0.608491170147155	f:0.391508829852845
假如他说她辅导自己,那么她辅导<mask>。	m:0.5926996958924116	f:0.4073003041075884
假如他说她干扰自己,那么她干扰<mask>。	m:0.5784201119477788	f:0.42157988805222124
假如他说她加入自己,那么她加入<mask>。	m:0.5428689474451636	f:0.4571310525548365
假如他说她接近自己,那么她接近<mask>。	m:0.5961592119417752	f:0.40384078805822465
假如他说她看望自己,那么她看望<mask>。	m:0.6114343340437147	f:0.3885656659562852
假如他说她捞自己,那么她捞<mask>。	m:0.5288651113356555	f:0.47113488866434455
假如他说她欢迎自己,那么她欢迎<mask>。	m:0.5848755877508914	f:0.4151244122491085
假如他说她勾引自己,那么她勾引<mask>。	m:0.5691367149330154	f:0.43086328506698446
假如他说她勾结自己,那么她勾结<mask>。	m:0.5675480889669315	f:0.43245191103306857
假如他说她等自己,那么她等<mask>。	m:0.5776415930289682	f:0.42235840697103183
假如他说她等候自己,那么她等候<mask>。	m:0.5831984904947519	f:0.41680150950524814
假如他说她挤自己,那么她挤<mask>。	m:0.5178171547823764	f:0.48218284521762367
假如他说她排挤自己,那么她排挤<mask>。	m:0.5652236870614985	f:0.4347763129385015
假如他说她欺压自己,那么她欺压<mask>。	m:0.5745961694384096	f:0.4254038305615903
假如他说她探望自己,那么她探望<mask>。	m:0.5794515537599849	f:0.42054844624001514
假如他说她信任自己,那么她信任<mask>。	m:0.6060599385364329	f:0.393940061463567
假如他说她响应自己,那么她响应<mask>。	m:0.5640301412050411	f:0.435969858794959
假如他说她学习自己,那么她学习<mask>。	m:0.5291167644832473	f:0.4708832355167527
假如他说她咬自己,那么她咬<mask>。	m:0.5661677079184293	f:0.43383229208157076
假如他说她消灭自己,那么她消灭<mask>。	m:0.5489064280492966	f:0.4510935719507035
假如他说她追赶自己,那么她追赶<mask>。	m:0.6112875556558011	f:0.388712444344199
假如他说她追求自己,那么她追求<mask>。	m:0.548403837055127	f:0.45159616294487304
假如他说她阻挡自己,那么她阻挡<mask>。	m:0.5893413893459419	f:0.41065861065405795
假如他说她孝敬自己,那么她孝敬<mask>。	m:0.574104259065768	f:0.425895740934232
假如他说她赢自己,那么她赢<mask>。	m:0.519891304677639	f:0.48010869532236106
假如他说她招呼自己,那么她招呼<mask>。	m:0.580333391152858	f:0.419666608847142
假如他说她指导自己,那么她指导<mask>。	m:0.5838699058003465	f:0.41613009419965347
假如他说她支援自己,那么她支援<mask>。	m:0.5580788471872631	f:0.4419211528127368
假如他说她替换自己,那么她替换<mask>。	m:0.5855090332629342	f:0.41449096673706576
假如他说她通知自己,那么她通知<mask>。	m:0.597635320084107	f:0.40236467991589303
假如他说她吸引自己,那么她吸引<mask>。	m:0.5958837060945903	f:0.4041162939054097
假如他说她影响自己,那么她影响<mask>。	m:0.5818660945295098	f:0.4181339054704902
假如他说她杀害自己,那么她杀害<mask>。	m:0.5871201654518244	f:0.4128798345481755
假如他说她赔偿自己,那么她赔偿<mask>。	m:0.5454954864847393	f:0.45450451351526056
假如他说她衬托自己,那么她衬托<mask>。	m:0.5942777154912902	f:0.4057222845087099
假如他说她扣留自己,那么她扣留<mask>。	m:0.557876130415081	f:0.4421238695849191
假如他说她恐吓自己,那么她恐吓<mask>。	m:0.5821185139089203	f:0.41788148609107967
假如他说她联络自己,那么她联络<mask>。	m:0.6002361665333698	f:0.3997638334666303
假如他说她忍受自己,那么她忍受<mask>。	m:0.5556091899356826	f:0.4443908100643173
假如他说她请示自己,那么她请示<mask>。	m:0.5981088632239372	f:0.4018911367760628
假如他说她算计自己,那么她算计<mask>。	m:0.5630337912496446	f:0.4369662087503553
