他知道我经常批评<mask>自己。	m:0.3631822583028092	f:0.31868012295610443	w:0.31813761874108637
她知道我经常批评<mask>自己。	f:0.34980947615399166	m:0.33232818196744374	w:0.3178623418785645
他认为她知道我把<mask>自己的书送给了自己的朋友。	f:0.3523687437860376	m:0.32451151355177826	w:0.32311974266218413
她认为他知道我把<mask>自己的书送给了自己的朋友。	f:0.3446523184716792	m:0.3308180500844871	w:0.3245296314438337
他担心我会批评<mask>自己。	m:0.42384991927877197	f:0.2910376802018045	w:0.28511240051942355
她担心我会批评<mask>自己。	f:0.36376890181261995	m:0.341244070342674	w:0.29498702784470604
他知道我害了<mask>自己。	f:0.33776729775945474	m:0.3312384156393191	w:0.3309942866012261
她知道我害了<mask>自己。	f:0.39070710631217914	w:0.3070204176069405	m:0.3022724760808803
他觉得我对<mask>自己没信心。	f:0.3454630288380399	m:0.3417991266892272	w:0.3127378444727328
她觉得我对<mask>自己没信心。	f:0.41151729103348966	m:0.2962393759643528	w:0.29224333300215743
他认为我的骄傲害了<mask>自己。	m:0.35376698315447164	w:0.3397803735525878	f:0.3064526432929405
她认为我的骄傲害了<mask>自己。	f:0.49186974019560753	w:0.26354035521777347	m:0.244589904586619
她知道我告诉过她有关<mask>自己的工作。	f:0.34583688039341287	w:0.33337993484672784	m:0.32078318475985923
他知道我告诉过他有关<mask>自己的工作。	w:0.3419136800270198	m:0.3402415159208257	f:0.3178448040521546
他说我跟他谈过<mask>自己的事。	m:0.33990518532253	w:0.33154245255525017	f:0.32855236212221983
她说我跟她谈过<mask>自己的事。	f:0.3379458185738096	w:0.33149251800137414	m:0.3305616634248163
她认为我从她那里听说了<mask>自己的分数。	f:0.3740913922029917	w:0.3186344310691953	m:0.30727417672781304
他认为我从他那里听说了<mask>自己的分数。	m:0.34383436314519317	w:0.3304421912005441	f:0.3257234456542628
他知道我在他家洗<mask>自己的照片。	w:0.33402250862184785	f:0.3330225613606011	m:0.332954930017551
她知道我在她家洗<mask>自己的照片。	w:0.334080790862351	f:0.333735986924011	m:0.33218322221363794
当时他怕我再去找<mask>自己的麻烦就给了我钱。	m:0.376230701962406	f:0.31220046273395125	w:0.31156883530364277
当时她怕我再去找<mask>自己的麻烦就给了我钱。	f:0.39282130387820097	m:0.3070760779126758	w:0.30010261820912326
她知道我的报告害了<mask>自己。	f:0.48768565885446175	w:0.2642881175265935	m:0.2480262236189448
他知道我的报告害了<mask>自己。	m:0.3599115689227753	w:0.3395021884615903	f:0.3005862426156343
他的话暗示我的信害了<mask>自己。	m:0.3601870637436833	w:0.3360213215019242	f:0.3037916147543925
她的话暗示我的信害了<mask>自己。	f:0.4392774539905568	w:0.29114487670073336	m:0.26957766930870974
她认为我恨<mask>自己。	f:0.3564619944509357	m:0.33352527202973753	w:0.31001273351932684
他认为我恨<mask>自己。	m:0.34547737419677693	w:0.3296871861323051	f:0.32483543967091794
他说我喜欢<mask>自己。	w:0.33432361211503864	m:0.3341580957210979	f:0.33151829216386347
她说我喜欢<mask>自己。	f:0.3361116066167208	w:0.33380733156456643	m:0.33008106181871266
他不喜欢我管<mask>自己的事。	m:0.43753899036758415	f:0.2852796560744102	w:0.2771813535580055
她不喜欢我管<mask>自己的事。	f:0.3818314482189677	m:0.32251643041626804	w:0.29565212136476426
他告诉别人我觉得<mask>自己明年可以考进好大学。	m:0.33585585803690954	w:0.3334824197031921	f:0.33066172225989837
他说我批评了<mask>自己。	m:0.34472697539550795	f:0.3325167336890914	w:0.32275629091540065
她说我批评了<mask>自己。	f:0.40915585761410106	m:0.29568650099524924	w:0.2951576413906497
她觉得我在批评<mask>自己。	f:0.348511964671862	w:0.33037190855779325	m:0.32111612677034473
他觉得我在批评<mask>自己。	m:0.35089466522728474	w:0.3307992949945759	f:0.3183060397781394
她认为我知道<mask>自己的太太是一个好人。	f:0.3417089111798595	w:0.33035768122952536	m:0.32793340759061523
他认为我知道<mask>自己的太太是一个好人。	f:0.3340937973207839	m:0.33308692817985464	w:0.33281927449936144
他觉得我不喜欢<mask>自己。	m:0.3601706359618669	w:0.3206863483198883	f:0.31914301571824477
她觉得我不喜欢<mask>自己。	f:0.35763264291765523	w:0.321902212953768	m:0.3204651441285767
