他知道她经常批评<mask>自己。	m:0.5036998514446361	f:0.4963001485553638
他知道她把<mask>自己的书送给了朋友。	f:0.5120802314587337	m:0.4879197685412663
他担心她会批评<mask>自己。	m:0.5761718188628222	f:0.42382818113717774
他知道她害了<mask>自己。	f:0.5259926925256774	m:0.4740073074743225
他觉得她对<mask>自己没信心。	f:0.5230936601512653	m:0.47690633984873465
他认为她的骄傲害了<mask>自己。	f:0.6698701582290377	m:0.3301298417709622
他知道她告诉过他有关<mask>自己的工作。	f:0.5195257334100875	m:0.48047426658991255
他说她跟他谈过<mask>自己的事。	f:0.5034655860242723	m:0.4965344139757277
他认为她从他那里听说了<mask>自己的分数。	f:0.5146359225874144	m:0.4853640774125856
他知道她在他家洗<mask>自己的照片。	f:0.5005892454246939	m:0.4994107545753062
他不喜欢她管<mask>自己的事。	m:0.5399861793259985	f:0.4600138206740016
他知道她的报告害了<mask>自己。	f:0.5932086624885509	m:0.4067913375114491
他的话暗示她的信害了<mask>自己。	f:0.6252720796219235	m:0.3747279203780765
他认为她恨<mask>自己。	m:0.5101339394937935	f:0.4898660605062064
他说她喜欢<mask>自己。	f:0.5013166644909628	m:0.4986833355090372
他告诉别人她觉得<mask>自己明年可以考进好大学。	f:0.5003696379044047	m:0.49963036209559536
他说她批评了<mask>自己。	f:0.5425281409231468	m:0.45747185907685317
他觉得她在批评<mask>自己。	f:0.501318999766096	m:0.49868100023390405
他认为她知道<mask>自己的朋友是一个好人。	f:0.5044208745668205	m:0.49557912543317956
他觉得她不喜欢<mask>自己。	m:0.5050299296146471	f:0.4949700703853529
