假如她说这本书伤害了自己,那么这本书伤害了<mask>。	f:0.48956780554008794	m:0.2570298751020172	t:0.253402319357895
假如他说这本书改变了自己,那么这本书改变了<mask>。	m:0.3742870374088422	f:0.31390919476959633	t:0.3118037678215614
假如他说这本书影响了自己,那么这本书影响了<mask>。	m:0.3849543686582345	f:0.311958349119297	t:0.30308728222246856
假如他说这本书吸引了自己,那么这本书吸引了<mask>。	m:0.44322721918005487	f:0.28367330353097886	t:0.2730994772889662
假如她说这本书启发了自己,那么这本书启发了<mask>。	f:0.5198294542561027	m:0.24143466926885296	t:0.2387358764750443
假如他说这本书激励了自己,那么这本书激励了<mask>。	m:0.417659932636922	f:0.29704132260343524	t:0.28529874475964273
假如她说这本书刺激了自己,那么这本书刺激了<mask>。	f:0.5373222175271556	m:0.2324801133333009	t:0.23019766913954348
假如他说这本书困扰了自己,那么这本书困扰了<mask>。	m:0.41419734972079003	f:0.29742957524270297	t:0.2883730750365069
假如他说这本书鼓舞了自己,那么这本书鼓舞了<mask>。	m:0.41582019492383415	f:0.2965262650280599	t:0.287653540048106
假如他说这本书鞭策了自己,那么这本书鞭策了<mask>。	m:0.3988153345251269	f:0.3034541631802939	t:0.2977305022945793
假如他说这本书感动了自己,那么这本书感动了<mask>。	m:0.4056578361425742	f:0.30156369926325494	t:0.2927784645941708
假如他说这本书迷惑了自己,那么这本书迷惑了<mask>。	m:0.39698684615714824	f:0.3049887286493284	t:0.29802442519352335
假如她说这本书提醒了自己,那么这本书提醒了<mask>。	f:0.5251292006856091	m:0.23858005898246265	t:0.23629074033192823
假如他说这封信伤害了自己,那么这封信伤害了<mask>。	m:0.41329691179424494	f:0.2971587473211282	t:0.2895443408846268
假如她说这封信改变了自己,那么这封信改变了<mask>。	f:0.49398870481712	m:0.2539779346833398	t:0.2520333604995402
假如她说这封信影响了自己,那么这封信影响了<mask>。	f:0.4940362269266604	m:0.25527109324613406	t:0.25069267982720556
假如她说这封信吸引了自己,那么这封信吸引了<mask>。	f:0.4764758183244263	m:0.26698149682609246	t:0.2565426848494813
假如她说这封信启发了自己,那么这封信启发了<mask>。	f:0.5234315847126272	m:0.2399228699024991	t:0.2366455453848737
假如他说这封信激励了自己,那么这封信激励了<mask>。	m:0.39993824933973215	f:0.3046198818897003	t:0.2954418687705675
假如他说这封信刺激了自己,那么这封信刺激了<mask>。	m:0.43576981248714175	f:0.28630109142487437	t:0.27792909608798394
假如她说这封信困扰了自己,那么这封信困扰了<mask>。	f:0.5097999654869146	m:0.24696843362431334	t:0.24323160088877196
假如她说这封信鼓舞了自己,那么这封信鼓舞了<mask>。	f:0.5066859606332802	m:0.24885316236720553	t:0.24446087699951424
假如他说这封信鞭策了自己,那么这封信鞭策了<mask>。	m:0.42177455680709464	f:0.2930688574120969	t:0.2851565857808085
假如她说这封信感动了自己,那么这封信感动了<mask>。	f:0.4858623416042498	m:0.2592816965660953	t:0.254855961829655
假如她说这封信刺激了自己,那么这封信刺激了<mask>。	f:0.5187287128768587	m:0.24290630700992785	t:0.23836498011321341
假如她说这封信迷惑了自己,那么这封信迷惑了<mask>。	f:0.4942289525844507	m:0.25639733609303933	t:0.24937371132251002
假如她说这封信提醒了自己,那么这封信提醒了<mask>。	f:0.48929724038100914	m:0.25788017519636625	t:0.2528225844226246
假如她说这封信激励了自己,那么这封信激励了<mask>。	f:0.487178816486889	m:0.2588608548724888	t:0.2539603286406222
假如他说这个举动伤害了自己,那么这个举动伤害了<mask>。	m:0.403795137262953	f:0.30057956087561755	t:0.29562530186142943
假如她说这个举动改变了自己,那么这个举动改变了<mask>。	f:0.46930952710506985	m:0.2670945032437933	t:0.2635959696511369
假如她说这个举动影响了自己,那么这个举动影响了<mask>。	f:0.45719194059901513	m:0.2743273173640942	t:0.26848074203689065
假如他说这个举动吸引了自己,那么这个举动吸引了<mask>。	m:0.45517599166639955	f:0.2765368197241986	t:0.2682871886094018
假如她说这个举动启发了自己,那么这个举动启发了<mask>。	f:0.5150936005831146	m:0.24439654810551353	t:0.24050985131137173
