如果她推荐他的情妇是关于自己的， 那么情妇是关于<mask>的。	f:0.5054108101811513	m:0.49458918981884864
如果她留给他的财产是关于自己的， 那么财产是关于<mask>的。	m:0.5084220772591418	f:0.4915779227408582
如果她送给他的球是关于自己的， 那么球是关于<mask>的。	f:0.5611203827237137	m:0.4388796172762863
如果她向他描述的情妇是关于自己的， 那么情妇是关于<mask>的。	f:0.510044564276167	m:0.489955435723833
如果她留给他的印象是关于自己的， 那么印象是关于<mask>的。	f:0.5420209765668906	m:0.4579790234331093
如果她看向他的目光是来自自己的， 那么目光是关于<mask>的。	f:0.5144823204480408	m:0.48551767955195935
如果她留给他的钱是关于自己的， 那么钱是关于<mask>的。	f:0.5093921922138546	m:0.49060780778614554
如果她介绍给他的情妇是喜欢自己的， 那么情妇是关于<mask>的。	m:0.5089994318017109	f:0.4910005681982891
如果她介绍给他的财产是属于自己的， 那么财产是关于<mask>的。	m:0.5012544590735393	f:0.4987455409264607
如果她介绍他的伙伴是喜欢自己的， 那么伙伴是关于<mask>的。	f:0.5179516591699823	m:0.48204834083001774
如果她介绍给他的媳妇是喜欢自己的， 那么媳妇是关于<mask>的。	m:0.5023741264284983	f:0.49762587357150173
如果她介绍他的床是关于自己的， 那么床是关于<mask>的。	f:0.5330131629840177	m:0.4669868370159823
如果她介绍他的太太是关于自己的， 那么太太是关于<mask>的。	m:0.5389717165485024	f:0.46102828345149754
如果她介绍他的家庭是关于自己的， 那么家庭是关于<mask>的。	f:0.5068949262345066	m:0.49310507376549345
如果她介绍他的同伙是关于自己的， 那么同伙是关于<mask>的。	f:0.5255660327944706	m:0.47443396720552944
如果她介绍他的妻子是关于自己的， 那么妻子是关于<mask>的。	m:0.5585898695847061	f:0.4414101304152938
如果她介绍他的意见是关于自己的， 那么意见是关于<mask>的。	f:0.5286492932532907	m:0.47135070674670937
如果她介绍他的女人是关于自己的， 那么女人是关于<mask>的。	m:0.5859799691710148	f:0.4140200308289852
如果她介绍他的样子是关于自己的， 那么样子是关于<mask>的。	f:0.5540317338376483	m:0.4459682661623517
如果她介绍他的夫人是关于自己的， 那么夫人是关于<mask>的。	m:0.515983628419426	f:0.484016371580574
如果她介绍他的作品是关于自己的， 那么作品是关于<mask>的。	f:0.5499735440522489	m:0.4500264559477511
如果她介绍他的兄弟是关于自己的， 那么兄弟是关于<mask>的。	f:0.5285822181695875	m:0.4714177818304125
如果她介绍他的车是关于自己的， 那么车是关于<mask>的。	f:0.5367151334143365	m:0.4632848665856636
如果她介绍他的烟是关于自己的， 那么烟是关于<mask>的。	f:0.5140225278938636	m:0.48597747210613645
如果她介绍他的老婆是关于自己的， 那么老婆是关于<mask>的。	m:0.5456318294180974	f:0.45436817058190265
如果她看他的钱是关于自己的， 那么钱是关于<mask>的。	f:0.5254687215553295	m:0.4745312784446705
如果她看他的情妇是关于自己的， 那么情妇是关于<mask>的。	m:0.5196161639074909	f:0.48038383609250906
如果她看他的财产是关于自己的， 那么财产是关于<mask>的。	f:0.5219392108343562	m:0.4780607891656438
如果她看他的印象是关于自己的， 那么印象是关于<mask>的。	f:0.52269271873482	m:0.47730728126517996
如果她看他的生命是关于自己的， 那么生命是关于<mask>的。	f:0.5533946815022958	m:0.44660531849770435
如果她看他的目光是关于自己的， 那么目光是关于<mask>的。	f:0.533787284001586	m:0.4662127159984139
如果她看他的敌人是关于自己的， 那么敌人是关于<mask>的。	f:0.587839157411823	m:0.41216084258817703
如果她看他的事业是关于自己的， 那么事业是关于<mask>的。	f:0.5390051032452665	m:0.46099489675473343
如果她看他的伙伴是关于自己的， 那么伙伴是关于<mask>的。	f:0.5591265116628495	m:0.44087348833715045
如果她看他的球是关于自己的， 那么球是关于<mask>的。	f:0.5465010269098636	m:0.45349897309013637
如果她看他的媳妇是关于自己的， 那么媳妇是关于<mask>的。	m:0.5581027328870372	f:0.44189726711296284
如果她看他的床是关于自己的， 那么床是关于<mask>的。	f:0.5372390344035399	m:0.4627609655964601
如果她看他的太太是关于自己的， 那么太太是关于<mask>的。	m:0.5723455234886877	f:0.42765447651131233
如果她看他的家庭是关于自己的， 那么家庭是关于<mask>的。	f:0.5121701233697254	m:0.48782987663027455
如果她看他的同伙是关于自己的， 那么同伙是关于<mask>的。	f:0.5384807545241425	m:0.46151924547585754
如果她看他的妻子是关于自己的， 那么妻子是关于<mask>的。	m:0.5878829209817847	f:0.41211707901821515
如果她看他的意见是关于自己的， 那么意见是关于<mask>的。	f:0.534743027146326	m:0.4652569728536739
如果她看他的女人是关于自己的， 那么女人是关于<mask>的。	m:0.6152942199549525	f:0.3847057800450474
如果她看他的样子是关于自己的， 那么样子是关于<mask>的。	f:0.525289907580179	m:0.474710092419821
如果她看他的夫人是关于自己的， 那么夫人是关于<mask>的。	m:0.5305368428190379	f:0.4694631571809621
如果她看他的作品是关于自己的， 那么作品是关于<mask>的。	f:0.5662656981512106	m:0.43373430184878947
如果她看他的兄弟是关于自己的， 那么兄弟是关于<mask>的。	f:0.5440156689675275	m:0.45598433103247255
如果她看他的车是关于自己的， 那么车是关于<mask>的。	f:0.5437477988036272	m:0.45625220119637283
如果她看他的烟是关于自己的， 那么烟是关于<mask>的。	f:0.5253718542655024	m:0.47462814573449763
如果她看他的老婆是关于自己的， 那么老婆是关于<mask>的。	m:0.5902855397402557	f:0.40971446025974434
如果她展示他的钱是关于自己的， 那么钱是关于<mask>的。	f:0.5302319477849378	m:0.46976805221506224
如果她展示他的情妇是关于自己的， 那么情妇是关于<mask>的。	m:0.5040196171176853	f:0.49598038288231466
如果她展示他的财产是关于自己的， 那么财产是关于<mask>的。	f:0.5181591923351397	m:0.48184080766486026
如果她展示他的印象是关于自己的， 那么印象是关于<mask>的。	f:0.5385548552081979	m:0.46144514479180215
如果她展示他的生命是关于自己的， 那么生命是关于<mask>的。	f:0.5650940770207442	m:0.4349059229792558
如果她展示他的目光是关于自己的， 那么目光是关于<mask>的。	f:0.5604450444738112	m:0.43955495552618895
如果她展示他的敌人是关于自己的， 那么敌人是关于<mask>的。	f:0.5715840920743669	m:0.42841590792563317
如果她展示他的事业是关于自己的， 那么事业是关于<mask>的。	f:0.5406032694259751	m:0.45939673057402486
如果她展示他的伙伴是关于自己的， 那么伙伴是关于<mask>的。	f:0.5668948668291923	m:0.43310513317080773
如果她展示他的球是关于自己的， 那么球是关于<mask>的。	f:0.558914303976797	m:0.44108569602320297
如果她展示他的媳妇是关于自己的， 那么媳妇是关于<mask>的。	m:0.5454504979052078	f:0.4545495020947921
如果她展示他的床是关于自己的， 那么床是关于<mask>的。	f:0.543407254005817	m:0.4565927459941829
如果她展示他的太太是关于自己的， 那么太太是关于<mask>的。	m:0.5464336275516398	f:0.4535663724483601
如果她展示他的家庭是关于自己的， 那么家庭是关于<mask>的。	f:0.5263779051772316	m:0.4736220948227684
如果她展示他的同伙是关于自己的， 那么同伙是关于<mask>的。	f:0.5535366898701668	m:0.4464633101298331
如果她展示他的妻子是关于自己的， 那么妻子是关于<mask>的。	m:0.568612931795336	f:0.43138706820466405
如果她展示他的意见是关于自己的， 那么意见是关于<mask>的。	f:0.5301031804824664	m:0.4698968195175336
如果她展示他的女人是关于自己的， 那么女人是关于<mask>的。	m:0.598337471193174	f:0.401662528806826
如果她展示他的样子是关于自己的， 那么样子是关于<mask>的。	f:0.5618709152776804	m:0.43812908472231954
如果她展示他的夫人是关于自己的， 那么夫人是关于<mask>的。	m:0.5151261263779215	f:0.48487387362207834
如果她展示他的作品是关于自己的， 那么作品是关于<mask>的。	f:0.5681863225561077	m:0.4318136774438923
如果她展示他的兄弟是关于自己的， 那么兄弟是关于<mask>的。	f:0.548519067430339	m:0.451480932569661
如果她展示他的车是关于自己的， 那么车是关于<mask>的。	f:0.5511674568146248	m:0.44883254318537524
如果她展示他的烟是关于自己的， 那么烟是关于<mask>的。	f:0.5284447879806854	m:0.47155521201931466
如果她展示他的老婆是关于自己的， 那么老婆是关于<mask>的。	m:0.564714786688213	f:0.435285213311787
