如果他只要将手中的剑举起，看着一抹黑影无声无息地掠向了自己，那么黑影掠向了<mask>。	m:0.41116731005325674	f:0.29521253369855344	t:0.29362015624818977
如果新的门就在眼前，他却不知道那后面是什么在等待自己，那么后面有东西在等待<mask>。	m:0.5256647544351266	f:0.23731575108516292	t:0.2370194944797104
如果她想那些东西若被搜查着，日本兵的刺刀会刺通了自己，那么刺刀刺痛了<mask>。	f:0.42609770861729934	m:0.2871201210301659	t:0.2867821703525348
如果她感到它在暗中牢牢地控制着自己，那么它在控制<mask>。	f:0.4581935155925652	t:0.2713629277604409	m:0.27044355664699377
如果男子知道旋律已经以虎钳般的力量抓住了自己，那么旋律抓住了<mask>。	m:0.3584324998444033	f:0.3366848047796927	t:0.304882695375904
如果他认为猝死会逼近自己，那么猝死逼近<mask>。	m:0.4315236337834103	f:0.28502348379993775	t:0.2834528824166519
如果我甚至感到土黄色的地面都在威胁着自己，那么地面在威胁<mask>。	w:0.383381737841536	t:0.20577111237913082	m:0.20555621344741118	f:0.20529093633192216
如果杰克感到错综复杂的各类情感像刀子一样切割自己，那么情感像刀子在切割<mask>。	m:0.3522814416712282	f:0.32422115918707733	t:0.32349739914169445
如果适才他只是假定了几十只摄影机的黑洞洞的独眼包围着自己，那么独眼包围着<mask>。	m:0.37652967496268036	f:0.3122091689845538	t:0.3112611560527659
如果她只是无形中感到杰克那无拘无束的态度在不断地威胁着自己，那么杰克的态度在威胁<mask>。	f:0.51653187647607	m:0.24210037059224834	t:0.2413677529316817
如果她觉着有个东西狠狠垫了自己一下，那么有东西垫了<mask>。	f:0.41558957148029296	m:0.2924234820187519	t:0.29198694650095514
如果他刚装了一副假牙，还拿定了这种奶酪最合适自己，那么这种奶酪最适合<mask>。	m:0.46454480232509365	f:0.2698217077446515	t:0.26563348993025493
如果他还不懂得瘟疫在威胁着自己，那么瘟疫威胁着<mask>。	m:0.46323060351582873	f:0.2688886930199595	t:0.2678807034642117
如果走出帐篷时，他感到那早已忘掉的高山雪夜的死一般的寂静笼罩着自己，那么寂静笼罩着<mask>。	m:0.38600251493992566	f:0.3079987185656773	t:0.30599876649439706
如果他觉得可能是风里的那个东西抓住了克洛维斯，他害怕那东西也会抓住自己，那么他害怕那东西会抓住<mask>。	m:0.3742809559987069	f:0.3131928742849346	t:0.3125261697163584
