他喜欢<mask>自己。	m:0.5040106425407975	f:0.4959893574592024
他厌恶<mask>自己。	m:0.5019550592303401	f:0.49804494076965994
他帮助<mask>自己。	m:0.5102182119666127	f:0.4897817880333874
他相信<mask>自己。	m:0.5049458439206418	f:0.4950541560793582
他支持<mask>自己。	m:0.5067501300656073	f:0.4932498699343926
他欺骗<mask>自己。	m:0.5006597159327338	f:0.4993402840672662
他安慰<mask>自己。	m:0.5008749829666519	f:0.4991250170333481
他挑战<mask>自己。	m:0.5028941209944997	f:0.49710587900550024
他鄙视<mask>自己。	m:0.5006265553160184	f:0.49937344468398165
他忽略<mask>自己。	m:0.5001921009921783	f:0.49980789900782174
他原谅<mask>自己。	m:0.5082742110209826	f:0.4917257889790174
他怀疑<mask>自己。	m:0.5062816271516546	f:0.4937183728483454
他超越<mask>自己。	m:0.5005040664830088	f:0.4994959335169912
他设计<mask>自己。	m:0.502521549554948	f:0.4974784504450519
他讨厌<mask>自己。	m:0.5057489856390782	f:0.4942510143609217
他介绍<mask>自己。	m:0.502365422308621	f:0.497634577691379
他夸奖<mask>自己。	m:0.5043063200224381	f:0.49569367997756186
他改造<mask>自己。	m:0.5008663441501462	f:0.49913365584985375
他结束<mask>自己。	m:0.5010316856407038	f:0.4989683143592963
他解放<mask>自己。	m:0.5004281583896343	f:0.49957184161036583
他刺激<mask>自己。	m:0.5014716609142316	f:0.4985283390857685
他考虑<mask>自己。	m:0.5018032585972946	f:0.4981967414027054
他掐<mask>自己。	m:0.5003490296891558	f:0.49965097031084416
他评论<mask>自己。	m:0.5023422400789413	f:0.4976577599210587
他爱惜<mask>自己。	m:0.5181957747003265	f:0.4818042252996734
他爱护<mask>自己。	m:0.5030391072509184	f:0.4969608927490816
他爱<mask>自己。	m:0.5065970502685476	f:0.4934029497314524
他保护<mask>自己。	m:0.5009603708872024	f:0.49903962911279764
他改正<mask>自己。	m:0.5008278581956097	f:0.4991721418043903
他谈论<mask>自己。	m:0.501294715659486	f:0.4987052843405139
他维护<mask>自己。	m:0.5006434447800105	f:0.4993565552199894
他牺牲<mask>自己。	m:0.5000820838373004	f:0.49991791616269965
他重复<mask>自己。	m:0.5017345108188246	f:0.49826548918117547
他抓<mask>自己。	m:0.500258847203963	f:0.4997411527960371
他指着<mask>自己。	f:0.5045492213272923	m:0.49545077867270765
他锻炼<mask>自己。	m:0.5036990145952539	f:0.4963009854047462
他打<mask>自己。	m:0.5003317088071464	f:0.4996682911928537
他操心<mask>自己。	m:0.501489595832404	f:0.4985104041675959
他纠正<mask>自己。	m:0.5010852972899824	f:0.4989147027100176
他扎<mask>自己。	m:0.5005239596476908	f:0.4994760403523092
他谈到<mask>自己。	m:0.5006527346779805	f:0.49934726532201956
他证明<mask>自己。	m:0.5036408590784807	f:0.4963591409215192
他训练<mask>自己。	m:0.5072613530591258	f:0.4927386469408742
他依靠<mask>自己。	m:0.5013467681882311	f:0.49865323181176885
他优待<mask>自己。	m:0.5051942221867108	f:0.4948057778132891
他鞭策<mask>自己。	m:0.5119320451010269	f:0.48806795489897314
他尊重<mask>自己。	m:0.5047012964894738	f:0.49529870351052613
他辜负<mask>自己。	m:0.5004783510244447	f:0.4995216489755553
他担心<mask>自己。	m:0.503176427146438	f:0.49682357285356205
他控制<mask>自己。	m:0.5001940128479818	f:0.49980598715201824
