假如她说他反思自己,那么他反思<mask>自己。	m:0.502467405510748	f:0.49753259448925197
假如她说他反省自己,那么他反省<mask>自己。	m:0.5011358711886174	f:0.4988641288113826
假如她说他坦白自己,那么他坦白<mask>自己。	f:0.5026483437110673	m:0.4973516562889328
假如她说他迷失自己,那么他迷失<mask>自己。	f:0.5003570318779379	m:0.49964296812206205
假如她说他克制自己,那么他克制<mask>自己。	f:0.5024984284976519	m:0.4975015715023481
假如她说他检讨自己,那么他检讨<mask>自己。	f:0.5121421625110119	m:0.4878578374889882
假如她说他放松自己,那么他放松<mask>自己。	m:0.5004250510968812	f:0.4995749489031189
假如她说他磨练自己,那么他磨练<mask>自己。	m:0.5002712914453954	f:0.4997287085546046
假如她说他奉献自己,那么他奉献<mask>自己。	m:0.5012291666039089	f:0.49877083339609113
假如她说他调整自己,那么他调整<mask>自己。	f:0.5040614703491096	m:0.4959385296508903
假如她说他提升自己,那么他提升<mask>自己。	f:0.5002598818157534	m:0.4997401181842466
假如她说他炫耀自己,那么他炫耀<mask>自己。	f:0.5077883566677038	m:0.49221164333229617
假如她说他调节自己,那么他调节<mask>自己。	m:0.5101040823500153	f:0.48989591764998475
假如她说他坚持自己,那么他坚持<mask>自己。	f:0.5023219753771442	m:0.4976780246228558
假如她说他交代自己,那么他交代<mask>自己。	f:0.5213451059371228	m:0.4786548940628772
假如她说他计较自己,那么他计较<mask>自己。	f:0.5288864983693206	m:0.4711135016306795
假如她说他检讨自己,那么他检讨<mask>自己。	f:0.5121421625110119	m:0.4878578374889882
假如她说他卖弄自己,那么他卖弄<mask>自己。	f:0.5081245192396405	m:0.4918754807603595
假如她说他表达自己,那么他表达<mask>自己。	f:0.5031586379112074	m:0.4968413620887926
假如她说他表现自己,那么他表现<mask>自己。	f:0.5008577714641075	m:0.4991422285358926
假如她说他扭伤自己,那么他扭伤<mask>自己。	f:0.5021492931158654	m:0.4978507068841345
