假如她告诉他一个关于自己的秘密， 那么秘密是关于<mask>的。	f:0.5727590000211829	m:0.4272409999788171
假如她寄给他一封关于自己的信， 那么信是关于<mask>的。	f:0.5506047218638571	m:0.44939527813614294
假如她送给他一本关于自己的书， 那么书是关于<mask>的。	f:0.5926908565416202	m:0.40730914345837976
假如她描述给他一个关于自己的梦， 那么梦是关于<mask>的。	f:0.5278828359477719	m:0.47211716405222814
假如她解释给他一个关于自己的决定， 那么决定是关于<mask>的。	f:0.526119844801252	m:0.4738801551987481
假如她展示给他一幅关于自己的画， 那么画是关于<mask>的。	f:0.5649659743142594	m:0.4350340256857406
假如她讲述给他一个关于自己的故事， 那么故事是关于<mask>的。	f:0.55920964179143	m:0.4407903582085701
假如她编写给他一首关于自己的诗， 那么诗是关于<mask>的。	f:0.5585871874622587	m:0.4414128125377413
假如她演示给他一个关于自己的技巧， 那么技巧是关于<mask>的。	f:0.5234870633307637	m:0.4765129366692364
假如她描述给他一场关于自己的经历， 那么经历是关于<mask>的。	f:0.5527073017669042	m:0.44729269823309586
假如她回忆给他一段关于自己的往事， 那么往事是关于<mask>的。	f:0.549623498754324	m:0.45037650124567585
假如她给他看了一张关于自己的照片， 那么照片是关于<mask>的。	f:0.5633311521362409	m:0.43666884786375915
假如她发给他一条关于自己的消息， 那么消息是关于<mask>的。	f:0.5223446421804634	m:0.47765535781953666
假如她写给他一篇关于自己的文章， 那么文章是关于<mask>的。	f:0.5551197542817481	m:0.4448802457182519
假如她展示给他一张关于自己的地图， 那么地图是关于<mask>的。	f:0.5251389413833415	m:0.4748610586166586
假如她讲给他一个关于自己的笑话， 那么笑话是关于<mask>的。	f:0.5600897801639406	m:0.4399102198360594
假如她传给他一个关于自己的文件， 那么文件是关于<mask>的。	f:0.5561653255575102	m:0.4438346744424898
假如她绘制给他一幅关于自己的草图， 那么草图是关于<mask>的。	f:0.558370313703383	m:0.4416296862966171
假如她提供给他一项关于自己的建议， 那么建议是关于<mask>的。	f:0.5180818657345172	m:0.48191813426548274
假如她演唱给他一首关于自己的歌曲， 那么歌曲是关于<mask>的。	f:0.5079239007127992	m:0.49207609928720075
假如她设计给他一个关于自己的项目， 那么项目是关于<mask>的。	f:0.5227369061504399	m:0.47726309384956
假如她讲述给他一段关于自己的历史， 那么历史是关于<mask>的。	f:0.6015620441247471	m:0.398437955875253
假如她推荐给他一本关于自己的传记， 那么传记是关于<mask>的。	f:0.5790485237802595	m:0.4209514762197405
假如她解释给他一个关于自己的观点， 那么观点是关于<mask>的。	f:0.564589815959761	m:0.43541018404023907
假如她分享给他一篇关于自己的论文， 那么论文是关于<mask>的。	f:0.5549657623302958	m:0.4450342376697043
假如她报告给他一项关于自己的研究， 那么研究是关于<mask>的。	f:0.5495486855224478	m:0.4504513144775521
假如她送给他一个关于自己的纪念品， 那么纪念品是关于<mask>的。	f:0.5757014583167199	m:0.4242985416832801
假如她展示给他一份关于自己的简历， 那么简历是关于<mask>的。	f:0.557071270130471	m:0.442928729869529
假如她描绘给他一幅关于自己的肖像， 那么肖像是关于<mask>的。	f:0.525268675682848	m:0.47473132431715204
假如她讨论给他一个关于自己的话题， 那么话题是关于<mask>的。	f:0.5428802362048932	m:0.45711976379510677
假如她汇报给他一项关于自己的成就， 那么成就是关于<mask>的。	f:0.5707815791059213	m:0.4292184208940787
假如她寄给他一件关于自己的物品， 那么物品是关于<mask>的。	f:0.5622501576053078	m:0.43774984239469206
假如她翻译给他一篇关于自己的文章， 那么文章是关于<mask>的。	f:0.5612982580522018	m:0.4387017419477982
假如她编排给他一个关于自己的节目， 那么节目是关于<mask>的。	f:0.5388520110569891	m:0.46114798894301084
假如她演示给他一段关于自己的舞蹈， 那么舞蹈是关于<mask>的。	f:0.5488305169930552	m:0.45116948300694476
假如她朗读给他一封关于自己的信件， 那么信件是关于<mask>的。	f:0.5711899547406564	m:0.4288100452593437
假如她发布给他一条关于自己的公告， 那么公告是关于<mask>的。	f:0.5331925617463351	m:0.4668074382536649
假如她策划给他一个关于自己的活动， 那么活动是关于<mask>的。	f:0.5249385625965144	m:0.47506143740348566
假如她陈述给他一份关于自己的声明， 那么声明是关于<mask>的。	f:0.5517537173587215	m:0.4482462826412785
假如她发送给他一条关于自己的通知， 那么通知是关于<mask>的。	f:0.5047046867275449	m:0.4952953132724551
