在“不管他是否原谅自己”这句话中，自己指的是	f:0.49966800217739266	m:0.5003319978226074
在“赫尔曼问自己”这句话中，自己指的是	f:0.4998228699042987	m:0.5001771300957013
在“原始的欲又来了，一种百战不死的老兵；他唤醒自己”这句话中，自己指的是	f:0.49959389874328214	m:0.5004061012567179
在“他没有看见自己”这句话中，自己指的是	f:0.49634863966833875	m:0.5036513603316611
在“王德好象问自己”这句话中，自己指的是	f:0.49986730516268413	m:0.5001326948373159
在“他嘲笑自己”这句话中，自己指的是	f:0.4958520291181916	m:0.5041479708818084
在“不过这事全都怪自己”这句话中，自己指的是	f:0.49992789328148285	m:0.5000721067185171
在“他只爱自己。”这句话中，自己指的是	f:0.4958097574630849	m:0.504190242536915
在“他问自己”这句话中，自己指的是	f:0.4906742362322394	m:0.5093257637677606
在“雅夏问自己”这句话中，自己指的是	f:0.49997058510783726	m:0.5000294148921627
在“斯捷潘·阿尔卡季奇想到自己”这句话中，自己指的是	f:0.49960947044684634	m:0.5003905295531538
在“倘使有这种男人，也是他在欺骗自己”这句话中，自己指的是	f:0.49988923967065785	m:0.5001107603293421
在“这要看自己”这句话中，自己指的是	f:0.499990537762643	m:0.5000094622373569
在“他不爱自己”这句话中，自己指的是	f:0.4966822306498786	m:0.5033177693501214
在“他回答自己”这句话中，自己指的是	f:0.49644504517427196	m:0.503554954825728
在“瑞宣认识自己”这句话中，自己指的是	f:0.49989898502964125	m:0.5001010149703586
在“他恨自己，他轻视他自己”这句话中，自己指的是	f:0.49755569259449	m:0.5024443074055099
在“你不信问自己”这句话中，自己指的是	f:0.4999876916408564	m:0.5000123083591437
在“以同样的方式，拥有认自我的知识的人会认识他自己”这句话中，自己指的是	f:0.4998893886822625	m:0.5001106113177375
在“每个人只能代表自己”这句话中，自己指的是	f:0.49999101459980105	m:0.5000089854001989
在“林乃久问自己”这句话中，自己指的是	f:0.49990580976120785	m:0.5000941902387921
在“别这么心慌，雅夏尔，他劝自己”这句话中，自己指的是	f:0.4993168119867519	m:0.5006831880132481
在“是相信我胜过相信自己”这句话中，自己指的是	f:0.4999742507934798	m:0.5000257492065202
在“接下来，只等着大下巴的人介绍自己了”这句话中，自己指的是	f:0.4999582767487541	m:0.500041723251246
在“王子在打扮自己了”这句话中，自己指的是	f:0.4998273253509505	m:0.5001726746490496
在“这时候他说到自己了”这句话中，自己指的是	f:0.49860927821220136	m:0.5013907217877986
在“既然家有信来，还是要好好替他打算一下，把利害说给他，取决当然在于自己了”这句话中，自己指的是	f:0.49998310208321267	m:0.5000168979167874
在“杰夫劝自己保管，或者早点回家，以免那些不怀好意的庄稼汉钻进来骗了去”这句话中，自己指的是	f:0.49993544817006685	m:0.500064551829933
在“宰相您问自己去，听他回答您什么吧”这句话中，自己指的是	f:0.4999777823686746	m:0.5000222176313254
在“接下来的六个星期都属于自己可是女主人说：“噢，别急”这句话中，自己指的是	f:0.5000663548704066	m:0.4999336451295934
在“他的空虚令自己吃惊”这句话中，自己指的是	f:0.49926203542888914	m:0.5007379645711109
在““假如他说到自己呢？”这句话中，自己指的是	f:0.49932013493952426	m:0.5006798650604757
在““我打算让自己权衡一下利弊，一方面是偷窃的行为给他带来的一点点小利益，另一”这句话中，自己指的是	f:0.49996379017836223	m:0.5000362098216378
在“王琦瑶让自己泡茶，问他这些日子做什么，打不打桥牌，有没有分配工作的消息”这句话中，自己指的是	f:0.5000556409356681	m:0.4999443590643318
在“使善的事物成为自己的”这句话中，自己指的是	f:0.49998979270458366	m:0.5000102072954163
在“有时候他会好气自己，用根棍于敲他自己的脚，或是拿他的头去撞石头什么的”这句话中，自己指的是	f:0.4980438600445524	m:0.5019561399554476
在““没有一分钟留给自己的，”魏德尔太太叹道，“如果你知道他扛在肩膀上的东西有多少…”这句话中，自己指的是	f:0.5000697970385786	m:0.4999302029614214
在“通过使美的东西成为自己的，他将得到什么呢”这句话中，自己指的是	f:0.49947309513523097	m:0.500526904864769
在“不过，这三天假日是属于自己的，他要干自己想干的事”这句话中，自己指的是	f:0.4994850309523903	m:0.5005149690476097
在“让他捡，如果他拿自己的，而且心满意足，你就把另外两把全赠给他”这句话中，自己指的是	f:0.4981004240114606	m:0.5018995759885394
在“他应该写自己而不是克里斯塔尔……我辜负了他”这句话中，自己指的是	f:0.4984314642147166	m:0.5015685357852834
