在“他给她推荐自己的丈夫”这句话中，自己指的是	f:0.4958592407847118	m:0.5041407592152882
在“他给她推荐自己的胳膊”这句话中，自己指的是	f:0.491557446920103	m:0.5084425530798969
在“他给她推荐自己的头发”这句话中，自己指的是	f:0.49247297888103647	m:0.5075270211189634
在“他给她推荐自己的身体”这句话中，自己指的是	f:0.49121088925400275	m:0.5087891107459972
在“他给她推荐自己的美貌”这句话中，自己指的是	f:0.49359463926486874	m:0.5064053607351312
在“他给她推荐自己的裙子”这句话中，自己指的是	f:0.49534381975189057	m:0.5046561802481094
在“他给她推荐自己的胸脯”这句话中，自己指的是	f:0.4953390517942456	m:0.5046609482057545
在“他给她推荐自己的面颊”这句话中，自己指的是	f:0.49462649053724417	m:0.5053735094627558
在“他给她推荐自己的笑容”这句话中，自己指的是	f:0.49656068742831183	m:0.5034393125716882
在“他给她推荐自己的身材”这句话中，自己指的是	f:0.49165028477056943	m:0.5083497152294306
在“他给她推荐自己的肉体”这句话中，自己指的是	f:0.4932113289476927	m:0.5067886710523073
在“他给她推荐自己的容貌”这句话中，自己指的是	f:0.492355942302764	m:0.507644057697236
在“他给她推荐自己的处境”这句话中，自己指的是	f:0.49138690805175594	m:0.508613091948244
在“他给她推荐自己的脸庞”这句话中，自己指的是	f:0.49626172594164464	m:0.5037382740583554
在“他给她推荐自己的笑声”这句话中，自己指的是	f:0.4965990710235179	m:0.5034009289764821
在“他给她推荐自己的举止”这句话中，自己指的是	f:0.49392265209966363	m:0.5060773479003363
在“他给她推荐自己的形象”这句话中，自己指的是	f:0.49120779077052057	m:0.5087922092294794
在“他给她推荐自己的脸蛋”这句话中，自己指的是	f:0.4957510063691577	m:0.5042489936308423
在“他给她推荐自己的愿望”这句话中，自己指的是	f:0.4892972369506906	m:0.5107027630493094
在“他给她推荐自己的照片”这句话中，自己指的是	f:0.49183250604542594	m:0.5081674939545741
在“他给她推荐自己的关系”这句话中，自己指的是	f:0.48880490040286484	m:0.511195099597135
在“他给她推荐自己的姐姐”这句话中，自己指的是	f:0.48705604866990265	m:0.5129439513300974
在“他给她推荐自己的爱人”这句话中，自己指的是	f:0.4857383322994846	m:0.5142616677005154
在“他给她推荐自己的欢心”这句话中，自己指的是	f:0.4964061849319487	m:0.5035938150680513
在“他给她推荐自己的前额”这句话中，自己指的是	f:0.49555265711549606	m:0.504447342884504
在“他给她描述自己的丈夫”这句话中，自己指的是	f:0.496393743107383	m:0.503606256892617
在“他给她描述自己的胳膊”这句话中，自己指的是	f:0.4929818352211318	m:0.5070181647788682
在“他给她描述自己的头发”这句话中，自己指的是	f:0.49132505692191264	m:0.5086749430780874
在“他给她描述自己的身体”这句话中，自己指的是	f:0.4865806150995535	m:0.5134193849004466
在“他给她描述自己的美貌”这句话中，自己指的是	f:0.4926174880129285	m:0.5073825119870715
在“他给她描述自己的裙子”这句话中，自己指的是	f:0.4958520887187343	m:0.5041479112812658
在“他给她描述自己的胸脯”这句话中，自己指的是	f:0.4937954749752509	m:0.5062045250247492
在“他给她描述自己的面颊”这句话中，自己指的是	f:0.4925919232141433	m:0.5074080767858566
在“他给她描述自己的笑容”这句话中，自己指的是	f:0.4947548644648704	m:0.5052451355351296
在“他给她描述自己的身材”这句话中，自己指的是	f:0.4895000399465177	m:0.5104999600534823
在“他给她描述自己的肉体”这句话中，自己指的是	f:0.49365626044998	m:0.50634373955002
在“他给她描述自己的容貌”这句话中，自己指的是	f:0.48868563236549173	m:0.5113143676345083
在“他给她描述自己的处境”这句话中，自己指的是	f:0.48786223027473796	m:0.512137769725262
在“他给她描述自己的脸庞”这句话中，自己指的是	f:0.4920038842157671	m:0.507996115784233
在“他给她描述自己的笑声”这句话中，自己指的是	f:0.4950749082896959	m:0.5049250917103042
在“他给她描述自己的举止”这句话中，自己指的是	f:0.493322411857653	m:0.5066775881423471
在“他给她描述自己的形象”这句话中，自己指的是	f:0.4901357576784319	m:0.509864242321568
在“他给她描述自己的脸蛋”这句话中，自己指的是	f:0.49265050181951014	m:0.5073494981804899
在“他给她描述自己的愿望”这句话中，自己指的是	f:0.488529549269759	m:0.511470450730241
在“他给她描述自己的照片”这句话中，自己指的是	f:0.49413958208408715	m:0.5058604179159127
在“他给她描述自己的关系”这句话中，自己指的是	f:0.48732361698021337	m:0.5126763830197867
在“他给她描述自己的姐姐”这句话中，自己指的是	f:0.49192427297973984	m:0.5080757270202602
在“他给她描述自己的爱人”这句话中，自己指的是	f:0.4900311330930966	m:0.5099688669069034
在“他给她描述自己的欢心”这句话中，自己指的是	f:0.4961117991795512	m:0.5038882008204488
在“他给她描述自己的前额”这句话中，自己指的是	f:0.49510256217650245	m:0.5048974378234975
在“他给她介绍自己的丈夫”这句话中，自己指的是	f:0.4963207908946715	m:0.5036792091053284
在“他给她介绍自己的胳膊”这句话中，自己指的是	f:0.49242768967886946	m:0.5075723103211306
在“他给她介绍自己的头发”这句话中，自己指的是	f:0.49191736064617786	m:0.5080826393538221
在“他给她介绍自己的身体”这句话中，自己指的是	f:0.487588333295294	m:0.512411666704706
在“他给她介绍自己的美貌”这句话中，自己指的是	f:0.4910311783359641	m:0.508968821664036
在“他给她介绍自己的裙子”这句话中，自己指的是	f:0.4963308039342696	m:0.5036691960657305
在“他给她介绍自己的胸脯”这句话中，自己指的是	f:0.4948107675344441	m:0.5051892324655559
在“他给她介绍自己的面颊”这句话中，自己指的是	f:0.4947739358598643	m:0.5052260641401357
在“他给她介绍自己的笑容”这句话中，自己指的是	f:0.4957547015904932	m:0.5042452984095067
在“他给她介绍自己的身材”这句话中，自己指的是	f:0.48801175085065696	m:0.5119882491493432
在“他给她介绍自己的肉体”这句话中，自己指的是	f:0.4929636593954415	m:0.5070363406045585
在“他给她介绍自己的容貌”这句话中，自己指的是	f:0.4870117326359184	m:0.5129882673640815
在“他给她介绍自己的处境”这句话中，自己指的是	f:0.48493090792200216	m:0.5150690920779979
在“他给她介绍自己的脸庞”这句话中，自己指的是	f:0.495757145204857	m:0.5042428547951431
在“他给她介绍自己的笑声”这句话中，自己指的是	f:0.49534930290422924	m:0.5046506970957708
在“他给她介绍自己的举止”这句话中，自己指的是	f:0.49293398218562606	m:0.5070660178143739
在“他给她介绍自己的形象”这句话中，自己指的是	f:0.4889904177505021	m:0.5110095822494979
在“他给她介绍自己的脸蛋”这句话中，自己指的是	f:0.49453780923955765	m:0.5054621907604423
在“他给她介绍自己的愿望”这句话中，自己指的是	f:0.4850058227956639	m:0.514994177204336
在“他给她介绍自己的照片”这句话中，自己指的是	f:0.4925285179133103	m:0.5074714820866897
在“他给她介绍自己的关系”这句话中，自己指的是	f:0.4864451727588703	m:0.5135548272411297
在“他给她介绍自己的姐姐”这句话中，自己指的是	f:0.48521425403930724	m:0.5147857459606927
在“他给她介绍自己的爱人”这句话中，自己指的是	f:0.4859212907000896	m:0.5140787092999103
在“他给她介绍自己的欢心”这句话中，自己指的是	f:0.49573253026945086	m:0.5042674697305491
在“他给她介绍自己的前额”这句话中，自己指的是	f:0.49500434333617344	m:0.5049956566638265
在“他给她看自己的丈夫”这句话中，自己指的是	f:0.4949609555241897	m:0.5050390444758102
在“他给她看自己的胳膊”这句话中，自己指的是	f:0.48551821554373087	m:0.5144817844562691
