在“她给他推自己的钱”这句话中，自己指的是	f:0.5006391998623549	m:0.49936080013764506
在“她给他推自己的情妇”这句话中，自己指的是	f:0.5006269213252151	m:0.4993730786747849
在“她给他推自己的财产”这句话中，自己指的是	f:0.5009247054047803	m:0.49907529459521965
在“她给他推自己的印象”这句话中，自己指的是	f:0.5005223749167537	m:0.49947762508324645
在“她给他推自己的生命”这句话中，自己指的是	f:0.5007399315200923	m:0.49926006847990767
在“她给他推自己的目光”这句话中，自己指的是	f:0.500350952090803	m:0.49964904790919695
在“她给他推自己的敌人”这句话中，自己指的是	f:0.5005272624922402	m:0.49947273750775967
在“她给他推自己的事业”这句话中，自己指的是	f:0.5006397959078276	m:0.49936020409217236
在“她给他推自己的伙伴”这句话中，自己指的是	f:0.5005462167474345	m:0.49945378325256545
在“她给他推自己的球”这句话中，自己指的是	f:0.5003644227336277	m:0.4996355772663723
在“她给他推自己的媳妇”这句话中，自己指的是	f:0.5004817245900235	m:0.49951827540997645
在“她给他推自己的床”这句话中，自己指的是	f:0.5003538727169461	m:0.4996461272830539
在“她给他推自己的太太”这句话中，自己指的是	f:0.500239253025868	m:0.49976074697413203
在“她给他推自己的家庭”这句话中，自己指的是	f:0.500568747275147	m:0.4994312527248529
在“她给他推自己的同伙”这句话中，自己指的是	f:0.5007008309543045	m:0.49929916904569543
在“她给他推自己的妻子”这句话中，自己指的是	f:0.5002944469111528	m:0.4997055530888473
在“她给他推自己的意见”这句话中，自己指的是	f:0.5004392861189678	m:0.4995607138810322
在“她给他推自己的女人”这句话中，自己指的是	f:0.5007174010122218	m:0.49928259898777816
在“她给他推自己的样子”这句话中，自己指的是	f:0.5009632098680472	m:0.4990367901319528
在“她给他推自己的夫人”这句话中，自己指的是	f:0.50035238260157	m:0.49964761739843
在“她给他推自己的作品”这句话中，自己指的是	f:0.5013121336379484	m:0.4986878663620517
在“她给他推自己的兄弟”这句话中，自己指的是	f:0.5007567399922659	m:0.4992432600077341
在“她给他推自己的车”这句话中，自己指的是	f:0.5004504917833136	m:0.4995495082166864
在“她给他推自己的烟”这句话中，自己指的是	f:0.5006425377169788	m:0.4993574622830213
在“她给他推自己的老婆”这句话中，自己指的是	f:0.5001777410432333	m:0.4998222589567667
在“她给他描自己的钱”这句话中，自己指的是	f:0.5009310234753687	m:0.4990689765246314
在“她给他描自己的情妇”这句话中，自己指的是	f:0.5015649744427269	m:0.49843502555727315
在“她给他描自己的财产”这句话中，自己指的是	f:0.5014541108144163	m:0.4985458891855838
在“她给他描自己的印象”这句话中，自己指的是	f:0.5014557797303384	m:0.49854422026966166
在“她给他描自己的生命”这句话中，自己指的是	f:0.5013544526347945	m:0.49864554736520544
在“她给他描自己的目光”这句话中，自己指的是	f:0.5010302052224538	m:0.49896979477754627
在“她给他描自己的敌人”这句话中，自己指的是	f:0.5014650779755953	m:0.4985349220244048
在“她给他描自己的事业”这句话中，自己指的是	f:0.5012567016841571	m:0.49874329831584285
在“她给他描自己的伙伴”这句话中，自己指的是	f:0.5013190477288748	m:0.49868095227112524
在“她给他描自己的球”这句话中，自己指的是	f:0.500839232610328	m:0.4991607673896719
在“她给他描自己的媳妇”这句话中，自己指的是	f:0.5014610248944537	m:0.4985389751055464
在“她给他描自己的床”这句话中，自己指的是	f:0.5013768638140357	m:0.4986231361859644
在“她给他描自己的太太”这句话中，自己指的是	f:0.5007822507198021	m:0.4992177492801979
在“她给他描自己的家庭”这句话中，自己指的是	f:0.5025568977628284	m:0.49744310223717153
在“她给他描自己的同伙”这句话中，自己指的是	f:0.5012317870969326	m:0.4987682129030674
在“她给他描自己的妻子”这句话中，自己指的是	f:0.5011134129240188	m:0.4988865870759812
在“她给他描自己的意见”这句话中，自己指的是	f:0.5010381922106829	m:0.49896180778931715
在“她给他描自己的女人”这句话中，自己指的是	f:0.5018732460115071	m:0.49812675398849293
在“她给他描自己的样子”这句话中，自己指的是	f:0.5021554098127728	m:0.4978445901872272
在“她给他描自己的夫人”这句话中，自己指的是	f:0.5012683841200443	m:0.4987316158799558
在“她给他描自己的作品”这句话中，自己指的是	f:0.5020418053616809	m:0.49795819463831914
在“她给他描自己的兄弟”这句话中，自己指的是	f:0.502008904137637	m:0.49799109586236295
在“她给他描自己的车”这句话中，自己指的是	f:0.5008823862452122	m:0.49911761375478786
在“她给他描自己的烟”这句话中，自己指的是	f:0.5016666589044151	m:0.4983333410955849
在“她给他描自己的老婆”这句话中，自己指的是	f:0.500473022319819	m:0.49952697768018095
在“她给他介自己的钱”这句话中，自己指的是	f:0.5010156617500026	m:0.4989843382499974
在“她给他介自己的情妇”这句话中，自己指的是	f:0.501611942428732	m:0.49838805757126803
在“她给他介自己的财产”这句话中，自己指的是	f:0.5015959685483176	m:0.4984040314516825
在“她给他介自己的印象”这句话中，自己指的是	f:0.5008041851738716	m:0.49919581482612835
在“她给他介自己的生命”这句话中，自己指的是	f:0.5020234474344853	m:0.49797655256551465
在“她给他介自己的目光”这句话中，自己指的是	f:0.5006535049531949	m:0.49934649504680506
在“她给他介自己的敌人”这句话中，自己指的是	f:0.5007688993114977	m:0.49923110068850235
在“她给他介自己的事业”这句话中，自己指的是	f:0.5018370068863732	m:0.49816299311362666
在“她给他介自己的伙伴”这句话中，自己指的是	f:0.5010910016864937	m:0.4989089983135063
在“她给他介自己的球”这句话中，自己指的是	f:0.5007674688033996	m:0.4992325311966003
在“她给他介自己的媳妇”这句话中，自己指的是	f:0.5011264066713919	m:0.49887359332860814
在“她给他介自己的床”这句话中，自己指的是	f:0.5013322798669977	m:0.4986677201330023
在“她给他介自己的太太”这句话中，自己指的是	f:0.5005272624922402	m:0.49947273750775967
在“她给他介自己的家庭”这句话中，自己指的是	f:0.5025347254098005	m:0.4974652745901995
在“她给他介自己的同伙”这句话中，自己指的是	f:0.5014015399464781	m:0.4985984600535219
在“她给他介自己的妻子”这句话中，自己指的是	f:0.5006496902624079	m:0.49935030973759204
在“她给他介自己的意见”这句话中，自己指的是	f:0.5008482924905334	m:0.4991517075094666
在“她给他介自己的女人”这句话中，自己指的是	f:0.5024885925789095	m:0.49751140742109046
在“她给他介自己的样子”这句话中，自己指的是	f:0.502283557273216	m:0.49771644272678395
在“她给他介自己的夫人”这句话中，自己指的是	f:0.5007989399786117	m:0.4992010600213883
在“她给他介自己的作品”这句话中，自己指的是	f:0.5022501793582437	m:0.4977498206417564
在“她给他介自己的兄弟”这句话中，自己指的是	f:0.5011759974729189	m:0.49882400252708115
在“她给他介自己的车”这句话中，自己指的是	f:0.5008053772636788	m:0.4991946227363212
在“她给他介自己的烟”这句话中，自己指的是	f:0.5010364040790356	m:0.4989635959209643
在“她给他介自己的老婆”这句话中，自己指的是	f:0.5006358620076742	m:0.4993641379923259
在“她给他自己的钱”这句话中，自己指的是	f:0.5000705718989454	m:0.49992942810105456
在“她给他自己的情妇”这句话中，自己指的是	f:0.5010080323867164	m:0.49899196761328357
在“她给他自己的财产”这句话中，自己指的是	f:0.5003395080044625	m:0.4996604919955376
在“她给他自己的印象”这句话中，自己指的是	f:0.5001077651960852	m:0.49989223480391476
在“她给他自己的生命”这句话中，自己指的是	f:0.5007872574976296	m:0.49921274250237024
在“她给他自己的目光”这句话中，自己指的是	f:0.500713347904674	m:0.49928665209532597
在“她给他自己的敌人”这句话中，自己指的是	f:0.5004167555797571	m:0.4995832444202429
在“她给他自己的事业”这句话中，自己指的是	f:0.500384330673819	m:0.499615669326181
在“她给他自己的伙伴”这句话中，自己指的是	f:0.5002546310204677	m:0.4997453689795322
在“她给他自己的球”这句话中，自己指的是	f:0.49986076355340375	m:0.5001392364465962
在“她给他自己的媳妇”这句话中，自己指的是	f:0.5002813338936503	m:0.4997186661063498
在“她给他自己的床”这句话中，自己指的是	f:0.5002632140870136	m:0.4997367859129864
在“她给他自己的太太”这句话中，自己指的是	f:0.5	m:0.5
在“她给他自己的家庭”这句话中，自己指的是	f:0.5005207059885157	m:0.4994792940114843
在“她给他自己的同伙”这句话中，自己指的是	f:0.5000133514404265	m:0.4999866485595734
在“她给他自己的妻子”这句话中，自己指的是	f:0.49969291690872775	m:0.5003070830912721
在“她给他自己的意见”这句话中，自己指的是	f:0.5	m:0.5
在“她给他自己的女人”这句话中，自己指的是	f:0.5007915490213563	m:0.4992084509786437
在“她给他自己的样子”这句话中，自己指的是	f:0.5005493161852429	m:0.4994506838147571
在“她给他自己的夫人”这句话中，自己指的是	f:0.5003652571982102	m:0.49963474280178977
在“她给他自己的作品”这句话中，自己指的是	f:0.5004205702743482	m:0.49957942972565184
在“她给他自己的兄弟”这句话中，自己指的是	f:0.5004987715020391	m:0.4995012284979608
在“她给他自己的车”这句话中，自己指的是	f:0.49982547760718515	m:0.5001745223928149
在“她给他自己的烟”这句话中，自己指的是	f:0.5000324249267124	m:0.49996757507328765
在“她给他自己的老婆”这句话中，自己指的是	f:0.49968719486502816	m:0.5003128051349718
在“她给他展自己的钱”这句话中，自己指的是	f:0.5006275173707249	m:0.4993724826292751
在“她给他展自己的情妇”这句话中，自己指的是	f:0.502052891639727	m:0.4979471083602731
在“她给他展自己的财产”这句话中，自己指的是	f:0.5013399092070504	m:0.49866009079294965
在“她给他展自己的印象”这句话中，自己指的是	f:0.5008568755344247	m:0.49914312446557524
在“她给他展自己的生命”这句话中，自己指的是	f:0.5011672952425663	m:0.49883270475743374
在“她给他展自己的目光”这句话中，自己指的是	f:0.5010862333375155	m:0.49891376666248455
在“她给他展自己的敌人”这句话中，自己指的是	f:0.500534772669011	m:0.499465227330989
在“她给他展自己的事业”这句话中，自己指的是	f:0.501451726648757	m:0.498548273351243
在“她给他展自己的伙伴”这句话中，自己指的是	f:0.5008771410527108	m:0.4991228589472892
在“她给他展自己的球”这句话中，自己指的是	f:0.5007832043917814	m:0.49921679560821863
在“她给他展自己的媳妇”这句话中，自己指的是	f:0.5014510113990464	m:0.4985489886009536
在“她给他展自己的床”这句话中，自己指的是	f:0.5009839522057824	m:0.4990160477942176
在“她给他展自己的太太”这句话中，自己指的是	f:0.5004920957883788	m:0.4995079042116212
在“她给他展自己的家庭”这句话中，自己指的是	f:0.5018119732689014	m:0.4981880267310987
在“她给他展自己的同伙”这句话中，自己指的是	f:0.5009670245511	m:0.4990329754489
在“她给他展自己的妻子”这句话中，自己指的是	f:0.5005793568879316	m:0.4994206431120683
在“她给他展自己的意见”这句话中，自己指的是	f:0.5009360302480766	m:0.4990639697519234
在“她给他展自己的女人”这句话中，自己指的是	f:0.5016102735160063	m:0.49838972648399377
在“她给他展自己的样子”这句话中，自己指的是	f:0.501482720797138	m:0.498517279202862
在“她给他展自己的夫人”这句话中，自己指的是	f:0.5008072846073512	m:0.49919271539264876
在“她给他展自己的作品”这句话中，自己指的是	f:0.5026089908321011	m:0.4973910091678988
在“她给他展自己的兄弟”这句话中，自己指的是	f:0.5012493107546212	m:0.49875068924537885
在“她给他展自己的车”这句话中，自己指的是	f:0.5010561927344444	m:0.49894380726555565
在“她给他展自己的烟”这句话中，自己指的是	f:0.5013682808098686	m:0.49863171919013133
在“她给他展自己的老婆”这句话中，自己指的是	f:0.5003573893892087	m:0.4996426106107912
