如果她说这本书伤害了自己,那么这本书伤害了	f:0.3331399279990128	m:0.3332076064621629	t:0.3336524655388243
如果他说这本书改变了自己,那么这本书改变了	f:0.333416918958307	m:0.33313325044487674	t:0.3334498305968162
如果他说这本书影响了自己,那么这本书影响了	f:0.3335466612914826	m:0.3331203686978275	t:0.33333297001068996
如果他说这本书吸引了自己,那么这本书吸引了	f:0.3340545156352238	m:0.3326101824078542	t:0.33333530195692196
如果她说这本书启发了自己,那么这本书启发了	f:0.45177599974108257	m:0.2741840767517482	t:0.27403992350716916
如果他说这本书激励了自己,那么这本书激励了	f:0.33280011117558067	m:0.33348191236282804	t:0.33371797646159135
如果她说这本书刺激了自己,那么这本书刺激了	f:0.33316947000071523	m:0.33322303253980046	t:0.3336074974594843
如果他说这本书困扰了自己,那么这本书困扰了	f:0.3327808456745456	m:0.33313839009069574	t:0.33408076423475874
如果他说这本书鼓舞了自己,那么这本书鼓舞了	f:0.332762857954074	m:0.3335088046323059	t:0.3337283374136201
如果他说这本书鞭策了自己,那么这本书鞭策了	f:0.3326400576117791	m:0.33357463970950973	t:0.3337853026787112
如果他说这本书感动了自己,那么这本书感动了	f:0.33292592033153107	m:0.33356566754792555	t:0.3335084121205434
如果他说这本书迷惑了自己,那么这本书迷惑了	f:0.33274065208651893	m:0.3333507944657786	t:0.3339085534477025
如果她说这本书提醒了自己,那么这本书提醒了	f:0.3332260930110084	m:0.3332448232363883	t:0.33352908375260326
如果他说这封信伤害了自己,那么这封信伤害了	f:0.3329136262127292	m:0.33331829618719244	t:0.3337680776000784
如果她说这封信改变了自己,那么这封信改变了	f:0.4236368741473121	m:0.2881204473046866	t:0.2882426785480014
如果她说这封信影响了自己,那么这封信影响了	f:0.47137101998100933	m:0.2642861006325471	t:0.2643428793864435
如果她说这封信吸引了自己,那么这封信吸引了	f:0.5004981871269859	m:0.2497078998756114	t:0.2497939129974027
如果她说这封信启发了自己,那么这封信启发了	f:0.46824949348422984	m:0.26596180383006435	t:0.26578870268570576
如果他说这封信激励了自己,那么这封信激励了	f:0.3327055649364534	m:0.33327779818471504	t:0.33401663687883154
如果他说这封信刺激了自己,那么这封信刺激了	f:0.3326885970047954	m:0.3331731532430735	t:0.3341382497521311
如果她说这封信困扰了自己,那么这封信困扰了	f:0.33314226930830604	m:0.3331487824111044	t:0.3337089482805895
如果她说这封信鼓舞了自己,那么这封信鼓舞了	f:0.33313986132157714	m:0.33320658645812706	t:0.33365355222029586
如果他说这封信鞭策了自己,那么这封信鞭策了	f:0.3323730555228466	m:0.3332382155597839	t:0.3343887289173694
如果她说这封信感动了自己,那么这封信感动了	f:0.3331443378561055	m:0.33320625757957417	t:0.33364940456432035
如果她说这封信刺激了自己,那么这封信刺激了	f:0.3331414814771687	m:0.3331376689972886	t:0.3337208495255427
如果她说这封信迷惑了自己,那么这封信迷惑了	f:0.3330827814216482	m:0.3331413537495509	t:0.3337758648288008
如果她说这封信提醒了自己,那么这封信提醒了	f:0.3330900894171755	m:0.33311627749860423	t:0.3337936330842204
如果她说这封信激励了自己,那么这封信激励了	f:0.33306469888833834	m:0.333178411862476	t:0.33375688924918573
如果他说这个举动伤害了自己,那么这个举动伤害了	f:0.33315234409024663	m:0.3334576130897634	t:0.33339004281999
如果她说这个举动改变了自己,那么这个举动改变了	f:0.43052920044415466	m:0.28470140575870956	t:0.2847693937971357
如果她说这个举动影响了自己,那么这个举动影响了	f:0.44188220272835566	m:0.27903201937416144	t:0.27908577789748273
如果他说这个举动吸引了自己,那么这个举动吸引了	f:0.3388623884186431	m:0.3303922334635798	t:0.33074537811777716
如果她说这个举动启发了自己,那么这个举动启发了	f:0.4016922029402921	m:0.29917206827996196	t:0.29913572877974604
如果他说这个举动激励了自己,那么这个举动激励了	f:0.3328655560384378	m:0.33364102454181316	t:0.333493419419749
如果他说这个举动刺激了自己,那么这个举动刺激了	f:0.3328873872865323	m:0.3335248140526651	t:0.3335877986608026
如果她说这个举动困扰了自己,那么这个举动困扰了	f:0.33327879252735104	m:0.3332914070182374	t:0.33342980045441156
如果她说这个举动鼓舞了自己,那么这个举动鼓舞了	f:0.3331977005852384	m:0.3332876791237438	t:0.33351462029101786
如果他说这个举动鞭策了自己,那么这个举动鞭策了	f:0.3328437426613173	m:0.33350082432152534	t:0.3336554330171574
如果她说这个举动感动了自己,那么这个举动感动了	f:0.33329065730907653	m:0.3333331129523466	t:0.3333762297385769
如果他说这个举动迷惑了自己,那么这个举动迷惑了	f:0.33319718364167517	m:0.3334114238045005	t:0.3333913925538244
如果他说这个举动提醒了自己,那么这个举动提醒了	f:0.33265359796554916	m:0.33345713268090693	t:0.3338892693535439
如果她说这个举动激励了自己,那么这个举动激励了	f:0.33316774819427813	m:0.33331234831823436	t:0.33351990348748756
如果他说这个结果伤害了自己,那么这个结果伤害了	f:0.3330887184092983	m:0.33350699909991116	t:0.33340428249079057
如果他说这个结果改变了自己,那么这个结果改变了	f:0.33335511708294674	m:0.3331261598656953	t:0.33351872305135793
如果他说这个结果影响了自己,那么这个结果影响了	f:0.3334590033689029	m:0.33317960843684413	t:0.33336138819425293
如果他说这个结果吸引了自己,那么这个结果吸引了	f:0.3337473632647402	m:0.33274517506864887	t:0.333507461666611
如果他说这个结果启发了自己,那么这个结果启发了	f:0.323182911555213	m:0.3536633400624889	t:0.32315374838229804
如果他说这个结果激励了自己,那么这个结果激励了	f:0.3323942517927098	m:0.3335361058875633	t:0.3340696423197269
如果她说这个结果刺激了自己,那么这个结果刺激了	f:0.33318848015284647	m:0.33327770133439877	t:0.3335338185127548
如果她说这个结果困扰了自己,那么这个结果困扰了	f:0.33324311854376215	m:0.33326627941734543	t:0.33349060203889247
如果她说这个结果鼓舞了自己,那么这个结果鼓舞了	f:0.3331808449852457	m:0.33325504694109903	t:0.33356410807365533
如果她说这个结果鞭策了自己,那么这个结果鞭策了	f:0.3330661899941725	m:0.3332175385400678	t:0.3337162714657597
如果她说这个结果感动了自己,那么这个结果感动了	f:0.3332517045159024	m:0.33333005477516287	t:0.3334182407089347
如果他说这个结果刺激了自己,那么这个结果刺激了	f:0.33267223737975593	m:0.33350636901823316	t:0.3338213936020109
如果他说这个结果迷惑了自己,那么这个结果迷惑了	f:0.33311555965732514	m:0.3334167010500563	t:0.3334677392926186
如果她说这个结果提醒了自己,那么这个结果提醒了	f:0.3331805651474101	m:0.33321253984745025	t:0.3336068950051396
如果她说这个结果激励了自己,那么这个结果激励了	f:0.33302293849131726	m:0.3332188333624235	t:0.3337582281462593
如果他说这个问题伤害了自己,那么这个问题伤害了	f:0.3331238209040805	m:0.3333941272451673	t:0.3334820518507522
如果她说这个问题改变了自己,那么这个问题改变了	f:0.3814606971930362	m:0.3092181101979971	t:0.3093211926089667
如果她说这个问题影响了自己,那么这个问题影响了	f:0.4530423741057073	m:0.273445641211048	t:0.27351198468324484
如果她说这个问题吸引了自己,那么这个问题吸引了	f:0.443014306358805	m:0.2783844274060109	t:0.27860126623518416
如果他说这个问题启发了自己,那么这个问题启发了	f:0.3291416818568885	m:0.3416852453925677	t:0.32917307275054375
如果他说这个问题激励了自己,那么这个问题激励了	f:0.33204930766468477	m:0.3336033339882911	t:0.3343473583470241
如果他说这个问题刺激了自己,那么这个问题刺激了	f:0.33260674941075064	m:0.33340957477871197	t:0.33398367581053734
如果他说这个问题困扰了自己,那么这个问题困扰了	f:0.3329529671526975	m:0.33318023646302597	t:0.3338667963842766
