在“他说她反思自己。”中，自己指的是	f:0.49806309715209346	m:0.5019369028479066
在“他说她反省自己。”中，自己指的是	f:0.49868345564881633	m:0.5013165443511837
在“他说她坦白自己。”中，自己指的是	f:0.49807406424308354	m:0.5019259357569165
在“他说她迷失自己。”中，自己指的是	f:0.4988284132464862	m:0.5011715867535138
在“他说她克制自己。”中，自己指的是	f:0.4991731651213711	m:0.5008268348786289
在“他说她检讨自己。”中，自己指的是	f:0.49813438327637205	m:0.501865616723628
在“他说她放松自己。”中，自己指的是	f:0.49925756509032815	m:0.5007424349096719
在“他说她磨练自己。”中，自己指的是	f:0.49814177414983335	m:0.5018582258501666
在“他说她奉献自己。”中，自己指的是	f:0.49817086082098855	m:0.5018291391790114
在“他说她调整自己。”中，自己指的是	f:0.49920988148653966	m:0.5007901185134603
在“他说她提升自己。”中，自己指的是	f:0.4990513336121164	m:0.5009486663878835
在“他说她炫耀自己。”中，自己指的是	f:0.49764921013157576	m:0.5023507898684243
在“他说她调节自己。”中，自己指的是	f:0.4989767088871842	m:0.5010232911128157
在“他说她坚持自己。”中，自己指的是	f:0.4995923043200903	m:0.5004076956799096
在“他说她交代自己。”中，自己指的是	f:0.49665503723793003	m:0.50334496276207
在“他说她计较自己。”中，自己指的是	f:0.4982636044689247	m:0.5017363955310754
在“他说她检讨自己。”中，自己指的是	f:0.49813438327637205	m:0.501865616723628
在“他说她卖弄自己。”中，自己指的是	f:0.49873137746291124	m:0.5012686225370887
在“他说她表达自己。”中，自己指的是	f:0.4986643822966528	m:0.5013356177033472
在“他说她表现自己。”中，自己指的是	f:0.49903798222042983	m:0.5009620177795702
在“他说她扭伤自己。”中，自己指的是	f:0.4980931374492133	m:0.5019068625507866
