如果他说她诬陷自己,那么她诬陷	f:0.41943614420022945	m:0.5805638557997707
如果他说她拥抱自己,那么她拥抱	f:0.4386402986325432	m:0.5613597013674568
如果他说她离开自己,那么她离开	f:0.47985452823434704	m:0.5201454717656531
如果他说她打扰自己,那么她打扰	f:0.47783778827541	m:0.5221622117245899
如果他说她超过自己,那么她超过	f:0.4671197679988976	m:0.5328802320011023
如果他说她忘了自己,那么她忘了	f:0.5026173352544396	m:0.4973826647455603
如果他说她回答自己,那么她回答	f:0.4683379971048741	m:0.5316620028951259
如果他说她表扬自己,那么她表扬	f:0.45854143241548845	m:0.5414585675845115
如果他说她反对自己,那么她反对	f:0.45099885581874705	m:0.549001144181253
如果他说她调查自己,那么她调查	f:0.45586846540090215	m:0.5441315345990979
如果他说她拜访自己,那么她拜访	f:0.46227829526492364	m:0.5377217047350763
如果他说她偷听自己,那么她偷听	f:0.4598795316571198	m:0.5401204683428802
如果他说她暗恋自己,那么她暗恋	f:0.4472037707193151	m:0.5527962292806848
如果他说她邀请自己,那么她邀请	f:0.4604680059144096	m:0.5395319940855903
如果他说她等待自己,那么她等待	f:0.485942374040416	m:0.5140576259595839
如果他说她嫉妒自己,那么她嫉妒	f:0.4758331879336874	m:0.5241668120663127
如果他说她羡慕自己,那么她羡慕	f:0.4772666181230649	m:0.5227333818769351
如果他说她搭讪自己,那么她搭讪	f:0.462072295212136	m:0.537927704787864
如果他说她监视自己,那么她监视	f:0.4188983983847151	m:0.5811016016152849
如果他说她吵醒自己,那么她吵醒	f:0.4484250301678636	m:0.5515749698321365
如果他说她激怒自己,那么她激怒	f:0.45098763973038936	m:0.5490123602696106
如果他说她模仿自己,那么她模仿	f:0.4864756679590296	m:0.5135243320409704
如果他说她欺负自己,那么她欺负	f:0.44687184384407236	m:0.5531281561559277
如果他说她追随自己,那么她追随	f:0.47328408248116727	m:0.5267159175188327
如果他说她回避自己,那么她回避	f:0.40334352156025455	m:0.5966564784397453
如果他说她思念自己,那么她思念	f:0.42449096533280023	m:0.5755090346671997
如果他说她仰慕自己,那么她仰慕	f:0.4324997665208043	m:0.5675002334791958
如果他说她冷落自己,那么她冷落	f:0.40802668927694746	m:0.5919733107230525
如果他说她靠近自己,那么她靠近	f:0.44192771458253016	m:0.5580722854174699
如果他说她辅导自己,那么她辅导	f:0.45217776498979206	m:0.5478222350102079
如果他说她干扰自己,那么她干扰	f:0.46374780769628554	m:0.5362521923037145
如果他说她加入自己,那么她加入	f:0.4736222768539578	m:0.5263777231460421
如果他说她接近自己,那么她接近	f:0.41709235497963876	m:0.5829076450203613
如果他说她看望自己,那么她看望	f:0.4477465535490576	m:0.5522534464509423
如果他说她捞自己,那么她捞	f:0.4539879690273812	m:0.5460120309726187
如果他说她欢迎自己,那么她欢迎	f:0.4560325253827528	m:0.5439674746172473
如果他说她勾引自己,那么她勾引	f:0.42182288118077377	m:0.5781771188192263
如果他说她勾结自己,那么她勾结	f:0.4751634135394268	m:0.5248365864605732
如果他说她等自己,那么她等	f:0.47369003752218247	m:0.5263099624778175
如果他说她等候自己,那么她等候	f:0.48382798864938825	m:0.5161720113506119
如果他说她挤自己,那么她挤	f:0.4188779696920424	m:0.5811220303079576
如果他说她排挤自己,那么她排挤	f:0.4298331962901608	m:0.5701668037098391
如果他说她欺压自己,那么她欺压	f:0.41774507918128573	m:0.5822549208187142
如果他说她探望自己,那么她探望	f:0.44034304726429235	m:0.5596569527357077
如果他说她信任自己,那么她信任	f:0.4104564726488826	m:0.5895435273511175
如果他说她响应自己,那么她响应	f:0.4687988200284952	m:0.5312011799715048
如果他说她学习自己,那么她学习	f:0.47545119641758793	m:0.5245488035824122
如果他说她咬自己,那么她咬	f:0.40802288848496976	m:0.5919771115150303
如果他说她消灭自己,那么她消灭	f:0.48900161799624614	m:0.5109983820037539
如果他说她追赶自己,那么她追赶	f:0.4324612618591874	m:0.5675387381408126
如果他说她追求自己,那么她追求	f:0.43183242921288606	m:0.568167570787114
如果他说她阻挡自己,那么她阻挡	f:0.467526909455801	m:0.5324730905441991
如果他说她孝敬自己,那么她孝敬	f:0.4648285010528483	m:0.5351714989471517
如果他说她赢自己,那么她赢	f:0.4832818862937557	m:0.5167181137062443
如果他说她招呼自己,那么她招呼	f:0.4659019308379909	m:0.5340980691620091
如果他说她指导自己,那么她指导	f:0.4550803546314574	m:0.5449196453685425
如果他说她支援自己,那么她支援	f:0.4474555762038024	m:0.5525444237961977
如果他说她替换自己,那么她替换	f:0.4870472330985186	m:0.5129527669014814
如果他说她通知自己,那么她通知	f:0.46298113877666996	m:0.53701886122333
如果他说她吸引自己,那么她吸引	f:0.4475846723389447	m:0.5524153276610552
如果他说她影响自己,那么她影响	f:0.4461397923381655	m:0.5538602076618345
如果他说她杀害自己,那么她杀害	f:0.47470846491728746	m:0.5252915350827125
如果他说她赔偿自己,那么她赔偿	f:0.4597063746721323	m:0.5402936253278676
如果他说她衬托自己,那么她衬托	f:0.48772581698213385	m:0.5122741830178662
如果他说她扣留自己,那么她扣留	f:0.4121738072979871	m:0.587826192702013
如果他说她恐吓自己,那么她恐吓	f:0.43227214443418915	m:0.5677278555658108
如果他说她联络自己,那么她联络	f:0.45142498588695246	m:0.5485750141130475
如果他说她忍受自己,那么她忍受	f:0.4431781808335978	m:0.5568218191664023
如果他说她请示自己,那么她请示	f:0.46925631155060255	m:0.5307436884493975
如果他说她算计自己,那么她算计	f:0.43669288652022886	m:0.5633071134797712
