如果他喜欢自己,那么他喜欢	f:0.5007042880168759	m:0.499295711983124
如果他厌恶自己,那么他厌恶	f:0.4996929914145056	m:0.5003070085854943
如果他帮助自己,那么他帮助	f:0.5006878371668015	m:0.4993121628331985
如果他相信自己,那么他相信	f:0.48704077033677823	m:0.5129592296632217
如果他支持自己,那么他支持	f:0.4943430453455846	m:0.5056569546544155
如果他欺骗自己,那么他欺骗	f:0.4994740190062008	m:0.5005259809937992
如果他安慰自己,那么他安慰	f:0.4998375773487003	m:0.5001624226512997
如果他挑战自己,那么他挑战	f:0.49991789460255986	m:0.50008210539744
如果他鄙视自己,那么他鄙视	f:0.499662697366384	m:0.500337302633616
如果他忽略自己,那么他忽略	f:0.4996687472351246	m:0.5003312527648754
如果他原谅自己,那么他原谅	f:0.4988000415951502	m:0.5011999584048498
如果他怀疑自己,那么他怀疑	f:0.4994439633992699	m:0.5005560366007302
如果他超越自己,那么他超越	f:0.49993968009977996	m:0.50006031990022
如果他设计自己,那么他设计	f:0.4999141246088843	m:0.5000858753911157
如果他讨厌自己,那么他讨厌	f:0.4996109009574514	m:0.5003890990425486
如果他介绍自己,那么他介绍	f:0.4999257028108343	m:0.5000742971891656
如果他夸奖自己,那么他夸奖	f:0.4988600035394057	m:0.5011399964605944
如果他改造自己,那么他改造	f:0.4999350309375605	m:0.5000649690624395
如果他结束自己,那么他结束	f:0.49987243116178753	m:0.5001275688382124
如果他解放自己,那么他解放	f:0.49963215000113553	m:0.5003678499988644
如果他刺激自己,那么他刺激	f:0.49993711710009353	m:0.5000628828999065
如果他考虑自己,那么他考虑	f:0.4996749312143562	m:0.5003250687856439
如果他掐自己,那么他掐	f:0.49989797175072187	m:0.5001020282492782
如果他评论自己,那么他评论	f:0.4998361170350587	m:0.5001638829649412
如果他爱惜自己,那么他爱惜	f:0.4996362925217304	m:0.5003637074782695
如果他爱护自己,那么他爱护	f:0.49669747386966484	m:0.5033025261303352
如果他爱自己,那么他爱	f:0.5031089382046454	m:0.4968910617953546
如果他保护自己,那么他保护	f:0.498790743324536	m:0.501209256675464
如果他改正自己,那么他改正	f:0.4998437613299677	m:0.5001562386700323
如果他谈论自己,那么他谈论	f:0.49949409084895374	m:0.5005059091510463
如果他维护自己,那么他维护	f:0.4990201903010544	m:0.5009798096989456
如果他牺牲自己,那么他牺牲	f:0.4999613612891013	m:0.5000386387108987
如果他重复自己,那么他重复	f:0.49957612167022575	m:0.5004238783297742
如果他抓自己,那么他抓	f:0.49945154808106484	m:0.5005484519189352
如果他指着自己,那么他指着	f:0.49999782443046575	m:0.5000021755695343
如果他锻炼自己,那么他锻炼	f:0.49991902709078057	m:0.5000809729092195
如果他打自己,那么他打	f:0.4994817974038629	m:0.5005182025961371
如果他操心自己,那么他操心	f:0.49919802019229575	m:0.5008019798077042
如果他纠正自己,那么他纠正	f:0.49978439511204953	m:0.5002156048879504
如果他扎自己,那么他扎	f:0.49994550645372987	m:0.5000544935462701
如果他谈到自己,那么他谈到	f:0.49962107844454323	m:0.5003789215554568
如果他证明自己,那么他证明	f:0.4997500926464282	m:0.5002499073535718
如果他训练自己,那么他训练	f:0.4997608661833943	m:0.5002391338166057
如果他依靠自己,那么他依靠	f:0.49960741408786263	m:0.5003925859121373
如果他优待自己,那么他优待	f:0.4982473027970352	m:0.5017526972029648
如果他鞭策自己,那么他鞭策	f:0.4998955577627114	m:0.5001044422372887
如果他尊重自己,那么他尊重	f:0.49951601043558735	m:0.5004839895644126
如果他辜负自己,那么他辜负	f:0.499983221292502	m:0.5000167787074979
如果他担心自己,那么他担心	f:0.4991561033394313	m:0.5008438966605687
如果他控制自己,那么他控制	f:0.4993515763341592	m:0.5006484236658407
