在“她告诉他一个关于自己的秘密。”中，自己指的是	f:0.5018604311915266	m:0.49813956880847343
在“她寄给他一封关于自己的信。”中，自己指的是	f:0.5019110348151037	m:0.4980889651848963
在“她送给他一本关于自己的书。”中，自己指的是	f:0.5009081353691983	m:0.49909186463080174
在“她描述给他一个关于自己的梦。”中，自己指的是	f:0.5013134449310938	m:0.49868655506890636
在“她解释给他一个关于自己的决定。”中，自己指的是	f:0.5013240544840585	m:0.4986759455159415
在“她展示给他一幅关于自己的画。”中，自己指的是	f:0.500982134271144	m:0.49901786572885604
在“她讲述给他一个关于自己的故事。”中，自己指的是	f:0.501783959448108	m:0.4982160405518919
在“她编写给他一首关于自己的诗。”中，自己指的是	f:0.5010428413528412	m:0.49895715864715884
在“她演示给他一个关于自己的技巧。”中，自己指的是	f:0.5016777452443403	m:0.49832225475565967
在“她描述给他一场关于自己的经历。”中，自己指的是	f:0.5021552906056984	m:0.4978447093943016
在“她回忆给他一段关于自己的往事。”中，自己指的是	f:0.501708739304161	m:0.498291260695839
在“她给他看了一张关于自己的照片。”中，自己指的是	f:0.5009794222702417	m:0.4990205777297583
在“她发给他一条关于自己的消息。”中，自己指的是	f:0.5012557480158607	m:0.4987442519841393
在“她写给他一篇关于自己的文章。”中，自己指的是	f:0.5002498626500994	m:0.4997501373499006
在“她展示给他一张关于自己的地图。”中，自己指的是	f:0.5009084333914386	m:0.4990915666085613
在“她讲给他一个关于自己的笑话。”中，自己指的是	f:0.5015203905928833	m:0.49847960940711666
在“她传给他一个关于自己的文件。”中，自己指的是	f:0.5007614487483499	m:0.4992385512516502
在“她绘制给他一幅关于自己的草图。”中，自己指的是	f:0.5013993941961002	m:0.4986006058038998
在“她提供给他一项关于自己的建议。”中，自己指的是	f:0.5006351467530923	m:0.4993648532469077
在“她演唱给他一首关于自己的歌曲。”中，自己指的是	f:0.501456733396565	m:0.49854326660343506
在“她设计给他一个关于自己的项目。”中，自己指的是	f:0.5008103840407687	m:0.4991896159592313
在“她讲述给他一段关于自己的历史。”中，自己指的是	f:0.5029208327873648	m:0.49707916721263523
在“她推荐给他一本关于自己的传记。”中，自己指的是	f:0.5012551519731708	m:0.4987448480268292
在“她解释给他一个关于自己的观点。”中，自己指的是	f:0.5011973358155518	m:0.4988026641844482
在“她分享给他一篇关于自己的论文。”中，自己指的是	f:0.5010792000224121	m:0.49892079997758787
在“她报告给他一项关于自己的研究。”中，自己指的是	f:0.5009288777155794	m:0.4990711222844206
在“她送给他一个关于自己的纪念品。”中，自己指的是	f:0.5019301676237686	m:0.49806983237623137
在“她展示给他一份关于自己的简历。”中，自己指的是	f:0.5008679619653695	m:0.49913203803463047
在“她描绘给他一幅关于自己的肖像。”中，自己指的是	f:0.5021732908711483	m:0.4978267091288518
在“她讨论给他一个关于自己的话题。”中，自己指的是	f:0.500560760262937	m:0.499439239737063
在“她汇报给他一项关于自己的成就。”中，自己指的是	f:0.5010098205187788	m:0.49899017948122115
在“她寄给他一件关于自己的物品。”中，自己指的是	f:0.5024298238209275	m:0.4975701761790725
在“她翻译给他一篇关于自己的文章。”中，自己指的是	f:0.5004106759101525	m:0.4995893240898476
在“她编排给他一个关于自己的节目。”中，自己指的是	f:0.5006067749859466	m:0.4993932250140533
在“她演示给他一段关于自己的舞蹈。”中，自己指的是	f:0.5024146845964705	m:0.49758531540352957
在“她朗读给他一封关于自己的信件。”中，自己指的是	f:0.5012221312026247	m:0.49877786879737535
在“她发布给他一条关于自己的公告。”中，自己指的是	f:0.5013616051394032	m:0.4986383948605968
在“她策划给他一个关于自己的活动。”中，自己指的是	f:0.5011190157327046	m:0.4988809842672955
在“她陈述给他一份关于自己的声明。”中，自己指的是	f:0.501276132673696	m:0.49872386732630397
在“她发送给他一条关于自己的通知。”中，自己指的是	f:0.5009933697028359	m:0.499006630297164
