她知道他经常批评[MASK]自己。	f:0.6405950849483424	m:0.3594049150516577
她知道他把[MASK]自己的书送给了朋友。	m:0.529276268400274	f:0.470723731599726
她担心他会批评[MASK]自己。	f:0.722028007830365	m:0.277971992169635
她知道他害了[MASK]自己。	f:0.7142449605732869	m:0.28575503942671304
她觉得他对[MASK]自己没信心。	f:0.5576818981303512	m:0.4423181018696488
她认为他的骄傲害了[MASK]自己。	f:0.6659644997559989	m:0.3340355002440011
她知道他告诉过她有关[MASK]自己的工作。	f:0.5412252142687858	m:0.4587747857312142
她说他跟她谈过[MASK]自己的事。	m:0.5564960114549109	f:0.4435039885450891
她认为他从她那里听说了[MASK]自己的分数。	f:0.5229828041223051	m:0.47701719587769476
她知道他在她家洗[MASK]自己的照片。	m:0.5006030267673158	f:0.4993969732326842
她不喜欢他管[MASK]自己的事。	f:0.6178212782649073	m:0.3821787217350927
她知道他的报告害了[MASK]自己。	f:0.7053399516972517	m:0.29466004830274833
她的话暗示他的信害了[MASK]自己。	f:0.5498907637854888	m:0.4501092362145111
她认为他恨[MASK]自己。	f:0.6270677184503505	m:0.37293228154964947
她说他喜欢[MASK]自己。	f:0.5156588739092776	m:0.48434112609072255
她告诉别人他觉得[MASK]自己明年可以考进好大学。	f:0.5007446970872027	m:0.49925530291279735
她说他批评了[MASK]自己。	f:0.6655233372243993	m:0.3344766627756007
她觉得他在批评[MASK]自己。	f:0.7084350214525483	m:0.2915649785474516
她认为他知道[MASK]自己的朋友是一个好人。	m:0.5003326636015387	f:0.49966733639846117
她觉得他不喜欢[MASK]自己。	f:0.6870505083672076	m:0.31294949163279234
