她喜欢[MASK]自己。	f:0.6107827854041096	m:0.3892172145958904
她厌恶[MASK]自己。	f:0.5718865955434715	m:0.42811340445652846
她帮助[MASK]自己。	f:0.5250731444438622	m:0.4749268555561378
她相信[MASK]自己。	f:0.5863509580984536	m:0.41364904190154633
她支持[MASK]自己。	f:0.5949122569801986	m:0.4050877430198015
她欺骗[MASK]自己。	f:0.5255811192997799	m:0.4744188807002202
她安慰[MASK]自己。	f:0.5365153290623413	m:0.4634846709376587
她挑战[MASK]自己。	f:0.5071903440726248	m:0.49280965592737525
她鄙视[MASK]自己。	f:0.5726283638421658	m:0.4273716361578343
她忽略[MASK]自己。	f:0.5030217426227108	m:0.4969782573772892
她原谅[MASK]自己。	f:0.5082406948221807	m:0.4917593051778194
她怀疑[MASK]自己。	f:0.5173573065225275	m:0.4826426934774724
她超越[MASK]自己。	f:0.5079019308747283	m:0.49209806912527165
她设计[MASK]自己。	f:0.5103174459435884	m:0.4896825540564116
她讨厌[MASK]自己。	f:0.635764597326981	m:0.364235402673019
她介绍[MASK]自己。	f:0.5041306043030742	m:0.49586939569692584
她夸奖[MASK]自己。	f:0.5126886622859553	m:0.4873113377140447
她改造[MASK]自己。	f:0.5245453732527311	m:0.4754546267472689
她结束[MASK]自己。	f:0.5032628581261205	m:0.4967371418738795
她解放[MASK]自己。	f:0.5001973051664569	m:0.4998026948335431
她刺激[MASK]自己。	f:0.5420442645494356	m:0.4579557354505645
她考虑[MASK]自己。	f:0.5127618332291821	m:0.4872381667708179
她掐[MASK]自己。	f:0.5103774919190265	m:0.4896225080809736
她评论[MASK]自己。	f:0.5391655711981133	m:0.4608344288018867
她爱惜[MASK]自己。	f:0.5683743971384929	m:0.4316256028615071
她爱护[MASK]自己。	f:0.552922387322108	m:0.4470776126778921
她爱[MASK]自己。	f:0.665324256198859	m:0.3346757438011409
她保护[MASK]自己。	f:0.5241900850524638	m:0.4758099149475362
她改正[MASK]自己。	f:0.5020885535885921	m:0.49791144641140794
她谈论[MASK]自己。	f:0.5261068044658762	m:0.4738931955341238
她维护[MASK]自己。	f:0.5506567759922625	m:0.4493432240077375
她牺牲[MASK]自己。	f:0.50128824656142	m:0.49871175343858
她重复[MASK]自己。	f:0.5203650635775752	m:0.47963493642242483
她抓[MASK]自己。	f:0.5023714062711404	m:0.49762859372885965
她指着[MASK]自己。	f:0.6218122382723666	m:0.3781877617276334
她锻炼[MASK]自己。	f:0.5123165483352812	m:0.4876834516647189
她打[MASK]自己。	f:0.5132424179388513	m:0.48675758206114883
她操心[MASK]自己。	f:0.6045301414081353	m:0.3954698585918646
她纠正[MASK]自己。	f:0.5084467331181157	m:0.4915532668818844
她扎[MASK]自己。	f:0.516611829234963	m:0.48338817076503693
她谈到[MASK]自己。	f:0.5134266080928392	m:0.48657339190716076
她证明[MASK]自己。	f:0.5015686196471455	m:0.4984313803528545
她训练[MASK]自己。	f:0.5702955887010148	m:0.42970441129898523
她依靠[MASK]自己。	f:0.5662306684122418	m:0.4337693315877582
她优待[MASK]自己。	f:0.5588784115131998	m:0.4411215884868001
她鞭策[MASK]自己。	f:0.5202344687704128	m:0.4797655312295872
她尊重[MASK]自己。	f:0.6093544632095143	m:0.3906455367904858
她辜负[MASK]自己。	f:0.5021601751997702	m:0.49783982480022987
她担心[MASK]自己。	f:0.558744524897843	m:0.4412554751021569
她控制[MASK]自己。	f:0.5231029821945975	m:0.47689701780540256
