他喜欢[MASK]自己。	m:0.5977365232691015	f:0.4022634767308985
他厌恶[MASK]自己。	m:0.5803295610588038	f:0.41967043894119616
他帮助[MASK]自己。	m:0.5125049466037078	f:0.4874950533962921
他相信[MASK]自己。	m:0.5465679777134171	f:0.45343202228658286
他支持[MASK]自己。	m:0.5615315055316689	f:0.4384684944683311
他欺骗[MASK]自己。	m:0.5242667154089594	f:0.4757332845910405
他安慰[MASK]自己。	m:0.5253234175817305	f:0.4746765824182695
他挑战[MASK]自己。	m:0.5061623040659726	f:0.4938376959340273
他鄙视[MASK]自己。	m:0.5529043730549947	f:0.4470956269450053
他忽略[MASK]自己。	m:0.5030761576608114	f:0.49692384233918857
他原谅[MASK]自己。	m:0.5055772714397898	f:0.49442272856021013
他怀疑[MASK]自己。	m:0.5176253124229733	f:0.48237468757702684
他超越[MASK]自己。	m:0.5058943964242961	f:0.49410560357570377
他设计[MASK]自己。	m:0.5157450742204317	f:0.4842549257795682
他讨厌[MASK]自己。	m:0.6240736427145159	f:0.3759263572854841
他介绍[MASK]自己。	m:0.5059147994964371	f:0.4940852005035629
他夸奖[MASK]自己。	m:0.5118034481010953	f:0.4881965518989046
他改造[MASK]自己。	m:0.5181802795133164	f:0.48181972048668364
他结束[MASK]自己。	m:0.5032852745940374	f:0.4967147254059626
他解放[MASK]自己。	m:0.500284621584522	f:0.499715378415478
他刺激[MASK]自己。	m:0.5313796389314431	f:0.46862036106855687
他考虑[MASK]自己。	m:0.5123419704890538	f:0.48765802951094617
他掐[MASK]自己。	m:0.5026379578919551	f:0.49736204210804486
他评论[MASK]自己。	m:0.5331375206240897	f:0.4668624793759103
他爱惜[MASK]自己。	m:0.5629635560630758	f:0.4370364439369242
他爱护[MASK]自己。	m:0.5461291205386439	f:0.4538708794613561
他爱[MASK]自己。	m:0.6410693744561013	f:0.35893062554389876
他保护[MASK]自己。	m:0.5156294061694363	f:0.48437059383056363
他改正[MASK]自己。	m:0.5019366723999589	f:0.49806332760004113
他谈论[MASK]自己。	m:0.5295730634276565	f:0.4704269365723435
他维护[MASK]自己。	m:0.5445361038336528	f:0.45546389616634725
他牺牲[MASK]自己。	m:0.5007629315850659	f:0.4992370684149341
他重复[MASK]自己。	m:0.5249434211342798	f:0.47505657886572017
他抓[MASK]自己。	m:0.5050228039708937	f:0.49497719602910617
他指着[MASK]自己。	m:0.6031036032145046	f:0.3968963967854954
他锻炼[MASK]自己。	m:0.5109575949326579	f:0.48904240506734203
他打[MASK]自己。	m:0.5230008400817417	f:0.47699915991825814
他操心[MASK]自己。	m:0.6020909622135958	f:0.39790903778640424
他纠正[MASK]自己。	m:0.5101990640727615	f:0.4898009359272385
他扎[MASK]自己。	m:0.5185629535539124	f:0.48143704644608776
他谈到[MASK]自己。	m:0.5113053122476471	f:0.4886946877523529
他证明[MASK]自己。	m:0.5025983640930471	f:0.4974016359069528
他训练[MASK]自己。	m:0.5937516967218851	f:0.4062483032781148
他依靠[MASK]自己。	m:0.5609156724512008	f:0.43908432754879917
他优待[MASK]自己。	m:0.5347832585770929	f:0.46521674142290714
他鞭策[MASK]自己。	m:0.5208109865089785	f:0.4791890134910215
他尊重[MASK]自己。	m:0.5562346251727656	f:0.4437653748272345
他辜负[MASK]自己。	m:0.5015642448750489	f:0.49843575512495103
他担心[MASK]自己。	m:0.5638400955281899	f:0.43615990447180997
他控制[MASK]自己。	m:0.5278943965235009	f:0.47210560347649905
