假如她说这本书伤害了自己,那么这本书伤害了[MASK]。	f:0.5299561705276704	m:0.23894834432756076	t:0.23109548514476874
假如他说这本书改变了自己,那么这本书改变了[MASK]。	m:0.5074715684804891	f:0.24981113589498008	t:0.24271729562453073
假如他说这本书影响了自己,那么这本书影响了[MASK]。	m:0.5087809512163924	f:0.24988780048815215	t:0.2413312482954554
假如他说这本书吸引了自己,那么这本书吸引了[MASK]。	m:0.4866790311595677	f:0.2639776667257951	t:0.24934330211463718
假如她说这本书启发了自己,那么这本书启发了[MASK]。	f:0.4730383436404622	m:0.2724829709999835	t:0.2544786853595544
假如他说这本书激励了自己,那么这本书激励了[MASK]。	m:0.4992620933349382	f:0.2539223690304469	t:0.2468155376346148
假如她说这本书刺激了自己,那么这本书刺激了[MASK]。	f:0.5021063630536967	m:0.2558519987878351	t:0.2420416381584682
假如他说这本书困扰了自己,那么这本书困扰了[MASK]。	m:0.5186222820996677	f:0.24640093389024942	t:0.23497678401008287
假如他说这本书鼓舞了自己,那么这本书鼓舞了[MASK]。	m:0.4847055142611241	f:0.2613429441192564	t:0.2539515416196196
假如他说这本书鞭策了自己,那么这本书鞭策了[MASK]。	m:0.48179919577368974	f:0.26145022061735035	t:0.25675058360895997
假如他说这本书感动了自己,那么这本书感动了[MASK]。	m:0.47969962226404117	f:0.2680385076578759	t:0.2522618700780829
假如他说这本书迷惑了自己,那么这本书迷惑了[MASK]。	m:0.5226204117377117	f:0.24259278893798894	t:0.2347867993242994
假如她说这本书提醒了自己,那么这本书提醒了[MASK]。	f:0.4731513052623967	m:0.2711580962256914	t:0.2556905985119119
假如他说这封信伤害了自己,那么这封信伤害了[MASK]。	m:0.45036810907688773	f:0.28444837845795207	t:0.2651835124651601
假如她说这封信改变了自己,那么这封信改变了[MASK]。	f:0.4770357405261518	m:0.27261698531857287	t:0.2503472741552753
假如她说这封信影响了自己,那么这封信影响了[MASK]。	f:0.4666129814692312	m:0.2789449162905626	t:0.25444210224020636
假如她说这封信吸引了自己,那么这封信吸引了[MASK]。	f:0.4588526262131906	m:0.2833422222446623	t:0.25780515154214717
