假如他告诉她一个关于自己的秘密， 那么秘密是关于[MASK]的。	f:0.5699995520949449	m:0.430000447905055
假如他寄给她一封关于自己的信， 那么信是关于[MASK]的。	f:0.5570569178685906	m:0.4429430821314094
假如他送给她一本关于自己的书， 那么书是关于[MASK]的。	f:0.5375815613296098	m:0.46241843867039023
假如他描述给她一个关于自己的梦， 那么梦是关于[MASK]的。	m:0.5222929489493526	f:0.47770705105064737
假如他解释给她一个关于自己的决定， 那么决定是关于[MASK]的。	f:0.5498396743132576	m:0.45016032568674247
假如他展示给她一幅关于自己的画， 那么画是关于[MASK]的。	f:0.5505298977732985	m:0.4494701022267015
假如他讲述给她一个关于自己的故事， 那么故事是关于[MASK]的。	f:0.5735420430127726	m:0.4264579569872275
假如他编写给她一首关于自己的诗， 那么诗是关于[MASK]的。	f:0.562359033075377	m:0.437640966924623
假如他演示给她一个关于自己的技巧， 那么技巧是关于[MASK]的。	f:0.5989631347083991	m:0.4010368652916009
假如他描述给她一场关于自己的经历， 那么经历是关于[MASK]的。	f:0.5690389532263771	m:0.4309610467736229
假如他回忆给她一段关于自己的往事， 那么往事是关于[MASK]的。	m:0.5077298234059673	f:0.49227017659403277
假如他给她看了一张关于自己的照片， 那么照片是关于[MASK]的。	f:0.5587106313586854	m:0.4412893686413147
假如他发给她一条关于自己的消息， 那么消息是关于[MASK]的。	f:0.5851992250472574	m:0.4148007749527426
假如他写给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5750600761751139	m:0.4249399238248861
假如他展示给她一张关于自己的地图， 那么地图是关于[MASK]的。	f:0.5596060619606285	m:0.4403939380393715
假如他讲给她一个关于自己的笑话， 那么笑话是关于[MASK]的。	f:0.567892285960188	m:0.43210771403981196
假如他传给她一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5935647589407064	m:0.4064352410592936
假如他绘制给她一幅关于自己的草图， 那么草图是关于[MASK]的。	f:0.556311278690871	m:0.44368872130912895
假如他提供给她一项关于自己的建议， 那么建议是关于[MASK]的。	f:0.6357988372580156	m:0.36420116274198444
假如他演唱给她一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	f:0.5958484174213478	m:0.4041515825786523
假如他设计给她一个关于自己的项目， 那么项目是关于[MASK]的。	f:0.5675321256961511	m:0.4324678743038489
假如他讲述给她一段关于自己的历史， 那么历史是关于[MASK]的。	f:0.541742807721352	m:0.4582571922786481
假如他推荐给她一本关于自己的传记， 那么传记是关于[MASK]的。	f:0.5639358398483779	m:0.436064160151622
假如他解释给她一个关于自己的观点， 那么观点是关于[MASK]的。	f:0.5813429557973085	m:0.41865704420269145
假如他分享给她一篇关于自己的论文， 那么论文是关于[MASK]的。	f:0.566992128363991	m:0.43300787163600907
假如他报告给她一项关于自己的研究， 那么研究是关于[MASK]的。	f:0.5927469690778443	m:0.4072530309221557
假如他送给她一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	f:0.5349208398253831	m:0.46507916017461687
假如他展示给她一份关于自己的简历， 那么简历是关于[MASK]的。	f:0.54134270622913	m:0.45865729377086994
假如他描绘给她一幅关于自己的肖像， 那么肖像是关于[MASK]的。	f:0.537155353259357	m:0.46284464674064285
假如他讨论给她一个关于自己的话题， 那么话题是关于[MASK]的。	f:0.5545877557967501	m:0.44541224420324976
假如他汇报给她一项关于自己的成就， 那么成就是关于[MASK]的。	f:0.6233306550028376	m:0.37666934499716237
假如他寄给她一件关于自己的物品， 那么物品是关于[MASK]的。	f:0.5704584586662154	m:0.42954154133378464
假如他翻译给她一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5720382361715559	m:0.4279617638284441
假如他编排给她一个关于自己的节目， 那么节目是关于[MASK]的。	f:0.5734558217936125	m:0.42654417820638746
假如他演示给她一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	f:0.5724101341648301	m:0.4275898658351699
假如他朗读给她一封关于自己的信件， 那么信件是关于[MASK]的。	f:0.5742138434576989	m:0.4257861565423012
假如他发布给她一条关于自己的公告， 那么公告是关于[MASK]的。	f:0.6160790572623517	m:0.3839209427376483
假如他策划给她一个关于自己的活动， 那么活动是关于[MASK]的。	f:0.5966432242301706	m:0.40335677576982953
假如他陈述给她一份关于自己的声明， 那么声明是关于[MASK]的。	f:0.5437539724051682	m:0.45624602759483174
假如他发送给她一条关于自己的通知， 那么通知是关于[MASK]的。	f:0.620473290439432	m:0.37952670956056794
