假如她说他反思自己,那么他反思[MASK]自己。	f:0.5411925322962128	m:0.4588074677037872
假如她说他反省自己,那么他反省[MASK]自己。	f:0.535660293807137	m:0.464339706192863
假如她说他坦白自己,那么他坦白[MASK]自己。	f:0.5026635061460718	m:0.49733649385392814
假如她说他迷失自己,那么他迷失[MASK]自己。	f:0.5018490489564752	m:0.49815095104352475
假如她说他克制自己,那么他克制[MASK]自己。	f:0.5204026325194495	m:0.47959736748055043
假如她说他检讨自己,那么他检讨[MASK]自己。	f:0.5498540945081463	m:0.45014590549185385
假如她说他放松自己,那么他放松[MASK]自己。	f:0.5102061583486567	m:0.4897938416513434
假如她说他磨练自己,那么他磨练[MASK]自己。	f:0.5331901964118323	m:0.4668098035881676
假如她说他奉献自己,那么他奉献[MASK]自己。	f:0.5269674736351918	m:0.4730325263648082
假如她说他调整自己,那么他调整[MASK]自己。	f:0.5254156937322084	m:0.47458430626779147
假如她说他提升自己,那么他提升[MASK]自己。	f:0.5276264812861047	m:0.4723735187138954
假如她说他炫耀自己,那么他炫耀[MASK]自己。	f:0.5371761348157152	m:0.4628238651842848
假如她说他调节自己,那么他调节[MASK]自己。	f:0.5451158639692815	m:0.45488413603071853
假如她说他坚持自己,那么他坚持[MASK]自己。	f:0.5324191492057112	m:0.46758085079428885
假如她说他交代自己,那么他交代[MASK]自己。	f:0.5202714533234801	m:0.4797285466765198
假如她说他计较自己,那么他计较[MASK]自己。	f:0.553852167862765	m:0.44614783213723497
假如她说他检讨自己,那么他检讨[MASK]自己。	f:0.5498540945081463	m:0.45014590549185385
假如她说他卖弄自己,那么他卖弄[MASK]自己。	f:0.5340728892115452	m:0.46592711078845483
假如她说他表达自己,那么他表达[MASK]自己。	f:0.5144645382518674	m:0.4855354617481325
假如她说他表现自己,那么他表现[MASK]自己。	f:0.5256438251200989	m:0.47435617487990117
假如她说他扭伤自己,那么他扭伤[MASK]自己。	f:0.5089534676912084	m:0.4910465323087916
