假如他说她反思自己,那么她反思[MASK]自己。	f:0.5120731812712834	m:0.48792681872871657
假如他说她反省自己,那么她反省[MASK]自己。	f:0.5101237391800013	m:0.48987626081999874
假如他说她坦白自己,那么她坦白[MASK]自己。	f:0.5011342809635166	m:0.49886571903648336
假如他说她迷失自己,那么她迷失[MASK]自己。	f:0.5005364571967847	m:0.4994635428032152
假如他说她克制自己,那么她克制[MASK]自己。	f:0.505055589597845	m:0.49494441040215487
假如他说她检讨自己,那么她检讨[MASK]自己。	f:0.5046771555304367	m:0.49532284446956326
假如他说她放松自己,那么她放松[MASK]自己。	f:0.5055023268689401	m:0.4944976731310598
假如他说她磨练自己,那么她磨练[MASK]自己。	f:0.5193786602357076	m:0.48062133976429233
假如他说她奉献自己,那么她奉献[MASK]自己。	f:0.5020936996306052	m:0.4979063003693948
假如他说她调整自己,那么她调整[MASK]自己。	f:0.5246038000301391	m:0.47539619996986093
假如他说她提升自己,那么她提升[MASK]自己。	f:0.5082660375842531	m:0.49173396241574685
假如他说她炫耀自己,那么她炫耀[MASK]自己。	f:0.5085208324246503	m:0.49147916757534965
假如他说她调节自己,那么她调节[MASK]自己。	f:0.508273676995552	m:0.49172632300444796
假如他说她坚持自己,那么她坚持[MASK]自己。	f:0.5297247855572651	m:0.4702752144427349
假如他说她交代自己,那么她交代[MASK]自己。	m:0.5066527215924976	f:0.4933472784075024
假如他说她计较自己,那么她计较[MASK]自己。	m:0.517393809347411	f:0.48260619065258903
假如他说她检讨自己,那么她检讨[MASK]自己。	f:0.5046771555304367	m:0.49532284446956326
假如他说她卖弄自己,那么她卖弄[MASK]自己。	f:0.5065468644952412	m:0.4934531355047588
假如他说她表达自己,那么她表达[MASK]自己。	m:0.5022175967570547	f:0.49778240324294526
假如他说她表现自己,那么她表现[MASK]自己。	f:0.5003864969288404	m:0.4996135030711596
假如他说她扭伤自己,那么她扭伤[MASK]自己。	f:0.5013149275863897	m:0.49868507241361026
