他知道我经常批评[MASK]自己。	m:0.5009175547846842	w:0.2722897958851876	f:0.2267926493301282
她知道我经常批评[MASK]自己。	f:0.5259306084485112	w:0.2505596477294112	m:0.22350974382207756
他认为她知道我把[MASK]自己的书送给了自己的朋友。	f:0.3882975100338095	w:0.3204309279054685	m:0.2912715620607219
她认为他知道我把[MASK]自己的书送给了自己的朋友。	f:0.3406847239811705	w:0.3306794482577733	m:0.3286358277610562
他担心我会批评[MASK]自己。	m:0.5418900684758411	w:0.23683258055342152	f:0.22127735097073736
她担心我会批评[MASK]自己。	f:0.5579179908772864	w:0.22548659110569316	m:0.21659541801702037
他知道我害了[MASK]自己。	m:0.5498226786736069	w:0.22853535490203405	f:0.2216419664243591
她知道我害了[MASK]自己。	f:0.5645282763291816	w:0.21894713081764156	m:0.21652459285317682
他觉得我对[MASK]自己没信心。	w:0.4592614706649324	m:0.3063531408474188	f:0.2343853884876487
她觉得我对[MASK]自己没信心。	w:0.4469657986441177	f:0.31812012298176207	m:0.23491407837412015
他认为我的骄傲害了[MASK]自己。	m:0.4161800257329817	w:0.34975050533176616	f:0.23406946893525213
她认为我的骄傲害了[MASK]自己。	f:0.4651022679257863	w:0.3044846566324874	m:0.23041307544172637
她知道我告诉过她有关[MASK]自己的工作。	f:0.3973381774582983	w:0.3242706428042272	m:0.2783911797374746
他知道我告诉过他有关[MASK]自己的工作。	m:0.3876550167878165	w:0.3230999804475717	f:0.28924500276461185
他说我跟他谈过[MASK]自己的事。	w:0.41506744249049077	m:0.33040703745351885	f:0.2545255200559904
她说我跟她谈过[MASK]自己的事。	f:0.41191332907806666	w:0.34104691441564433	m:0.24703975650628907
她认为我从她那里听说了[MASK]自己的分数。	f:0.5126689507318933	w:0.25943128651293473	m:0.22789976275517182
他认为我从他那里听说了[MASK]自己的分数。	m:0.47153327578404935	w:0.2929905943695988	f:0.23547612984635172
他知道我在他家洗[MASK]自己的照片。	m:0.33570478182117225	w:0.3330090808623023	f:0.3312861373165255
她知道我在她家洗[MASK]自己的照片。	f:0.3376685779880421	w:0.3321663404478155	m:0.3301650815641423
当时他怕我再去找[MASK]自己的麻烦就给了我钱。	m:0.5268342140080221	w:0.23853461648249355	f:0.2346311695094843
当时她怕我再去找[MASK]自己的麻烦就给了我钱。	f:0.5284710408989874	w:0.2374855619958003	m:0.23404339710521227
她知道我的报告害了[MASK]自己。	f:0.5521537593068926	w:0.22993586238625144	m:0.21791037830685592
他知道我的报告害了[MASK]自己。	m:0.5234573215271043	w:0.25297646949249486	f:0.22356620898040083
他的话暗示我的信害了[MASK]自己。	w:0.5501055944393779	m:0.23001407470033988	f:0.2198803308602822
她的话暗示我的信害了[MASK]自己。	w:0.5392666253970343	f:0.24002544666204098	m:0.2207079279409246
她认为我恨[MASK]自己。	f:0.517584685127301	w:0.25234867118011023	m:0.23006664369258872
他认为我恨[MASK]自己。	m:0.4814899843187819	w:0.28064756286624115	f:0.23786245281497675
他说我喜欢[MASK]自己。	m:0.3934524779367607	w:0.33863521000112673	f:0.26791231206211263
她说我喜欢[MASK]自己。	f:0.44842239984550925	w:0.3038200307970536	m:0.24775756935743715
他不喜欢我管[MASK]自己的事。	m:0.5553884530999225	w:0.22422084468672837	f:0.22039070221334928
她不喜欢我管[MASK]自己的事。	f:0.5555376950873988	w:0.2233439831013741	m:0.22111832181122712
他告诉别人我觉得[MASK]自己明年可以考进好大学。	w:0.49749949561109935	m:0.2543070502142989	f:0.24819345417460184
他说我批评了[MASK]自己。	m:0.4941396310704024	w:0.2584060919814567	f:0.247454276948141
她说我批评了[MASK]自己。	f:0.5568476845641902	w:0.22452279237931025	m:0.21862952305649952
她觉得我在批评[MASK]自己。	f:0.5576135466528315	w:0.22476275583546731	m:0.21762369751170116
他觉得我在批评[MASK]自己。	m:0.5227362288462912	w:0.252036604086617	f:0.22522716706709167
她认为我知道[MASK]自己的太太是一个好人。	w:0.3353122375688682	f:0.3332322515822257	m:0.3314555108489062
他认为我知道[MASK]自己的太太是一个好人。	w:0.3380177098010219	m:0.33303533533131663	f:0.3289469548676615
他觉得我不喜欢[MASK]自己。	m:0.5072027832099734	w:0.26241405964664866	f:0.23038315714337806
她觉得我不喜欢[MASK]自己。	f:0.5310176065276745	w:0.24391006450358024	m:0.2250723289687453
