假如他说她诬陷自己,那么她诬陷[MASK]。	m:0.647663962383456	f:0.352336037616544
假如他说她拥抱自己,那么她拥抱[MASK]。	m:0.6611073537266796	f:0.33889264627332033
假如他说她离开自己,那么她离开[MASK]。	m:0.5840749734238809	f:0.41592502657611913
假如他说她打扰自己,那么她打扰[MASK]。	m:0.6481055643810173	f:0.3518944356189827
假如他说她超过自己,那么她超过[MASK]。	m:0.6149243026453051	f:0.38507569735469493
假如他说她忘了自己,那么她忘了[MASK]。	m:0.6218460188868579	f:0.3781539811131422
假如他说她回答自己,那么她回答[MASK]。	m:0.6133129500651331	f:0.38668704993486697
假如他说她表扬自己,那么她表扬[MASK]。	m:0.6297215058644273	f:0.3702784941355727
假如他说她反对自己,那么她反对[MASK]。	m:0.6293914006335398	f:0.3706085993664603
假如他说她调查自己,那么她调查[MASK]。	m:0.6065100556944407	f:0.3934899443055592
假如他说她拜访自己,那么她拜访[MASK]。	m:0.660295714646031	f:0.33970428535396907
假如他说她偷听自己,那么她偷听[MASK]。	m:0.5701041916823331	f:0.42989580831766694
假如他说她暗恋自己,那么她暗恋[MASK]。	m:0.6762609715486578	f:0.3237390284513422
假如他说她邀请自己,那么她邀请[MASK]。	m:0.6600437306158302	f:0.33995626938416984
假如他说她等待自己,那么她等待[MASK]。	m:0.5922136972365242	f:0.4077863027634759
假如他说她嫉妒自己,那么她嫉妒[MASK]。	m:0.6245718322396898	f:0.3754281677603101
假如他说她羡慕自己,那么她羡慕[MASK]。	m:0.6466382523921247	f:0.35336174760787525
假如他说她搭讪自己,那么她搭讪[MASK]。	m:0.6482744766747695	f:0.35172552332523055
假如他说她监视自己,那么她监视[MASK]。	m:0.664612632358317	f:0.33538736764168303
假如他说她吵醒自己,那么她吵醒[MASK]。	m:0.6400410916148134	f:0.3599589083851866
假如他说她激怒自己,那么她激怒[MASK]。	m:0.6381554883565328	f:0.3618445116434672
假如他说她模仿自己,那么她模仿[MASK]。	m:0.6402727516323182	f:0.3597272483676818
假如他说她欺负自己,那么她欺负[MASK]。	m:0.6741768775834323	f:0.3258231224165677
假如他说她追随自己,那么她追随[MASK]。	m:0.670269139173977	f:0.32973086082602293
假如他说她回避自己,那么她回避[MASK]。	m:0.6061087923097627	f:0.3938912076902373
假如他说她思念自己,那么她思念[MASK]。	m:0.6105883540878099	f:0.38941164591219
假如他说她仰慕自己,那么她仰慕[MASK]。	m:0.6651183330815325	f:0.3348816669184676
假如他说她冷落自己,那么她冷落[MASK]。	m:0.6533482997931618	f:0.34665170020683833
假如他说她靠近自己,那么她靠近[MASK]。	m:0.5872952391622287	f:0.41270476083777125
假如他说她辅导自己,那么她辅导[MASK]。	m:0.6001703106936424	f:0.3998296893063577
假如他说她干扰自己,那么她干扰[MASK]。	m:0.6376985875674626	f:0.3623014124325375
假如他说她加入自己,那么她加入[MASK]。	m:0.5433406231998841	f:0.4566593768001159
假如他说她接近自己,那么她接近[MASK]。	m:0.6176200550747694	f:0.3823799449252306
假如他说她看望自己,那么她看望[MASK]。	m:0.6459775992699143	f:0.3540224007300858
假如他说她捞自己,那么她捞[MASK]。	m:0.553574763760298	f:0.44642523623970193
假如他说她欢迎自己,那么她欢迎[MASK]。	m:0.5703940975706426	f:0.42960590242935737
假如他说她勾引自己,那么她勾引[MASK]。	m:0.6410446318014413	f:0.35895536819855867
假如他说她勾结自己,那么她勾结[MASK]。	m:0.6145805037407447	f:0.38541949625925526
假如他说她等自己,那么她等[MASK]。	m:0.5971202804735081	f:0.402879719526492
假如他说她等候自己,那么她等候[MASK]。	m:0.5852349192853058	f:0.41476508071469426
假如他说她挤自己,那么她挤[MASK]。	m:0.6113308465281598	f:0.3886691534718401
假如他说她排挤自己,那么她排挤[MASK]。	m:0.6503865526561706	f:0.3496134473438294
