他知道她经常批评[MASK]自己。	m:0.6762227263429571	f:0.3237772736570428
他知道她把[MASK]自己的书送给了朋友。	f:0.5916771102908945	m:0.4083228897091056
他担心她会批评[MASK]自己。	m:0.7054139550637384	f:0.29458604493626156
他知道她害了[MASK]自己。	m:0.6783167568559237	f:0.32168324314407626
他觉得她对[MASK]自己没信心。	f:0.5219040447662244	m:0.4780959552337756
他认为她的骄傲害了[MASK]自己。	m:0.5162585481408639	f:0.4837414518591361
他知道她告诉过他有关[MASK]自己的工作。	f:0.5057499258013033	m:0.49425007419869665
他说她跟他谈过[MASK]自己的事。	f:0.6114906234726437	m:0.3885093765273562
他认为她从他那里听说了[MASK]自己的分数。	f:0.5719293410598285	m:0.42807065894017143
他知道她在他家洗[MASK]自己的照片。	f:0.5000152111751912	m:0.49998478882480885
他不喜欢她管[MASK]自己的事。	m:0.5931036743458883	f:0.40689632565411166
他知道她的报告害了[MASK]自己。	m:0.6279132172563221	f:0.37208678274367785
他的话暗示她的信害了[MASK]自己。	f:0.705211679011437	m:0.29478832098856295
他认为她恨[MASK]自己。	m:0.5892050795547767	f:0.4107949204452233
他说她喜欢[MASK]自己。	m:0.5423730168923504	f:0.4576269831076497
他告诉别人她觉得[MASK]自己明年可以考进好大学。	m:0.5026663964235732	f:0.4973336035764268
他说她批评了[MASK]自己。	m:0.6300569081641839	f:0.36994309183581614
他觉得她在批评[MASK]自己。	m:0.7050889089923605	f:0.2949110910076395
他认为她知道[MASK]自己的朋友是一个好人。	m:0.5006197080102543	f:0.4993802919897457
他觉得她不喜欢[MASK]自己。	m:0.6348299489522782	f:0.3651700510477218
