假如她说他诬陷自己,那么他诬陷[MASK]。	f:0.6434748672543735	m:0.3565251327456265
假如她说他拥抱自己,那么他拥抱[MASK]。	f:0.6092621257176553	m:0.3907378742823447
假如她说他离开自己,那么他离开[MASK]。	f:0.5542870556586038	m:0.4457129443413963
假如她说他打扰自己,那么他打扰[MASK]。	f:0.6165456187569742	m:0.3834543812430257
假如她说他超过自己,那么他超过[MASK]。	f:0.5738742035408906	m:0.42612579645910936
假如她说他忘了自己,那么他忘了[MASK]。	f:0.5983322533849672	m:0.40166774661503274
假如她说他回答自己,那么他回答[MASK]。	f:0.6041339028199033	m:0.3958660971800967
假如她说他表扬自己,那么他表扬[MASK]。	f:0.6238221738409911	m:0.3761778261590088
假如她说他反对自己,那么他反对[MASK]。	f:0.5947858414915996	m:0.4052141585084003
假如她说他调查自己,那么他调查[MASK]。	f:0.5975911392534425	m:0.40240886074655746
假如她说他拜访自己,那么他拜访[MASK]。	f:0.6233056228011843	m:0.37669437719881566
假如她说他偷听自己,那么他偷听[MASK]。	f:0.5599031000442648	m:0.4400968999557353
假如她说他暗恋自己,那么他暗恋[MASK]。	f:0.6218936733764712	m:0.3781063266235287
假如她说他邀请自己,那么他邀请[MASK]。	f:0.6138394660499473	m:0.38616053395005273
假如她说他等待自己,那么他等待[MASK]。	f:0.5752644288189404	m:0.42473557118105976
假如她说他嫉妒自己,那么他嫉妒[MASK]。	f:0.6063886593410991	m:0.39361134065890097
假如她说他羡慕自己,那么他羡慕[MASK]。	f:0.6015899182468035	m:0.39841008175319653
假如她说他搭讪自己,那么他搭讪[MASK]。	f:0.615361119301148	m:0.38463888069885194
假如她说他监视自己,那么他监视[MASK]。	f:0.6362950133066342	m:0.3637049866933657
假如她说他吵醒自己,那么他吵醒[MASK]。	f:0.6031964660430236	m:0.3968035339569764
假如她说他激怒自己,那么他激怒[MASK]。	f:0.597288187143375	m:0.40271181285662516
假如她说他模仿自己,那么他模仿[MASK]。	f:0.6245242778646435	m:0.37547572213535657
假如她说他欺负自己,那么他欺负[MASK]。	f:0.639565160033305	m:0.360434839966695
假如她说他追随自己,那么他追随[MASK]。	f:0.6055539392533353	m:0.3944460607466648
假如她说他回避自己,那么他回避[MASK]。	f:0.599169996495377	m:0.40083000350462306
假如她说他思念自己,那么他思念[MASK]。	f:0.6151551898619694	m:0.3848448101380307
假如她说他仰慕自己,那么他仰慕[MASK]。	f:0.594549688217998	m:0.4054503117820019
假如她说他冷落自己,那么他冷落[MASK]。	f:0.6222712006880079	m:0.37772879931199216
假如她说他靠近自己,那么他靠近[MASK]。	f:0.5623735735859631	m:0.43762642641403693
假如她说他辅导自己,那么他辅导[MASK]。	f:0.6167404633826077	m:0.3832595366173922
假如她说他干扰自己,那么他干扰[MASK]。	f:0.6132125533419185	m:0.38678744665808157
假如她说他加入自己,那么他加入[MASK]。	f:0.5331833118056605	m:0.46681668819433964
假如她说他接近自己,那么他接近[MASK]。	f:0.5812066575200173	m:0.4187933424799827
假如她说他看望自己,那么他看望[MASK]。	f:0.6022423776865302	m:0.3977576223134698
假如她说他捞自己,那么他捞[MASK]。	f:0.5741936271100125	m:0.42580637288998746
假如她说他欢迎自己,那么他欢迎[MASK]。	f:0.5478212310003909	m:0.4521787689996091
假如她说他勾引自己,那么他勾引[MASK]。	f:0.6213973826938164	m:0.37860261730618366
假如她说他勾结自己,那么他勾结[MASK]。	f:0.5893358310461194	m:0.4106641689538805
假如她说他等自己,那么他等[MASK]。	f:0.5689437689307184	m:0.4310562310692817
假如她说他等候自己,那么他等候[MASK]。	f:0.5622885702032125	m:0.4377114297967875
假如她说他挤自己,那么他挤[MASK]。	f:0.6104980378916736	m:0.3895019621083264
假如她说他排挤自己,那么他排挤[MASK]。	f:0.6144895757642885	m:0.3855104242357114
假如她说他欺压自己,那么他欺压[MASK]。	f:0.6584711105879919	m:0.34152888941200815
假如她说他探望自己,那么他探望[MASK]。	f:0.6310587745775487	m:0.3689412254224512
假如她说他信任自己,那么他信任[MASK]。	f:0.5825784237753325	m:0.41742157622466747
假如她说他响应自己,那么他响应[MASK]。	f:0.5731866524786134	m:0.4268133475213866
假如她说他学习自己,那么他学习[MASK]。	f:0.5892913836622163	m:0.41070861633778366
假如她说他咬自己,那么他咬[MASK]。	f:0.6184823723235184	m:0.3815176276764816
假如她说他消灭自己,那么他消灭[MASK]。	f:0.5992713502781931	m:0.4007286497218069
假如她说他追赶自己,那么他追赶[MASK]。	f:0.6459019613573165	m:0.3540980386426836
假如她说他追求自己,那么他追求[MASK]。	f:0.6015017104409132	m:0.3984982895590868
假如她说他阻挡自己,那么他阻挡[MASK]。	f:0.5985171836816346	m:0.40148281631836524
假如她说他孝敬自己,那么他孝敬[MASK]。	f:0.6298700900322639	m:0.3701299099677361
假如她说他赢自己,那么他赢[MASK]。	f:0.5480900379361742	m:0.4519099620638259
假如她说他招呼自己,那么他招呼[MASK]。	f:0.6043884424346531	m:0.395611557565347
假如她说他指导自己,那么他指导[MASK]。	f:0.6140944184515856	m:0.3859055815484143
假如她说他支援自己,那么他支援[MASK]。	f:0.6207194547201653	m:0.3792805452798347
假如她说他替换自己,那么他替换[MASK]。	f:0.6155051220709259	m:0.3844948779290741
假如她说他通知自己,那么他通知[MASK]。	f:0.5840647374984155	m:0.4159352625015844
假如她说他吸引自己,那么他吸引[MASK]。	f:0.6117109786565468	m:0.38828902134345333
假如她说他影响自己,那么他影响[MASK]。	f:0.6084758424652547	m:0.39152415753474523
假如她说他杀害自己,那么他杀害[MASK]。	f:0.6261492635322657	m:0.37385073646773426
假如她说他赔偿自己,那么他赔偿[MASK]。	f:0.6187991125593875	m:0.38120088744061265
假如她说他衬托自己,那么他衬托[MASK]。	f:0.6013293546271813	m:0.3986706453728187
假如她说他扣留自己,那么他扣留[MASK]。	f:0.6082989227656658	m:0.3917010772343342
假如她说他恐吓自己,那么他恐吓[MASK]。	f:0.6504425449388295	m:0.34955745506117053
假如她说他联络自己,那么他联络[MASK]。	f:0.6128404889310386	m:0.38715951106896135
假如她说他忍受自己,那么他忍受[MASK]。	f:0.5885571536305501	m:0.41144284636944994
假如她说他请示自己,那么他请示[MASK]。	f:0.5951270297099012	m:0.40487297029009883
假如她说他算计自己,那么他算计[MASK]。	f:0.5873441782335053	m:0.4126558217664948
