如果她推荐他的情妇是关于自己的， 那么情妇是关于<mask>的。	m:0.5112222879967796	f:0.4887777120032204
如果她留给他的财产是关于自己的， 那么财产是关于<mask>的。	m:0.5145606418869314	f:0.4854393581130686
如果她送给他的球是关于自己的， 那么球是关于<mask>的。	m:0.5092282264160686	f:0.49077177358393154
如果她向他描述的情妇是关于自己的， 那么情妇是关于<mask>的。	m:0.5104442318153642	f:0.48955576818463575
如果她留给他的印象是关于自己的， 那么印象是关于<mask>的。	m:0.5117949861625314	f:0.48820501383746856
如果她看向他的目光是来自自己的， 那么目光是关于<mask>的。	m:0.5388434353669166	f:0.46115656463308335
如果她留给他的钱是关于自己的， 那么钱是关于<mask>的。	m:0.5169437128194292	f:0.4830562871805707
如果她介绍给他的情妇是喜欢自己的， 那么情妇是关于<mask>的。	m:0.5097853767235089	f:0.4902146232764911
如果她介绍给他的财产是属于自己的， 那么财产是关于<mask>的。	m:0.5019409149252256	f:0.4980590850747744
如果她介绍他的伙伴是喜欢自己的， 那么伙伴是关于<mask>的。	f:0.5192243106007858	m:0.48077568939921417
如果她介绍给他的媳妇是喜欢自己的， 那么媳妇是关于<mask>的。	m:0.5013854319163444	f:0.4986145680836556
如果她介绍他的床是关于自己的， 那么床是关于<mask>的。	f:0.5403008369071824	m:0.4596991630928176
如果她介绍他的太太是关于自己的， 那么太太是关于<mask>的。	m:0.5143791339750463	f:0.48562086602495363
如果她介绍他的家庭是关于自己的， 那么家庭是关于<mask>的。	f:0.5122726118926049	m:0.4877273881073951
如果她介绍他的同伙是关于自己的， 那么同伙是关于<mask>的。	f:0.5048387663382865	m:0.4951612336617134
如果她介绍他的妻子是关于自己的， 那么妻子是关于<mask>的。	m:0.5210984514115937	f:0.47890154858840633
如果她介绍他的意见是关于自己的， 那么意见是关于<mask>的。	m:0.5010805187690266	f:0.49891948123097335
如果她介绍他的女人是关于自己的， 那么女人是关于<mask>的。	m:0.5395046787371425	f:0.4604953212628576
如果她介绍他的样子是关于自己的， 那么样子是关于<mask>的。	m:0.541093131856928	f:0.458906868143072
如果她介绍他的夫人是关于自己的， 那么夫人是关于<mask>的。	m:0.5122371907720554	f:0.48776280922794457
如果她介绍他的作品是关于自己的， 那么作品是关于<mask>的。	f:0.5239310319612334	m:0.4760689680387666
如果她介绍他的兄弟是关于自己的， 那么兄弟是关于<mask>的。	f:0.5064645960762056	m:0.49353540392379436
如果她介绍他的车是关于自己的， 那么车是关于<mask>的。	f:0.5317717739845349	m:0.4682282260154651
如果她介绍他的烟是关于自己的， 那么烟是关于<mask>的。	f:0.516443379846325	m:0.483556620153675
如果她介绍他的老婆是关于自己的， 那么老婆是关于<mask>的。	m:0.5585147440631106	f:0.4414852559368894
如果她看他的钱是关于自己的， 那么钱是关于<mask>的。	f:0.5136448232289265	m:0.48635517677107354
如果她看他的情妇是关于自己的， 那么情妇是关于<mask>的。	m:0.5109647737533117	f:0.4890352262466883
如果她看他的财产是关于自己的， 那么财产是关于<mask>的。	f:0.5306829132826192	m:0.4693170867173809
如果她看他的印象是关于自己的， 那么印象是关于<mask>的。	m:0.5028221233010556	f:0.4971778766989445
如果她看他的生命是关于自己的， 那么生命是关于<mask>的。	f:0.5277922651848803	m:0.47220773481511974
如果她看他的目光是关于自己的， 那么目光是关于<mask>的。	m:0.53484417670992	f:0.46515582329008
如果她看他的敌人是关于自己的， 那么敌人是关于<mask>的。	f:0.5079340979926187	m:0.4920659020073813
如果她看他的事业是关于自己的， 那么事业是关于<mask>的。	f:0.5226047443477123	m:0.4773952556522877
如果她看他的伙伴是关于自己的， 那么伙伴是关于<mask>的。	f:0.5194589809558228	m:0.4805410190441772
如果她看他的球是关于自己的， 那么球是关于<mask>的。	f:0.5137322721557933	m:0.4862677278442067
如果她看他的媳妇是关于自己的， 那么媳妇是关于<mask>的。	m:0.5156369943781248	f:0.4843630056218751
如果她看他的床是关于自己的， 那么床是关于<mask>的。	f:0.5200616543434249	m:0.4799383456565751
如果她看他的太太是关于自己的， 那么太太是关于<mask>的。	m:0.5193870760388531	f:0.48061292396114685
如果她看他的家庭是关于自己的， 那么家庭是关于<mask>的。	f:0.5135424646361255	m:0.48645753536387454
如果她看他的同伙是关于自己的， 那么同伙是关于<mask>的。	f:0.5080489863904663	m:0.49195101360953375
如果她看他的妻子是关于自己的， 那么妻子是关于<mask>的。	m:0.500264782433792	f:0.499735217566208
