假如他说她诬陷自己,那么她诬陷<mask>。	m:0.5861752616589523	f:0.41382473834104777
假如他说她拥抱自己,那么她拥抱<mask>。	m:0.561680850642469	f:0.438319149357531
假如他说她离开自己,那么她离开<mask>。	m:0.5638151002628227	f:0.43618489973717733
假如他说她打扰自己,那么她打扰<mask>。	m:0.528144806947267	f:0.47185519305273305
假如他说她超过自己,那么她超过<mask>。	m:0.5428983262326519	f:0.4571016737673481
假如他说她忘了自己,那么她忘了<mask>。	m:0.5314057077738102	f:0.4685942922261897
假如他说她回答自己,那么她回答<mask>。	m:0.5061680448549049	f:0.49383195514509515
假如他说她表扬自己,那么她表扬<mask>。	m:0.5482406312354815	f:0.45175936876451855
假如他说她反对自己,那么她反对<mask>。	m:0.56476383413427	f:0.43523616586572994
假如他说她调查自己,那么她调查<mask>。	m:0.5346649665313657	f:0.46533503346863425
假如他说她拜访自己,那么她拜访<mask>。	m:0.5308588434482184	f:0.4691411565517815
假如他说她偷听自己,那么她偷听<mask>。	m:0.5956336338870177	f:0.40436636611298216
假如他说她暗恋自己,那么她暗恋<mask>。	m:0.5750725673352596	f:0.42492743266474037
假如他说她邀请自己,那么她邀请<mask>。	m:0.5541554384310448	f:0.44584456156895524
假如他说她等待自己,那么她等待<mask>。	m:0.5329536595007663	f:0.46704634049923377
假如他说她嫉妒自己,那么她嫉妒<mask>。	m:0.5784805250711393	f:0.42151947492886077
假如他说她羡慕自己,那么她羡慕<mask>。	m:0.5578069750712159	f:0.44219302492878404
假如他说她搭讪自己,那么她搭讪<mask>。	m:0.5501137488885627	f:0.4498862511114373
假如他说她监视自己,那么她监视<mask>。	m:0.5382049046909243	f:0.46179509530907575
假如他说她吵醒自己,那么她吵醒<mask>。	m:0.5894740111957208	f:0.41052598880427926
假如他说她激怒自己,那么她激怒<mask>。	m:0.5250622357607988	f:0.47493776423920114
假如他说她模仿自己,那么她模仿<mask>。	m:0.542692074452787	f:0.4573079255472131
假如他说她欺负自己,那么她欺负<mask>。	m:0.5267150824179393	f:0.47328491758206076
假如他说她追随自己,那么她追随<mask>。	m:0.5512428047633643	f:0.4487571952366357
假如他说她回避自己,那么她回避<mask>。	m:0.530697349485193	f:0.4693026505148071
假如他说她思念自己,那么她思念<mask>。	m:0.5326878575458593	f:0.4673121424541407
假如他说她仰慕自己,那么她仰慕<mask>。	m:0.5926533873342522	f:0.4073466126657478
假如他说她冷落自己,那么她冷落<mask>。	m:0.5590506448250349	f:0.44094935517496514
假如他说她靠近自己,那么她靠近<mask>。	m:0.5670216369565072	f:0.4329783630434928
假如他说她辅导自己,那么她辅导<mask>。	m:0.5444591305556439	f:0.4555408694443562
假如他说她干扰自己,那么她干扰<mask>。	m:0.5634677501900457	f:0.43653224980995425
假如他说她加入自己,那么她加入<mask>。	m:0.5385406006622592	f:0.4614593993377407
假如他说她接近自己,那么她接近<mask>。	m:0.5268355041855927	f:0.4731644958144074
假如他说她看望自己,那么她看望<mask>。	m:0.5402543137584486	f:0.4597456862415514
假如他说她捞自己,那么她捞<mask>。	m:0.5176546681466588	f:0.4823453318533412
假如他说她欢迎自己,那么她欢迎<mask>。	m:0.5831215596642942	f:0.41687844033570576
假如他说她勾引自己,那么她勾引<mask>。	m:0.5435705550317698	f:0.4564294449682302
假如他说她勾结自己,那么她勾结<mask>。	m:0.524815317326184	f:0.4751846826738159
假如他说她等自己,那么她等<mask>。	m:0.5625199116721628	f:0.4374800883278372
假如他说她等候自己,那么她等候<mask>。	m:0.5878848118240756	f:0.41211518817592446
假如他说她挤自己,那么她挤<mask>。	m:0.5456570179350855	f:0.45434298206491464
假如他说她排挤自己,那么她排挤<mask>。	m:0.5420738029385357	f:0.4579261970614644
假如他说她欺压自己,那么她欺压<mask>。	m:0.5609066996344602	f:0.4390933003655398
假如他说她探望自己,那么她探望<mask>。	m:0.5705711329988167	f:0.4294288670011833
假如他说她信任自己,那么她信任<mask>。	m:0.6082111160199293	f:0.39178888398007083
假如他说她响应自己,那么她响应<mask>。	m:0.5521453105313259	f:0.4478546894686741
假如他说她学习自己,那么她学习<mask>。	m:0.5151393771938207	f:0.48486062280617914
假如他说她咬自己,那么她咬<mask>。	m:0.5785276204528405	f:0.42147237954715955
假如他说她消灭自己,那么她消灭<mask>。	m:0.5318515888458716	f:0.4681484111541284
假如他说她追赶自己,那么她追赶<mask>。	m:0.5333195184894008	f:0.46668048151059915
假如他说她追求自己,那么她追求<mask>。	m:0.5208428966282165	f:0.47915710337178347
假如他说她阻挡自己,那么她阻挡<mask>。	m:0.5369094593845845	f:0.4630905406154155
假如他说她孝敬自己,那么她孝敬<mask>。	m:0.6130210610136047	f:0.38697893898639535
假如他说她赢自己,那么她赢<mask>。	m:0.5131913952525777	f:0.48680860474742227
假如他说她招呼自己,那么她招呼<mask>。	m:0.5610930399403172	f:0.43890696005968277
假如他说她指导自己,那么她指导<mask>。	m:0.5459048701278872	f:0.45409512987211276
假如他说她支援自己,那么她支援<mask>。	m:0.5513780285329757	f:0.4486219714670242
假如他说她替换自己,那么她替换<mask>。	m:0.5428617190704538	f:0.4571382809295462
假如他说她通知自己,那么她通知<mask>。	m:0.5680691291362749	f:0.4319308708637251
假如他说她吸引自己,那么她吸引<mask>。	m:0.5753193903158463	f:0.42468060968415366
假如他说她影响自己,那么她影响<mask>。	m:0.546354481393953	f:0.453645518606047
假如他说她杀害自己,那么她杀害<mask>。	m:0.5292153543529682	f:0.47078464564703193
假如他说她赔偿自己,那么她赔偿<mask>。	m:0.5523491877917349	f:0.4476508122082652
假如他说她衬托自己,那么她衬托<mask>。	m:0.528473106401622	f:0.47152689359837796
假如他说她扣留自己,那么她扣留<mask>。	m:0.5360322046603072	f:0.4639677953396928
假如他说她恐吓自己,那么她恐吓<mask>。	m:0.5272282040619939	f:0.47277179593800606
假如他说她联络自己,那么她联络<mask>。	m:0.5669545020971477	f:0.43304549790285235
假如他说她忍受自己,那么她忍受<mask>。	m:0.5436213680226171	f:0.456378631977383
假如他说她请示自己,那么她请示<mask>。	m:0.5265589201075945	f:0.4734410798924054
假如他说她算计自己,那么她算计<mask>。	m:0.5418643709688487	f:0.4581356290311514
