她知道他经常批评<mask>自己。	m:0.5406536210602	f:0.45934637893980007
她知道他把<mask>自己的书送给了朋友。	m:0.5041372190351281	f:0.49586278096487196
她担心他会批评<mask>自己。	m:0.534251984466673	f:0.465748015533327
她知道他害了<mask>自己。	m:0.5087285942864297	f:0.49127140571357036
她觉得他对<mask>自己没信心。	f:0.5110992592165112	m:0.4889007407834887
她认为他的骄傲害了<mask>自己。	m:0.5476489282070017	f:0.45235107179299827
她知道他告诉过她有关<mask>自己的工作。	m:0.6299356317810055	f:0.37006436821899447
她说他跟她谈过<mask>自己的事。	f:0.5329748520121241	m:0.467025147987876
她认为他从她那里听说了<mask>自己的分数。	m:0.5038792560068233	f:0.49612074399317674
她知道他在她家洗<mask>自己的照片。	m:0.5002179158189659	f:0.49978208418103415
她不喜欢他管<mask>自己的事。	f:0.5025432917267734	m:0.49745670827322674
她知道他的报告害了<mask>自己。	m:0.5318531467702736	f:0.4681468532297264
她的话暗示他的信害了<mask>自己。	m:0.5453049525678909	f:0.4546950474321091
她认为他恨<mask>自己。	m:0.5116362847063851	f:0.48836371529361483
她说他喜欢<mask>自己。	f:0.5101386584277477	m:0.48986134157225225
她告诉别人他觉得<mask>自己明年可以考进好大学。	m:0.5009988588781144	f:0.4990011411218857
她说他批评了<mask>自己。	f:0.550354216905088	m:0.4496457830949121
她觉得他在批评<mask>自己。	m:0.5285179610480999	f:0.47148203895190005
她认为他知道<mask>自己的朋友是一个好人。	m:0.5013820870969363	f:0.4986179129030636
她觉得他不喜欢<mask>自己。	m:0.5182180103063608	f:0.4817819896936392
