假如他说她反思自己,那么她反思<mask>自己。	f:0.5011902727054108	m:0.4988097272945892
假如他说她反省自己,那么她反省<mask>自己。	m:0.5062098986262007	f:0.4937901013737994
假如他说她坦白自己,那么她坦白<mask>自己。	f:0.503961413164482	m:0.49603858683551805
假如他说她迷失自己,那么她迷失<mask>自己。	f:0.5034164028803512	m:0.4965835971196487
假如他说她克制自己,那么她克制<mask>自己。	m:0.5003882119001246	f:0.4996117880998754
假如他说她检讨自己,那么她检讨<mask>自己。	m:0.5128577836293219	f:0.48714221637067817
假如他说她放松自己,那么她放松<mask>自己。	m:0.5003033035819457	f:0.4996966964180542
假如他说她磨练自己,那么她磨练<mask>自己。	m:0.501304971583574	f:0.49869502841642604
假如他说她奉献自己,那么她奉献<mask>自己。	m:0.5052146066291008	f:0.4947853933708992
假如他说她调整自己,那么她调整<mask>自己。	m:0.5034684527301472	f:0.49653154726985277
假如他说她提升自己,那么她提升<mask>自己。	m:0.5005041072765332	f:0.4994958927234668
假如他说她炫耀自己,那么她炫耀<mask>自己。	f:0.5012365074766431	m:0.49876349252335694
假如他说她调节自己,那么她调节<mask>自己。	m:0.5028743310847035	f:0.4971256689152965
假如他说她坚持自己,那么她坚持<mask>自己。	m:0.5003908932343971	f:0.499609106765603
假如他说她交代自己,那么她交代<mask>自己。	m:0.5144894179158012	f:0.48551058208419884
假如他说她计较自己,那么她计较<mask>自己。	m:0.5122717178961617	f:0.48772828210383834
假如他说她检讨自己,那么她检讨<mask>自己。	m:0.5128577836293219	f:0.48714221637067817
假如他说她卖弄自己,那么她卖弄<mask>自己。	m:0.5126032792687795	f:0.48739672073122053
假如他说她表达自己,那么她表达<mask>自己。	m:0.5016469323119016	f:0.4983530676880985
假如他说她表现自己,那么她表现<mask>自己。	m:0.5025699096269948	f:0.4974300903730053
假如他说她扭伤自己,那么她扭伤<mask>自己。	m:0.502220287178569	f:0.4977797128214309
