他喜欢<mask>自己。	m:0.5039847765353052	f:0.4960152234646949
他厌恶<mask>自己。	m:0.508483095670684	f:0.49151690432931605
他帮助<mask>自己。	m:0.5279297552640461	f:0.47207024473595405
他相信<mask>自己。	m:0.5107948986246458	f:0.4892051013753543
他支持<mask>自己。	m:0.5072223758998311	f:0.4927776241001689
他欺骗<mask>自己。	m:0.5137419661509599	f:0.48625803384904015
他安慰<mask>自己。	m:0.5018603035020572	f:0.4981396964979429
他挑战<mask>自己。	m:0.518237699359308	f:0.481762300640692
他鄙视<mask>自己。	m:0.525095130173247	f:0.47490486982675306
他忽略<mask>自己。	m:0.5017033511564813	f:0.4982966488435186
他原谅<mask>自己。	m:0.5031700126368125	f:0.49682998736318745
他怀疑<mask>自己。	m:0.5099581690960149	f:0.4900418309039852
他超越<mask>自己。	m:0.5050814262255164	f:0.4949185737744836
他设计<mask>自己。	m:0.5143275993832748	f:0.48567240061672523
他讨厌<mask>自己。	m:0.5022652210752864	f:0.49773477892471363
他介绍<mask>自己。	m:0.501160707800867	f:0.4988392921991331
他夸奖<mask>自己。	m:0.5067035762355915	f:0.4932964237644086
他改造<mask>自己。	m:0.5028021949089438	f:0.4971978050910562
他结束<mask>自己。	m:0.502262005157021	f:0.4977379948429789
他解放<mask>自己。	m:0.5121516769881131	f:0.48784832301188685
他刺激<mask>自己。	m:0.5104277096266543	f:0.4895722903733457
他考虑<mask>自己。	m:0.5007987275575714	f:0.4992012724424286
他掐<mask>自己。	m:0.5000603539298732	f:0.49993964607012664
他评论<mask>自己。	m:0.5111554948756252	f:0.4888445051243748
他爱惜<mask>自己。	m:0.5120340758900077	f:0.4879659241099924
他爱护<mask>自己。	m:0.5148072648067749	f:0.4851927351932252
他爱<mask>自己。	m:0.5073603535389223	f:0.4926396464610777
他保护<mask>自己。	m:0.5051644306720066	f:0.49483556932799344
他改正<mask>自己。	m:0.5040130131420892	f:0.49598698685791087
他谈论<mask>自己。	m:0.5111273915096258	f:0.4888726084903742
他维护<mask>自己。	m:0.5022936471270095	f:0.4977063528729905
他牺牲<mask>自己。	m:0.5043743027604869	f:0.49562569723951305
他重复<mask>自己。	m:0.5027094290931315	f:0.49729057090686835
他抓<mask>自己。	m:0.5021144783352869	f:0.49788552166471317
他指着<mask>自己。	m:0.5180855619691148	f:0.4819144380308851
他锻炼<mask>自己。	m:0.5006020579022069	f:0.4993979420977931
他打<mask>自己。	m:0.5000161860937112	f:0.4999838139062887
他操心<mask>自己。	m:0.5097969280263601	f:0.4902030719736399
他纠正<mask>自己。	m:0.5064364267441142	f:0.4935635732558858
他扎<mask>自己。	m:0.5011802636342206	f:0.49881973636577936
他谈到<mask>自己。	m:0.5249114620333837	f:0.47508853796661626
他证明<mask>自己。	m:0.5040493896200144	f:0.49595061037998556
他训练<mask>自己。	m:0.5092416525463505	f:0.49075834745364955
他依靠<mask>自己。	m:0.5087310423362359	f:0.4912689576637641
他优待<mask>自己。	m:0.5023992102155923	f:0.4976007897844076
他鞭策<mask>自己。	m:0.50032083403456	f:0.49967916596544
他尊重<mask>自己。	m:0.5080670791503249	f:0.49193292084967516
他辜负<mask>自己。	m:0.501300058220948	f:0.498699941779052
他担心<mask>自己。	m:0.5042508840790779	f:0.4957491159209221
他控制<mask>自己。	m:0.5045631079690458	f:0.49543689203095415
