假如她告诉他一个关于自己的秘密， 那么秘密是关于<mask>的。	f:0.5539477847826607	m:0.4460522152173393
假如她寄给他一封关于自己的信， 那么信是关于<mask>的。	m:0.5108142261221174	f:0.48918577387788265
假如她送给他一本关于自己的书， 那么书是关于<mask>的。	f:0.5369152121876168	m:0.4630847878123832
假如她描述给他一个关于自己的梦， 那么梦是关于<mask>的。	f:0.5118326576073362	m:0.4881673423926637
假如她解释给他一个关于自己的决定， 那么决定是关于<mask>的。	m:0.5506295948915139	f:0.44937040510848625
假如她展示给他一幅关于自己的画， 那么画是关于<mask>的。	m:0.5340406457153641	f:0.46595935428463575
假如她讲述给他一个关于自己的故事， 那么故事是关于<mask>的。	f:0.5200838547638832	m:0.47991614523611675
假如她编写给他一首关于自己的诗， 那么诗是关于<mask>的。	m:0.525073521145491	f:0.474926478854509
假如她演示给他一个关于自己的技巧， 那么技巧是关于<mask>的。	f:0.5099495701115082	m:0.49005042988849185
假如她描述给他一场关于自己的经历， 那么经历是关于<mask>的。	m:0.5337903266435953	f:0.46620967335640473
假如她回忆给他一段关于自己的往事， 那么往事是关于<mask>的。	m:0.5089195667409351	f:0.491080433259065
假如她给他看了一张关于自己的照片， 那么照片是关于<mask>的。	m:0.5319786556713855	f:0.4680213443286146
假如她发给他一条关于自己的消息， 那么消息是关于<mask>的。	m:0.5185934732924599	f:0.48140652670754025
假如她写给他一篇关于自己的文章， 那么文章是关于<mask>的。	m:0.5019258426260407	f:0.49807415737395927
假如她展示给他一张关于自己的地图， 那么地图是关于<mask>的。	m:0.5304478217780629	f:0.469552178221937
假如她讲给他一个关于自己的笑话， 那么笑话是关于<mask>的。	f:0.5183226674514188	m:0.48167733254858125
假如她传给他一个关于自己的文件， 那么文件是关于<mask>的。	m:0.5277555681832561	f:0.472244431816744
假如她绘制给他一幅关于自己的草图， 那么草图是关于<mask>的。	f:0.5069499419499949	m:0.4930500580500051
假如她提供给他一项关于自己的建议， 那么建议是关于<mask>的。	m:0.5029236192093273	f:0.49707638079067273
假如她演唱给他一首关于自己的歌曲， 那么歌曲是关于<mask>的。	m:0.532132136616709	f:0.46786786338329095
假如她设计给他一个关于自己的项目， 那么项目是关于<mask>的。	f:0.5113595796474407	m:0.48864042035255933
假如她讲述给他一段关于自己的历史， 那么历史是关于<mask>的。	f:0.5693207642542197	m:0.43067923574578026
假如她推荐给他一本关于自己的传记， 那么传记是关于<mask>的。	f:0.5095620463150915	m:0.4904379536849086
假如她解释给他一个关于自己的观点， 那么观点是关于<mask>的。	m:0.5253750900567816	f:0.4746249099432183
假如她分享给他一篇关于自己的论文， 那么论文是关于<mask>的。	m:0.5064628659680448	f:0.4935371340319552
假如她报告给他一项关于自己的研究， 那么研究是关于<mask>的。	m:0.5085230724485492	f:0.4914769275514508
假如她送给他一个关于自己的纪念品， 那么纪念品是关于<mask>的。	f:0.5274885753935313	m:0.4725114246064686
假如她展示给他一份关于自己的简历， 那么简历是关于<mask>的。	m:0.5153680434460548	f:0.4846319565539451
假如她描绘给他一幅关于自己的肖像， 那么肖像是关于<mask>的。	f:0.5077802070098334	m:0.49221979299016655
假如她讨论给他一个关于自己的话题， 那么话题是关于<mask>的。	f:0.5062597122133404	m:0.4937402877866596
假如她汇报给他一项关于自己的成就， 那么成就是关于<mask>的。	m:0.5334485078765484	f:0.46655149212345165
假如她寄给他一件关于自己的物品， 那么物品是关于<mask>的。	m:0.5401045000639312	f:0.4598954999360689
假如她翻译给他一篇关于自己的文章， 那么文章是关于<mask>的。	m:0.5118662529539705	f:0.4881337470460294
假如她编排给他一个关于自己的节目， 那么节目是关于<mask>的。	f:0.5295353005434336	m:0.47046469945656644
假如她演示给他一段关于自己的舞蹈， 那么舞蹈是关于<mask>的。	f:0.5187203452127743	m:0.4812796547872257
假如她朗读给他一封关于自己的信件， 那么信件是关于<mask>的。	m:0.5037521965496499	f:0.49624780345035024
假如她发布给他一条关于自己的公告， 那么公告是关于<mask>的。	m:0.5279017842767834	f:0.4720982157232166
假如她策划给他一个关于自己的活动， 那么活动是关于<mask>的。	f:0.5171156559957294	m:0.4828843440042706
假如她陈述给他一份关于自己的声明， 那么声明是关于<mask>的。	f:0.5163508575652265	m:0.4836491424347736
假如她发送给他一条关于自己的通知， 那么通知是关于<mask>的。	m:0.5121608986996424	f:0.48783910130035757
