假如她说这本书伤害了自己,那么这本书伤害了<mask>。	f:0.431167136683173	m:0.2849362500700288	t:0.28389661324679827
假如他说这本书改变了自己,那么这本书改变了<mask>。	m:0.36424935346649195	t:0.31814865879609355	f:0.3176019877374145
假如他说这本书影响了自己,那么这本书影响了<mask>。	m:0.3625393370656151	t:0.318819477121368	f:0.31864118581301704
假如他说这本书吸引了自己,那么这本书吸引了<mask>。	m:0.42082716446354423	f:0.2897332673666766	t:0.2894395681697792
假如她说这本书启发了自己,那么这本书启发了<mask>。	f:0.4167172540473257	m:0.29259753320683435	t:0.2906852127458399
假如他说这本书激励了自己,那么这本书激励了<mask>。	m:0.35659277887503504	t:0.3217435402390903	f:0.32166368088587466
假如她说这本书刺激了自己,那么这本书刺激了<mask>。	f:0.4356062591814091	m:0.28289446667207135	t:0.2814992741465195
假如他说这本书困扰了自己,那么这本书困扰了<mask>。	m:0.3550542252707566	t:0.3224853509803048	f:0.32246042374893863
假如他说这本书鼓舞了自己,那么这本书鼓舞了<mask>。	m:0.3609665596053057	t:0.319550196802888	f:0.31948324359180624
假如他说这本书鞭策了自己,那么这本书鞭策了<mask>。	m:0.34803179575243337	f:0.3260869312678137	t:0.32588127297975295
假如他说这本书感动了自己,那么这本书感动了<mask>。	m:0.360473905178134	f:0.3199873952831677	t:0.31953869953869835
假如他说这本书迷惑了自己,那么这本书迷惑了<mask>。	m:0.3624132386028592	t:0.3191759191552722	f:0.3184108422418685
假如她说这本书提醒了自己,那么这本书提醒了<mask>。	f:0.40695275047947777	m:0.29692529384953836	t:0.2961219556709839
假如他说这封信伤害了自己,那么这封信伤害了<mask>。	m:0.3501058355601125	f:0.32528072748336756	t:0.3246134369565201
假如她说这封信改变了自己,那么这封信改变了<mask>。	f:0.40986816182910657	m:0.29583603308971185	t:0.2942958050811816
假如她说这封信影响了自己,那么这封信影响了<mask>。	f:0.3947278930102417	m:0.30412912519451496	t:0.3011429817952433
假如她说这封信吸引了自己,那么这封信吸引了<mask>。	f:0.39068658409804713	m:0.3102419034583907	t:0.29907151244356217
假如她说这封信启发了自己,那么这封信启发了<mask>。	f:0.4028727980355017	m:0.3000091761524616	t:0.29711802581203667
假如他说这封信激励了自己,那么这封信激励了<mask>。	m:0.3453267889742329	f:0.3276959791891455	t:0.32697723183662164
假如他说这封信刺激了自己,那么这封信刺激了<mask>。	m:0.34928230527218973	f:0.32615077049213104	t:0.32456692423567934
假如她说这封信困扰了自己,那么这封信困扰了<mask>。	f:0.40196869604973534	m:0.3001796038951098	t:0.2978517000551548
假如她说这封信鼓舞了自己,那么这封信鼓舞了<mask>。	f:0.40631828971566775	m:0.29842906343075226	t:0.29525264685358
假如他说这封信鞭策了自己,那么这封信鞭策了<mask>。	m:0.35565644621139486	f:0.32258373594451534	t:0.3217598178440897
假如她说这封信感动了自己,那么这封信感动了<mask>。	f:0.3856166717246358	m:0.30901452355311715	t:0.305368804722247
假如她说这封信刺激了自己,那么这封信刺激了<mask>。	f:0.39927432993902606	m:0.30190859719562907	t:0.2988170728653448
假如她说这封信迷惑了自己,那么这封信迷惑了<mask>。	f:0.39556443179385964	m:0.30373101085597204	t:0.3007045573501684
假如她说这封信提醒了自己,那么这封信提醒了<mask>。	f:0.38892141097757726	m:0.3069329370097384	t:0.30414565201268434
假如她说这封信激励了自己,那么这封信激励了<mask>。	f:0.39807117918716933	m:0.30256915024970976	t:0.29935967056312096
假如他说这个举动伤害了自己,那么这个举动伤害了<mask>。	m:0.34480294879036005	f:0.3299322681210948	t:0.3252647830885452
假如她说这个举动改变了自己,那么这个举动改变了<mask>。	f:0.3785837529136151	m:0.3123533359068904	t:0.3090629111794946
假如她说这个举动影响了自己,那么这个举动影响了<mask>。	f:0.36304431639337537	m:0.3217372973704199	t:0.3152183862362048
假如他说这个举动吸引了自己,那么这个举动吸引了<mask>。	m:0.3617002596632967	f:0.32033093880216945	t:0.31796880153453383
假如她说这个举动启发了自己,那么这个举动启发了<mask>。	f:0.3703877961955584	m:0.31735698591766676	t:0.3122552178867749
假如他说这个举动激励了自己,那么这个举动激励了<mask>。	m:0.3384501127936939	f:0.331670801647768	t:0.329879085558538
假如他说这个举动刺激了自己,那么这个举动刺激了<mask>。	m:0.34542200180440713	f:0.3311104618551783	t:0.32346753634041453
假如她说这个举动困扰了自己,那么这个举动困扰了<mask>。	f:0.38174461020444106	m:0.31132729453452257	t:0.3069280952610363
假如她说这个举动鼓舞了自己,那么这个举动鼓舞了<mask>。	f:0.3705673262354217	m:0.3168961191160156	t:0.31253655464856256
假如他说这个举动鞭策了自己,那么这个举动鞭策了<mask>。	m:0.34343063207526625	f:0.32884829980123487	t:0.3277210681234988
假如她说这个举动感动了自己,那么这个举动感动了<mask>。	f:0.3595603682713796	m:0.3228426727328084	t:0.317596958995812
假如他说这个举动迷惑了自己,那么这个举动迷惑了<mask>。	m:0.3451361058070409	f:0.32849467617219597	t:0.3263692180207632
假如他说这个举动提醒了自己,那么这个举动提醒了<mask>。	m:0.34846318763261586	f:0.32677820638236943	t:0.3247586059850147
假如她说这个举动激励了自己,那么这个举动激励了<mask>。	f:0.36364754794528714	m:0.320273301985763	t:0.31607915006894993
