如果罗伯特-乔丹明白她信任自己，那么她信任<mask>。	m:0.5594179584907251	f:0.44058204150927494
如果她明白是建军在暗中保护着自己，那么建军在保护<mask>。	f:0.5788071548608391	m:0.42119284513916083
如果他知道他们在说自己，那么他们在说<mask>。	m:0.5012378264832678	f:0.4987621735167323
如果婆一见她就说他骗了自己，那么他骗了<mask>。	f:0.5280585717536335	m:0.47194142824636653
如果她明白他还在跟着自己，那么他跟着<mask>。	m:0.5066499331823664	f:0.4933500668176336
如果她发现他还在恶狠狠地看着自己，那么他在看着<mask>。	f:0.6514746331148791	m:0.3485253668851209
如果姑娘却用如此凄楚的眼神看着他，仿佛恳求他来解救自己，那么他被恳求解救<mask>。	m:0.5001769317858634	f:0.4998230682141366
如果德克尔仍在抚摸着贝丝的秀发，他真不愿意警察这个时候来打扰自己，那么警察打扰<mask>。	m:0.5479484178561588	f:0.45205158214384117
如果建军本来在看电视，突然发觉母亲在注视着自己，那么母亲在注视着<mask>。	m:0.5936593560452812	f:0.4063406439547188
如果校长忽然不说话了，建军知道她正打量着自己，那么她打量<mask>。	m:0.5236263123595605	f:0.4763736876404395
如果他抬眼一瞥，看到她在看着自己，那么她在看着<mask>。	m:0.6477952870134338	f:0.3522047129865662
如果我咕哝着，担心他弄醒自己，那么我担心他弄醒<mask>。	m:0.5042022997538116	f:0.4957977002461884
如果铂内尔发现那双灰眼睛正以奇异的目光注视着自己，那么眼睛正注视着<mask>。	m:0.574627659258276	f:0.425372340741724
如果她感觉到男出纳的黑眼睛一动不动地盯着自己，那么眼睛正盯着<mask>。	f:0.6533523234817428	m:0.3466476765182572
如果他看到丽娟怀疑地看着自己，那么丽娟看着<mask>。	m:0.6473789511515636	f:0.3526210488484364
如果她不喜欢建军继续抚摸自己，那么建军抚摸<mask>。	f:0.6043385409677707	m:0.39566145903222927
如果我甚至也希望丽娟能够这样来迎接自己，那么丽娟可以这样来迎接<mask>。	f:0.5003848822492875	m:0.49961511775071255
如果她一抬头，看到建军正在端详着自己，那么建军在端详<mask>。	f:0.6231383854981668	m:0.3768616145018332
如果她觉得对面的日本兵非常不友好地看着自己，那么日本兵在看着<mask>。	f:0.6264751720376217	m:0.3735248279623783
如果她相信一营的士兵们也都会这样嘲笑自己，那么士兵们嘲笑<mask>。	f:0.5761604788589287	m:0.4238395211410712
如果她害怕他辞掉自己，那么他可能辞掉<mask>。	f:0.6068753091889095	m:0.39312469081109047
如果丽娟知道建军是有心救济自己，那么建军有心救济<mask>。	f:0.5779319405806406	m:0.4220680594193595
如果他感到她在注意自己，那么她在注意<mask>。	f:0.5037356888513063	m:0.49626431114869374
如果奥多太太还只道他看上了自己，那么他看上了<mask>。	f:0.5508641286116002	m:0.4491358713883997
如果他看到她正微笑地注视着自己，那么她正注视着<mask>。	m:0.6655646059424606	f:0.33443539405753936
如果建军忽然发觉女儿长得并不像自己，那么女儿不像<mask>。	m:0.535511358262153	f:0.464488641737847
如果她看到知县大老爷也正在注目自己，那么知县大老爷正注目<mask>。	f:0.6086711742922063	m:0.3913288257077937
如果突然他发现丽娟在看自己，那么丽娟在看<mask>。	m:0.6221901565349934	f:0.3778098434650067
如果他只见丽娟正盯住自己，那么丽娟盯着<mask>。	m:0.6408968357765026	f:0.35910316422349753
如果可他总觉得王太太在扭头望着自己，那么王太太望着<mask>。	m:0.6285887798778347	f:0.37141122012216543
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着<mask>。	m:0.5716497025566799	f:0.42835029744332015
如果建军则害怕丽娟告发自己，那么丽娟告发<mask>。	m:0.5214378587950789	f:0.4785621412049211
如果她希望建军能尽力挽留自己，那么建军挽留<mask>。	f:0.5659769742668282	m:0.43402302573317186
如果他感到她又回避自己，那么她回避<mask>。	m:0.5704390733842202	f:0.42956092661577977
如果他发现丽娟也正在默默地注视着自己，那么丽娟在注视<mask>。	m:0.6261621253740426	f:0.3738378746259575
