如果他推荐她的丈夫是关于自己的， 那么丈夫是关于<mask>的。	f:0.5259290916700347	m:0.47407090832996535
如果他推荐她的胳膊是关于自己的， 那么胳膊是关于<mask>的。	f:0.5057874773162192	m:0.49421252268378074
如果他推荐她的头发是关于自己的， 那么头发是关于<mask>的。	f:0.5009507488176475	m:0.49904925118235255
如果他推荐她的身体是关于自己的， 那么身体是关于<mask>的。	f:0.5119171609670449	m:0.4880828390329551
如果他推荐她的美貌是关于自己的， 那么美貌是关于<mask>的。	f:0.5141748399853362	m:0.48582516001466386
如果他推荐她的裙子是关于自己的， 那么裙子是关于<mask>的。	f:0.5044390678056265	m:0.4955609321943734
如果他推荐她的胸脯是关于自己的， 那么胸脯是关于<mask>的。	f:0.5092007915232893	m:0.4907992084767107
如果他推荐她的面颊是关于自己的， 那么面颊是关于<mask>的。	f:0.5006172542118554	m:0.4993827457881447
如果他推荐她的笑容是关于自己的， 那么笑容是关于<mask>的。	f:0.5129067465892073	m:0.4870932534107926
如果他推荐她的身材是关于自己的， 那么身材是关于<mask>的。	f:0.5274451061704416	m:0.4725548938295584
如果他推荐她的肉体是关于自己的， 那么肉体是关于<mask>的。	f:0.5011505669163557	m:0.4988494330836442
如果他推荐她的容貌是关于自己的， 那么容貌是关于<mask>的。	f:0.5115571462555315	m:0.48844285374446844
如果他推荐她的处境是关于自己的， 那么处境是关于<mask>的。	m:0.5049852715891279	f:0.4950147284108721
如果他推荐她的脸庞是关于自己的， 那么脸庞是关于<mask>的。	f:0.5074495021805999	m:0.49255049781940013
如果他推荐她的笑声是关于自己的， 那么笑声是关于<mask>的。	f:0.5066905461112008	m:0.49330945388879915
如果他推荐她的举止是关于自己的， 那么举止是关于<mask>的。	f:0.5002260748142914	m:0.49977392518570857
如果他推荐她的形象是关于自己的， 那么形象是关于<mask>的。	f:0.5129850229637748	m:0.48701497703622526
如果他推荐她的脸蛋是关于自己的， 那么脸蛋是关于<mask>的。	f:0.5085361640515863	m:0.4914638359484137
如果他推荐她的愿望是关于自己的， 那么愿望是关于<mask>的。	f:0.5046498887777023	m:0.4953501112222977
如果他推荐她的照片是关于自己的， 那么照片是关于<mask>的。	f:0.5108423630756058	m:0.4891576369243941
如果他推荐她的关系是关于自己的， 那么关系是关于<mask>的。	f:0.5098245703261811	m:0.4901754296738189
如果他推荐她的姐姐是关于自己的， 那么姐姐是关于<mask>的。	m:0.5013309033819953	f:0.4986690966180048
如果他推荐她的爱人是关于自己的， 那么爱人是关于<mask>的。	m:0.5065032189778534	f:0.49349678102214645
如果他推荐她的欢心是关于自己的， 那么欢心是关于<mask>的。	f:0.5040545152246201	m:0.4959454847753799
如果他推荐她的前额是关于自己的， 那么前额是关于<mask>的。	f:0.5040440012823654	m:0.49595599871763457
如果他描述她的丈夫是关于自己的， 那么丈夫是关于<mask>的。	f:0.514357634467293	m:0.48564236553270707
如果他描述她的胳膊是关于自己的， 那么胳膊是关于<mask>的。	f:0.5065904633548031	m:0.49340953664519693
如果他描述她的头发是关于自己的， 那么头发是关于<mask>的。	f:0.5020884861780209	m:0.49791151382197907
如果他描述她的身体是关于自己的， 那么身体是关于<mask>的。	f:0.5121107456049118	m:0.4878892543950882
如果他描述她的美貌是关于自己的， 那么美貌是关于<mask>的。	f:0.5270085339504056	m:0.4729914660495944
如果他描述她的裙子是关于自己的， 那么裙子是关于<mask>的。	f:0.503877887976285	m:0.496122112023715
如果他描述她的胸脯是关于自己的， 那么胸脯是关于<mask>的。	f:0.50927853691937	m:0.4907214630806301
如果他描述她的面颊是关于自己的， 那么面颊是关于<mask>的。	f:0.5052654454365495	m:0.4947345545634505
如果他描述她的笑容是关于自己的， 那么笑容是关于<mask>的。	f:0.5087645574750268	m:0.49123544252497314
如果他描述她的身材是关于自己的， 那么身材是关于<mask>的。	f:0.5171699878107859	m:0.48283001218921406
如果他描述她的肉体是关于自己的， 那么肉体是关于<mask>的。	f:0.5097614359829086	m:0.4902385640170915
如果他描述她的容貌是关于自己的， 那么容貌是关于<mask>的。	f:0.5198028289593799	m:0.48019717104062015
如果他描述她的处境是关于自己的， 那么处境是关于<mask>的。	f:0.5012608460433469	m:0.49873915395665314
如果他描述她的脸庞是关于自己的， 那么脸庞是关于<mask>的。	f:0.5123763270454995	m:0.48762367295450043
如果他描述她的笑声是关于自己的， 那么笑声是关于<mask>的。	f:0.510866353809589	m:0.489133646190411
如果他描述她的举止是关于自己的， 那么举止是关于<mask>的。	f:0.506909178341529	m:0.49309082165847096
如果他描述她的形象是关于自己的， 那么形象是关于<mask>的。	f:0.5109390936841339	m:0.489060906315866
如果他描述她的脸蛋是关于自己的， 那么脸蛋是关于<mask>的。	f:0.5103672205934968	m:0.4896327794065031
如果他描述她的愿望是关于自己的， 那么愿望是关于<mask>的。	m:0.5012508716414992	f:0.49874912835850077
如果他描述她的照片是关于自己的， 那么照片是关于<mask>的。	f:0.5114385901511497	m:0.48856140984885044
如果他描述她的关系是关于自己的， 那么关系是关于<mask>的。	m:0.5006820909173002	f:0.49931790908269974
如果他描述她的姐姐是关于自己的， 那么姐姐是关于<mask>的。	m:0.5041804745789084	f:0.4958195254210917
如果他描述她的爱人是关于自己的， 那么爱人是关于<mask>的。	m:0.5119543274860912	f:0.48804567251390885
如果他描述她的欢心是关于自己的， 那么欢心是关于<mask>的。	f:0.50593766781962	m:0.49406233218038
如果他描述她的前额是关于自己的， 那么前额是关于<mask>的。	f:0.5057674463111413	m:0.49423255368885866
如果他介绍她的丈夫是关于自己的， 那么丈夫是关于<mask>的。	f:0.5310751783205911	m:0.46892482167940885
如果他介绍她的胳膊是关于自己的， 那么胳膊是关于<mask>的。	f:0.511083547158123	m:0.488916452841877
如果他介绍她的头发是关于自己的， 那么头发是关于<mask>的。	f:0.5001948587497766	m:0.4998051412502234
如果他介绍她的身体是关于自己的， 那么身体是关于<mask>的。	f:0.5132165676329312	m:0.48678343236706884
如果他介绍她的美貌是关于自己的， 那么美貌是关于<mask>的。	f:0.5235818161790217	m:0.4764181838209784
如果他介绍她的裙子是关于自己的， 那么裙子是关于<mask>的。	f:0.5047152395384732	m:0.4952847604615268
如果他介绍她的胸脯是关于自己的， 那么胸脯是关于<mask>的。	f:0.5162884007630968	m:0.4837115992369033
如果他介绍她的面颊是关于自己的， 那么面颊是关于<mask>的。	f:0.5050555476926138	m:0.49494445230738615
如果他介绍她的笑容是关于自己的， 那么笑容是关于<mask>的。	f:0.5163125763897489	m:0.483687423610251
如果他介绍她的身材是关于自己的， 那么身材是关于<mask>的。	f:0.5217544675749993	m:0.4782455324250006
