他知道她经常批评<mask>自己。	f:0.5357461927638044	m:0.4642538072361957
他知道她把<mask>自己的书送给了朋友。	f:0.5242626080770958	m:0.4757373919229042
他担心她会批评<mask>自己。	f:0.5290673710055382	m:0.47093262899446187
他知道她害了<mask>自己。	f:0.5188210987764211	m:0.4811789012235789
他觉得她对<mask>自己没信心。	f:0.526946997432723	m:0.47305300256727706
他认为她的骄傲害了<mask>自己。	f:0.5123807369473178	m:0.4876192630526823
他知道她告诉过他有关<mask>自己的工作。	f:0.6022312264499996	m:0.3977687735500005
他说她跟他谈过<mask>自己的事。	m:0.5033978892801118	f:0.4966021107198882
他认为她从他那里听说了<mask>自己的分数。	f:0.5175320220429528	m:0.48246797795704716
他知道她在他家洗<mask>自己的照片。	f:0.5006039755726343	m:0.49939602442736575
他不喜欢她管<mask>自己的事。	m:0.5192982877162072	f:0.4807017122837929
他知道她的报告害了<mask>自己。	f:0.5490576331902899	m:0.4509423668097101
他的话暗示她的信害了<mask>自己。	f:0.6379764980101328	m:0.36202350198986727
他认为她恨<mask>自己。	m:0.521387921531822	f:0.478612078468178
他说她喜欢<mask>自己。	m:0.522564887694547	f:0.47743511230545305
他告诉别人她觉得<mask>自己明年可以考进好大学。	m:0.5006050331824593	f:0.4993949668175407
他说她批评了<mask>自己。	m:0.5193609832936091	f:0.4806390167063908
他觉得她在批评<mask>自己。	f:0.5199230956561521	m:0.48007690434384787
他认为她知道<mask>自己的朋友是一个好人。	m:0.5000793682404647	f:0.4999206317595353
他觉得她不喜欢<mask>自己。	f:0.5106590974363158	m:0.4893409025636841
