不管他是否原谅<mask>自己.	m:0.5376028402924642	f:0.4623971597075359
赫尔曼问<mask>自己。	m:0.5150170540779714	f:0.48498294592202856
原始的欲又来了，一种百战不死的老兵；他唤醒<mask>自己。	m:0.5015047014362617	f:0.49849529856373825
他没有看见<mask>自己。	m:0.5220556420387443	f:0.4779443579612557
王德好象问<mask>自己。	m:0.5033857161154879	f:0.49661428388451206
他嘲笑<mask>自己。	m:0.5120237196432309	f:0.4879762803567691
不过这事全都怪<mask>自己。	m:0.5066218881423763	f:0.49337811185762376
他只爱<mask>自己。”	m:0.5681269776930219	f:0.43187302230697816
他问<mask>自己。	m:0.5083780183496253	f:0.4916219816503748
雅夏问<mask>自己。	f:0.5008290076482381	m:0.4991709923517619
斯捷潘·阿尔卡季奇想到<mask>自己。	m:0.5047863730055675	f:0.4952136269944324
倘使有这种男人，也是他在欺骗<mask>自己。	m:0.5104138941484826	f:0.4895861058515174
这要看<mask>自己。	m:0.5219033249573366	f:0.47809667504266334
他不爱<mask>自己。	m:0.5101787429943605	f:0.48982125700563944
他回答<mask>自己。	m:0.5022087359202351	f:0.49779126407976493
瑞宣认识<mask>自己。	m:0.5016834988902009	f:0.49831650110979897
他恨<mask>自己，他轻视他自己。	m:0.6841740505896989	f:0.315825949410301
你不信问<mask>自己。	m:0.5023611844199252	f:0.4976388155800747
以同样的方式，拥有认<mask>自我的知识的人会认识他自己。	m:0.5000459658548222	f:0.49995403414517786
每个人只能代表<mask>自己。	m:0.5113546515368037	f:0.48864534846319624
林乃久问<mask>自己。	m:0.5049371972605544	f:0.49506280273944553
别这么心慌，雅夏尔，他劝<mask>自己。	m:0.5001518037996644	f:0.49984819620033566
是相信我胜过相信<mask>自己。	m:0.5159402732501751	f:0.48405972674982484
接下来，只等着大下巴的人介绍<mask>自己了。	m:0.5150566650878529	f:0.4849433349121471
王子在打扮<mask>自己了。	m:0.5011381585050324	f:0.49886184149496765
这时候他说到<mask>自己了。	m:0.5497627011076656	f:0.4502372988923344
既然家有信来，还是要好好替他打算一下，把利害说给他，取决当然在于<mask>自己了。	m:0.5848887561031775	f:0.4151112438968226
杰夫劝<mask>自己保管，或者早点回家，以免那些不怀好意的庄稼汉钻进来骗了去。	f:0.5364829055431102	m:0.4635170944568899
宰相您问<mask>自己去，听他回答您什么吧。	m:0.503237016413481	f:0.49676298358651916
接下来的六个星期都属于<mask>自己可是女主人说：“噢，别急！	m:0.5030852388171	f:0.49691476118290007
他的空虚令<mask>自己吃惊。	m:0.5383343553140117	f:0.4616656446859883
“假如他说到<mask>自己呢？”	m:0.5698255086415016	f:0.4301744913584984
“我打算让<mask>自己权衡一下利弊，一方面是偷窃的行为给他带来的一点点小利益，另一方	m:0.5072939351108812	f:0.49270606488911883
王琦瑶让<mask>自己泡茶，问他这些日子做什么，打不打桥牌，有没有分配工作的消息。	m:0.5031802732950433	f:0.49681972670495667
使善的事物成为<mask>自己的。	m:0.5016218212132207	f:0.4983781787867792
有时候他会好气<mask>自己，用根棍于敲他自己的脚，或是拿他的头去撞石头什么的。	m:0.5909565463699551	f:0.40904345363004485
“没有一分钟留给<mask>自己的，”魏德尔太太叹道，“如果你知道他扛在肩膀上的东西有多少……	m:0.5683152251642235	f:0.4316847748357765
通过使美的东西成为<mask>自己的，他将得到什么呢？	m:0.676478332546702	f:0.32352166745329797
不过，这三天假日是属于<mask>自己的，他要干自己想干的事。	m:0.5131106280097569	f:0.48688937199024307
让他捡，如果他拿<mask>自己的，而且心满意足，你就把另外两把全赠给他。	m:0.5004048089274421	f:0.4995951910725579
他应该写<mask>自己而不是克里斯塔尔……我辜负了他。	m:0.5389711454712327	f:0.46102885452876735
去年5月8日的下午，蒙蒂教授曾记载<mask>自己要在多尼咖啡店与罗伯特?莱布朗会面。	m:0.5000160116614952	f:0.4999839883385048
你让<mask>自己说，他会帮着我们说话；要是当面和他说破，他反而不敢帮我们——因	m:0.5189083533888896	f:0.48109164661111037
有时他会把玩<mask>自己送给我作礼物的蒙古墨水瓶。	m:0.5044328328589541	f:0.4955671671410458
这让<mask>自己都觉得不好意思了。	f:0.506045501349263	m:0.49395449865073704
他恨<mask>自己！	m:0.5865708007040803	f:0.41342919929591976
他只想到<mask>自己！	m:0.5261538306348769	f:0.47384616936512314
他问<mask>自己，“怎么！	m:0.5096992667463668	f:0.4903007332536332
“由于贫困，”陀思妥耶夫斯基说<mask>自己，“我被迫为金钱而匆忙写作，所以接二连三地失败。”	m:0.5256620588009511	f:0.4743379411990489
他问<mask>自己，“说到头来，这是我的，我的……	m:0.5381264962675342	f:0.4618735037324657
有保留在他印象中的完全，对于美人迟<mask>自不免兴一种感伤，但他若想想他自己，也到了一礼拜不修脸就不成样子的人，他就觉得未来生活渺茫，把自	m:0.5001757676800836	f:0.49982423231991635
他恨<mask>自己，什么本事也没有，连点力气都没有，到底是干什么的呢？	m:0.5030020507688219	f:0.49699794923117807
振保突然提醒<mask>自己，他正在挖空心思想出各种的理由，证明他为什么应当同这女人睡觉。	m:0.5062176655880466	f:0.4937823344119533
同时，他更相信<mask>自己，他的才识，他的胆气，他的体力以至容貌，毕竟胜于常人，好运	m:0.6062507049915955	f:0.39374929500840455
“他到处炫示<mask>自己，他的时髦衣服，他的四轮敞篷马车，通过这些，去教导人们懂得什么	m:0.6016268734153013	f:0.3983731265846987
陪审员们以及仅仅从民谣和历史小说里吸收历史知识的一般人，他想起<mask>自己，他自己也不是从布道词和法律里，而是从寓言、小说、诗歌里汲取生	m:0.5182763816694173	f:0.48172361833058275
他问<mask>自己，但是他没法回答。	m:0.5826485891601796	f:0.41735141083982047
这也怪<mask>自己，因为他拖拖拉拉，没有给安娜上紧宗教信仰这根弦。	m:0.5474409276738385	f:0.45255907232616144
这要怨<mask>自己，小狮子不平地说，我们的满腹苦水对谁诉?办理结婚登记手续	m:0.5004509197256889	f:0.4995490802743111
我父亲不爱谈<mask>自己，我们也不问。	m:0.5454310176172349	f:0.4545689823827651
听到大师兄这么贬低<mask>自己，楚玄玄自然大感不满。	m:0.5122333806859766	f:0.4877666193140234
他问<mask>自己，脑子里一片混乱。	m:0.5094371165529173	f:0.49056288344708276
阿希礼用语言来禁闭<mask>自己，这禁闭比任何监狱都牢固。	m:0.5084111680446264	f:0.49158883195537356
克雷默尔立刻述说<mask>自己，述说关于他自己的一切。	m:0.6806962440414169	f:0.31930375595858307
但是，一个作者只能写<mask>自己，难道不是真的吗？	m:0.5716209138544355	f:0.42837908614556447
他说<mask>自己：“我这人我问他一天能卖多少钱。	m:0.505752720592454	f:0.49424727940754604
太对不起他的母亲，也太对不起他的夫人了，可是他尤其对不起<mask>自己；他所失去的这位妻子，她的美貌足以使人间粉黛一齐失色，	m:0.7034853804141175	f:0.29651461958588265
