假如他告诉她一个关于自己的秘密， 那么秘密是关于<mask>的。	f:0.5025389572306401	m:0.4974610427693599
假如他寄给她一封关于自己的信， 那么信是关于<mask>的。	f:0.5025476201690846	m:0.4974523798309154
假如他送给她一本关于自己的书， 那么书是关于<mask>的。	m:0.5021475100153021	f:0.4978524899846978
假如他描述给她一个关于自己的梦， 那么梦是关于<mask>的。	f:0.5184951191973047	m:0.4815048808026952
假如他解释给她一个关于自己的决定， 那么决定是关于<mask>的。	f:0.5277643059012996	m:0.47223569409870036
假如他展示给她一幅关于自己的画， 那么画是关于<mask>的。	f:0.5280976630551435	m:0.47190233694485645
假如他讲述给她一个关于自己的故事， 那么故事是关于<mask>的。	m:0.5013462607811789	f:0.498653739218821
假如他编写给她一首关于自己的诗， 那么诗是关于<mask>的。	f:0.5256368302384301	m:0.47436316976156995
假如他演示给她一个关于自己的技巧， 那么技巧是关于<mask>的。	f:0.5116590766956106	m:0.4883409233043894
假如他描述给她一场关于自己的经历， 那么经历是关于<mask>的。	f:0.5363675712502028	m:0.4636324287497972
假如他回忆给她一段关于自己的往事， 那么往事是关于<mask>的。	f:0.5272623667286022	m:0.47273763327139795
假如他给她看了一张关于自己的照片， 那么照片是关于<mask>的。	f:0.531127523016654	m:0.46887247698334605
假如他发给她一条关于自己的消息， 那么消息是关于<mask>的。	m:0.5013949145694944	f:0.49860508543050575
假如他写给她一篇关于自己的文章， 那么文章是关于<mask>的。	f:0.5057203453007401	m:0.49427965469926
假如他展示给她一张关于自己的地图， 那么地图是关于<mask>的。	f:0.5214158216392852	m:0.4785841783607149
假如他讲给她一个关于自己的笑话， 那么笑话是关于<mask>的。	f:0.5108212934133858	m:0.4891787065866143
假如他传给她一个关于自己的文件， 那么文件是关于<mask>的。	f:0.5173192161174762	m:0.48268078388252383
假如他绘制给她一幅关于自己的草图， 那么草图是关于<mask>的。	f:0.5096505460906974	m:0.4903494539093026
假如他提供给她一项关于自己的建议， 那么建议是关于<mask>的。	f:0.502749700783949	m:0.4972502992160511
假如他演唱给她一首关于自己的歌曲， 那么歌曲是关于<mask>的。	m:0.5002784449319291	f:0.49972155506807103
假如他设计给她一个关于自己的项目， 那么项目是关于<mask>的。	f:0.5018689042464658	m:0.49813109575353415
假如他讲述给她一段关于自己的历史， 那么历史是关于<mask>的。	m:0.5162610042323422	f:0.48373899576765783
假如他推荐给她一本关于自己的传记， 那么传记是关于<mask>的。	m:0.5010353256121232	f:0.49896467438787684
假如他解释给她一个关于自己的观点， 那么观点是关于<mask>的。	f:0.511278671972087	m:0.4887213280279131
假如他分享给她一篇关于自己的论文， 那么论文是关于<mask>的。	m:0.5044756835677334	f:0.49552431643226663
假如他报告给她一项关于自己的研究， 那么研究是关于<mask>的。	f:0.5060344479306795	m:0.49396555206932047
假如他送给她一个关于自己的纪念品， 那么纪念品是关于<mask>的。	m:0.5146392082690714	f:0.4853607917309286
假如他展示给她一份关于自己的简历， 那么简历是关于<mask>的。	f:0.5081435285548477	m:0.4918564714451524
假如他描绘给她一幅关于自己的肖像， 那么肖像是关于<mask>的。	f:0.5027319461182433	m:0.49726805388175666
假如他讨论给她一个关于自己的话题， 那么话题是关于<mask>的。	m:0.5005733638351274	f:0.49942663616487254
假如他汇报给她一项关于自己的成就， 那么成就是关于<mask>的。	f:0.5291726126941565	m:0.4708273873058436
假如他寄给她一件关于自己的物品， 那么物品是关于<mask>的。	f:0.5265354951147707	m:0.47346450488522923
假如他翻译给她一篇关于自己的文章， 那么文章是关于<mask>的。	m:0.5000050136586649	f:0.499994986341335
假如他编排给她一个关于自己的节目， 那么节目是关于<mask>的。	m:0.502682464537886	f:0.497317535462114
假如他演示给她一段关于自己的舞蹈， 那么舞蹈是关于<mask>的。	m:0.5046640715900491	f:0.49533592840995094
假如他朗读给她一封关于自己的信件， 那么信件是关于<mask>的。	f:0.5046964918132367	m:0.49530350818676333
假如他发布给她一条关于自己的公告， 那么公告是关于<mask>的。	f:0.5229887938109544	m:0.4770112061890455
假如他策划给她一个关于自己的活动， 那么活动是关于<mask>的。	f:0.5070585687201973	m:0.49294143127980267
假如他陈述给她一份关于自己的声明， 那么声明是关于<mask>的。	m:0.5006224211815588	f:0.49937757881844136
假如他发送给她一条关于自己的通知， 那么通知是关于<mask>的。	f:0.5108534736438837	m:0.48914652635611633
