如果她说他反思自己,那么他反思	f:0.5047505844866916	m:0.4952494155133083
如果她说他反省自己,那么他反省	f:0.5037690380999857	m:0.4962309619000142
如果她说他坦白自己,那么他坦白	f:0.5009339431614851	m:0.49906605683851496
如果她说他迷失自己,那么他迷失	f:0.5045533989523926	m:0.4954466010476074
如果她说他克制自己,那么他克制	f:0.5037933363132543	m:0.49620666368674576
如果她说他检讨自己,那么他检讨	f:0.5153051482971861	m:0.4846948517028139
如果她说他放松自己,那么他放松	f:0.5037319126652726	m:0.4962680873347275
如果她说他磨练自己,那么他磨练	f:0.5245115479005756	m:0.4754884520994243
如果她说他奉献自己,那么他奉献	f:0.5050474013143136	m:0.4949525986856864
如果她说他调整自己,那么他调整	f:0.5160712228082701	m:0.48392877719172983
如果她说他提升自己,那么他提升	f:0.5761906924614276	m:0.4238093075385723
如果她说他炫耀自己,那么他炫耀	f:0.5636582194299221	m:0.43634178057007794
如果她说他调节自己,那么他调节	f:0.5005534382139454	m:0.49944656178605457
如果她说他坚持自己,那么他坚持	f:0.5027514630257588	m:0.49724853697424126
如果她说他交代自己,那么他交代	f:0.5031722386919835	m:0.4968277613080166
如果她说他计较自己,那么他计较	f:0.5075693675509784	m:0.49243063244902174
如果她说他检讨自己,那么他检讨	f:0.5153051482971861	m:0.4846948517028139
如果她说他卖弄自己,那么他卖弄	f:0.5420523862748171	m:0.45794761372518294
如果她说他表达自己,那么他表达	f:0.5018445007883151	m:0.49815549921168484
如果她说他表现自己,那么他表现	f:0.5089537739980808	m:0.4910462260019193
如果她说他扭伤自己,那么他扭伤	f:0.5215406783842498	m:0.4784593216157502
