如果她知道他经常批评自己,那么道他经常批评	f:0.5085201737052737	m:0.49147982629472625
如果她知道他把自己的书送给了朋友,那么道他把自己的书送给了	f:0.504189544326847	m:0.49581045567315296
如果她担心他会批评自己,那么心他会批评	f:0.5070812176813054	m:0.4929187823186945
如果她知道他害了自己,那么道他害了	f:0.506028273462091	m:0.493971726537909
如果她觉得他对自己没信心,那么得他对自己没	f:0.5025224783073073	m:0.4974775216926926
如果她认为他的骄傲害了自己,那么为他的骄傲害了	f:0.5044720731191957	m:0.4955279268808042
如果她知道他告诉过她有关自己的工作,那么道他告诉过她有关自己的	f:0.5013634282771161	m:0.4986365717228839
如果她说他跟她谈过自己的事,那么他跟她谈过自己	f:0.501886752937367	m:0.4981132470626331
如果她认为他从她那里听说了自己的分数,那么为他从她那里听说了自己的	f:0.5003518154555071	m:0.4996481845444929
如果她知道他在她家洗自己的照片,那么道他在她家洗自己的	f:0.5027822780908947	m:0.4972177219091053
如果她不喜欢他管自己的事,那么喜欢他管自己	f:0.5004302238915073	m:0.49956977610849274
如果她知道他的报告害了自己,那么道他的报告害了	f:0.5343498099617146	m:0.4656501900382855
如果她的话暗示他的信害了自己,那么话暗示他的信害了	f:0.4927855596425272	m:0.5072144403574728
如果她认为他恨自己,那么为他恨	f:0.5062074126111339	m:0.4937925873888661
如果她说他喜欢自己,那么他喜欢	f:0.5061950709350619	m:0.49380492906493806
如果她告诉别人他觉得自己明年可以考进好大学,那么诉别人他觉得自己明年可以考进好	f:0.4998181517665361	m:0.5001818482334639
如果她说他批评了自己,那么他批评了	f:0.5118860249470218	m:0.48811397505297804
如果她觉得他在批评自己,那么得他在批评	f:0.5340978105314382	m:0.4659021894685617
如果她认为他知道自己的朋友是一个好人,那么为他知道自己的朋友是一个	f:0.5006282713333677	m:0.4993717286666323
如果她觉得他不喜欢自己,那么得他不喜欢	f:0.5079080493857705	m:0.4920919506142295
