如果他知道她经常批评自己,那么道她经常批评	f:0.49723282022031756	m:0.5027671797796824
如果他知道她把自己的书送给了朋友,那么道她把自己的书送给了	f:0.4918777570102324	m:0.5081222429897676
如果他担心她会批评自己,那么心她会批评	f:0.505299750599177	m:0.49470024940082297
如果他知道她害了自己,那么道她害了	f:0.48950444758228434	m:0.5104955524177157
如果他觉得她对自己没信心,那么得她对自己没	f:0.500563051313577	m:0.49943694868642285
如果他认为她的骄傲害了自己,那么为她的骄傲害了	f:0.4994574354297124	m:0.5005425645702876
如果他知道她告诉过他有关自己的工作,那么道她告诉过他有关自己的	f:0.4996288335341548	m:0.5003711664658452
如果他说她跟他谈过自己的事,那么她跟他谈过自己	f:0.5013793059561051	m:0.4986206940438949
如果他认为她从他那里听说了自己的分数,那么为她从他那里听说了自己的	f:0.49970990473574595	m:0.500290095264254
如果他知道她在他家洗自己的照片,那么道她在他家洗自己的	f:0.49985507433708565	m:0.5001449256629145
如果他不喜欢她管自己的事,那么喜欢她管自己	f:0.499037839262944	m:0.5009621607370561
如果他知道她的报告害了自己,那么道她的报告害了	f:0.4732035494621672	m:0.5267964505378329
如果他的话暗示她的信害了自己,那么话暗示她的信害了	f:0.5044979222255473	m:0.49550207777445265
如果他认为她恨自己,那么为她恨	f:0.5008057944951091	m:0.4991942055048909
如果他说她喜欢自己,那么她喜欢	f:0.49581224892532805	m:0.504187751074672
如果他告诉别人她觉得自己明年可以考进好大学,那么诉别人她觉得自己明年可以考进好	f:0.499144938982223	m:0.500855061017777
如果他说她批评了自己,那么她批评了	f:0.49771676123246167	m:0.5022832387675383
如果他觉得她在批评自己,那么得她在批评	f:0.5046016168727252	m:0.4953983831272747
如果他认为她知道自己的朋友是一个好人,那么为她知道自己的朋友是一个	f:0.5002039028218603	m:0.49979609717813966
如果他觉得她不喜欢自己,那么得她不喜欢	f:0.49006541313325386	m:0.5099345868667461
