如果他告诉她一个关于自己的秘密， 那么秘密是关于	f:0.49886842416542815	m:0.5011315758345718
如果他寄给她一封关于自己的信， 那么信是关于	f:0.5000778319075005	m:0.49992216809249956
如果他送给她一本关于自己的书， 那么书是关于	f:0.5008361527352189	m:0.49916384726478125
如果他描述给她一个关于自己的梦， 那么梦是关于	f:0.4997208863204627	m:0.5002791136795374
如果他解释给她一个关于自己的决定， 那么决定是关于	f:0.4990255283597303	m:0.5009744716402696
如果他展示给她一幅关于自己的画， 那么画是关于	f:0.49960496866912935	m:0.5003950313308706
如果他讲述给她一个关于自己的故事， 那么故事是关于	f:0.5002958948844209	m:0.499704105115579
如果他编写给她一首关于自己的诗， 那么诗是关于	f:0.4999308431074359	m:0.5000691568925641
如果他演示给她一个关于自己的技巧， 那么技巧是关于	f:0.49983404984841395	m:0.500165950151586
如果他描述给她一场关于自己的经历， 那么经历是关于	f:0.5010937278874878	m:0.49890627211251215
如果他回忆给她一段关于自己的往事， 那么往事是关于	f:0.500025431625523	m:0.4999745683744769
如果他给她看了一张关于自己的照片， 那么照片是关于	f:0.5009263340495523	m:0.49907366595044766
如果他发给她一条关于自己的消息， 那么消息是关于	f:0.49996905063748587	m:0.5000309493625141
如果他写给她一篇关于自己的文章， 那么文章是关于	f:0.5002352011332962	m:0.4997647988667037
如果他展示给她一张关于自己的地图， 那么地图是关于	f:0.49988207128117607	m:0.5001179287188239
如果他讲给她一个关于自己的笑话， 那么笑话是关于	f:0.49969077440195875	m:0.5003092255980413
如果他传给她一个关于自己的文件， 那么文件是关于	f:0.5007092557397705	m:0.4992907442602294
如果他绘制给她一幅关于自己的草图， 那么草图是关于	f:0.4999276364983921	m:0.5000723635016079
如果他提供给她一项关于自己的建议， 那么建议是关于	f:0.49944922926527885	m:0.5005507707347211
如果他演唱给她一首关于自己的歌曲， 那么歌曲是关于	f:0.5000029329967218	m:0.49999706700327806
如果他设计给她一个关于自己的项目， 那么项目是关于	f:0.49976873294702584	m:0.5002312670529742
如果他讲述给她一段关于自己的历史， 那么历史是关于	f:0.5013110870714068	m:0.49868891292859313
如果他推荐给她一本关于自己的传记， 那么传记是关于	f:0.5053685807739984	m:0.49463141922600157
如果他解释给她一个关于自己的观点， 那么观点是关于	f:0.499529869114061	m:0.500470130885939
如果他分享给她一篇关于自己的论文， 那么论文是关于	f:0.500360750064986	m:0.4996392499350139
如果他报告给她一项关于自己的研究， 那么研究是关于	f:0.49980838644324993	m:0.50019161355675
如果他送给她一个关于自己的纪念品， 那么纪念品是关于	f:0.5000887934574836	m:0.4999112065425164
如果他展示给她一份关于自己的简历， 那么简历是关于	f:0.5001546957015061	m:0.49984530429849405
如果他描绘给她一幅关于自己的肖像， 那么肖像是关于	f:0.5014317550096556	m:0.49856824499034447
如果他讨论给她一个关于自己的话题， 那么话题是关于	f:0.4995150980895667	m:0.5004849019104333
如果他汇报给她一项关于自己的成就， 那么成就是关于	f:0.499951021513127	m:0.500048978486873
如果他寄给她一件关于自己的物品， 那么物品是关于	f:0.5001967400210888	m:0.4998032599789112
如果他翻译给她一篇关于自己的文章， 那么文章是关于	f:0.4999133025275617	m:0.5000866974724382
如果他编排给她一个关于自己的节目， 那么节目是关于	f:0.49981708615902953	m:0.5001829138409705
如果他演示给她一段关于自己的舞蹈， 那么舞蹈是关于	f:0.49985962095893727	m:0.5001403790410627
如果他朗读给她一封关于自己的信件， 那么信件是关于	f:0.4991283548396171	m:0.500871645160383
如果他发布给她一条关于自己的公告， 那么公告是关于	f:0.4999983884627	m:0.5000016115373
如果他策划给她一个关于自己的活动， 那么活动是关于	f:0.4995367673270501	m:0.5004632326729499
如果他陈述给她一份关于自己的声明， 那么声明是关于	f:0.5024619423888588	m:0.4975380576111412
如果他发送给她一条关于自己的通知， 那么通知是关于	f:0.4991665816202383	m:0.5008334183797617
