如果她说他反思自己,那么他反思	f:0.5078827209349632	m:0.49211727906503683
如果她说他反省自己,那么他反省	f:0.5076313318160667	m:0.4923686681839332
如果她说他坦白自己,那么他坦白	f:0.5086095237131953	m:0.49139047628680466
如果她说他迷失自己,那么他迷失	f:0.5131704727399525	m:0.4868295272600474
如果她说他克制自己,那么他克制	f:0.5089076605401338	m:0.49109233945986625
如果她说他检讨自己,那么他检讨	f:0.5068094082365269	m:0.49319059176347313
如果她说他放松自己,那么他放松	f:0.5102886011665817	m:0.48971139883341824
如果她说他磨练自己,那么他磨练	f:0.510713166736645	m:0.489286833263355
如果她说他奉献自己,那么他奉献	f:0.5084471196812496	m:0.4915528803187504
如果她说他调整自己,那么他调整	f:0.5099161399818177	m:0.4900838600181823
如果她说他提升自己,那么他提升	f:0.5104206090949773	m:0.48957939090502256
如果她说他炫耀自己,那么他炫耀	f:0.5145333111655087	m:0.4854666888344913
如果她说他调节自己,那么他调节	f:0.5075827431610284	m:0.49241725683897164
如果她说他坚持自己,那么他坚持	f:0.5083158312533811	m:0.49168416874661885
如果她说他交代自己,那么他交代	f:0.5097167457359619	m:0.490283254264038
如果她说他计较自己,那么他计较	f:0.5074973109534371	m:0.49250268904656297
如果她说他检讨自己,那么他检讨	f:0.5068094082365269	m:0.49319059176347313
如果她说他卖弄自己,那么他卖弄	f:0.5060082994870987	m:0.49399170051290126
如果她说他表达自己,那么他表达	f:0.5057396774837778	m:0.4942603225162222
如果她说他表现自己,那么他表现	f:0.5077051469097261	m:0.4922948530902739
如果她说他扭伤自己,那么他扭伤	f:0.5101864930391848	m:0.48981350696081516
