如果她告诉他一个关于自己的秘密， 那么秘密是关于	f:0.5047158401299016	m:0.49528415987009833
如果她寄给他一封关于自己的信， 那么信是关于	f:0.5051572760393289	m:0.4948427239606711
如果她送给他一本关于自己的书， 那么书是关于	f:0.5055006356754989	m:0.4944993643245012
如果她描述给他一个关于自己的梦， 那么梦是关于	f:0.504303008659444	m:0.49569699134055595
如果她解释给他一个关于自己的决定， 那么决定是关于	f:0.5032399856072157	m:0.49676001439278433
如果她展示给他一幅关于自己的画， 那么画是关于	f:0.5032479466249176	m:0.4967520533750824
如果她讲述给他一个关于自己的故事， 那么故事是关于	f:0.5045014795896507	m:0.4954985204103492
如果她编写给他一首关于自己的诗， 那么诗是关于	f:0.5024714665019823	m:0.49752853349801773
如果她演示给他一个关于自己的技巧， 那么技巧是关于	f:0.5030846250988867	m:0.49691537490111326
如果她描述给他一场关于自己的经历， 那么经历是关于	f:0.5052421073236184	m:0.49475789267638154
如果她回忆给他一段关于自己的往事， 那么往事是关于	f:0.5047132206688242	m:0.4952867793311758
如果她给他看了一张关于自己的照片， 那么照片是关于	f:0.5044502077551699	m:0.4955497922448301
如果她发给他一条关于自己的消息， 那么消息是关于	f:0.5046648450443364	m:0.49533515495566366
如果她写给他一篇关于自己的文章， 那么文章是关于	f:0.5058911925376449	m:0.4941088074623551
如果她展示给他一张关于自己的地图， 那么地图是关于	f:0.5023464126906949	m:0.4976535873093052
如果她讲给他一个关于自己的笑话， 那么笑话是关于	f:0.5096247738667884	m:0.49037522613321155
如果她传给他一个关于自己的文件， 那么文件是关于	f:0.50274199699954	m:0.4972580030004599
如果她绘制给他一幅关于自己的草图， 那么草图是关于	f:0.5020346874979437	m:0.4979653125020564
如果她提供给他一项关于自己的建议， 那么建议是关于	f:0.5017785923915404	m:0.4982214076084595
如果她演唱给他一首关于自己的歌曲， 那么歌曲是关于	f:0.5026852725691624	m:0.4973147274308376
如果她设计给他一个关于自己的项目， 那么项目是关于	f:0.5021648306050616	m:0.4978351693949384
如果她讲述给他一段关于自己的历史， 那么历史是关于	f:0.5050362177331094	m:0.49496378226689064
如果她推荐给他一本关于自己的传记， 那么传记是关于	f:0.5030940033047011	m:0.49690599669529895
如果她解释给他一个关于自己的观点， 那么观点是关于	f:0.5023834381046988	m:0.4976165618953012
如果她分享给他一篇关于自己的论文， 那么论文是关于	f:0.5017863804193833	m:0.49821361958061666
如果她报告给他一项关于自己的研究， 那么研究是关于	f:0.5016915066015215	m:0.4983084933984785
如果她送给他一个关于自己的纪念品， 那么纪念品是关于	f:0.5045314373848501	m:0.49546856261514993
如果她展示给他一份关于自己的简历， 那么简历是关于	f:0.5032723494984824	m:0.49672765050151757
如果她描绘给他一幅关于自己的肖像， 那么肖像是关于	f:0.5037133524352497	m:0.49628664756475016
如果她讨论给他一个关于自己的话题， 那么话题是关于	f:0.5027815450463061	m:0.4972184549536939
如果她汇报给他一项关于自己的成就， 那么成就是关于	f:0.5038798615046642	m:0.4961201384953358
如果她寄给他一件关于自己的物品， 那么物品是关于	f:0.5050864724534726	m:0.49491352754652745
如果她翻译给他一篇关于自己的文章， 那么文章是关于	f:0.5021671735940664	m:0.4978328264059337
如果她编排给他一个关于自己的节目， 那么节目是关于	f:0.5025682655950172	m:0.4974317344049828
如果她演示给他一段关于自己的舞蹈， 那么舞蹈是关于	f:0.5030680599421141	m:0.4969319400578858
如果她朗读给他一封关于自己的信件， 那么信件是关于	f:0.501855407939749	m:0.4981445920602509
如果她发布给他一条关于自己的公告， 那么公告是关于	f:0.5021750958856862	m:0.49782490411431374
如果她策划给他一个关于自己的活动， 那么活动是关于	f:0.5018199405993263	m:0.49818005940067367
如果她陈述给他一份关于自己的声明， 那么声明是关于	f:0.5035908631024999	m:0.4964091368975001
如果她发送给他一条关于自己的通知， 那么通知是关于	f:0.5023724570121886	m:0.49762754298781153
