如果他告诉她一个关于自己的秘密， 那么秘密是关于	f:0.5039822693994589	m:0.49601773060054116
如果他寄给她一封关于自己的信， 那么信是关于	f:0.5019305074350281	m:0.4980694925649718
如果他送给她一本关于自己的书， 那么书是关于	f:0.5029402174844134	m:0.4970597825155866
如果他描述给她一个关于自己的梦， 那么梦是关于	f:0.5056406431083249	m:0.4943593568916751
如果他解释给她一个关于自己的决定， 那么决定是关于	f:0.5027556050737017	m:0.49724439492629835
如果他展示给她一幅关于自己的画， 那么画是关于	f:0.5033831611490726	m:0.49661683885092756
如果他讲述给她一个关于自己的故事， 那么故事是关于	f:0.5038904447064125	m:0.49610955529358747
如果他编写给她一首关于自己的诗， 那么诗是关于	f:0.5030625567892386	m:0.49693744321076133
如果他演示给她一个关于自己的技巧， 那么技巧是关于	f:0.5035358031981613	m:0.49646419680183873
如果他描述给她一场关于自己的经历， 那么经历是关于	f:0.5038379527972354	m:0.4961620472027646
如果他回忆给她一段关于自己的往事， 那么往事是关于	f:0.5026044547159659	m:0.49739554528403407
如果他给她看了一张关于自己的照片， 那么照片是关于	f:0.5007992787463329	m:0.49920072125366716
如果他发给她一条关于自己的消息， 那么消息是关于	f:0.5018551893147849	m:0.49814481068521516
如果他写给她一篇关于自己的文章， 那么文章是关于	f:0.5053892130017426	m:0.4946107869982574
如果他展示给她一张关于自己的地图， 那么地图是关于	f:0.5017140969655397	m:0.49828590303446035
如果他讲给她一个关于自己的笑话， 那么笑话是关于	f:0.5099666391377041	m:0.4900333608622958
如果他传给她一个关于自己的文件， 那么文件是关于	f:0.5031987765828511	m:0.4968012234171489
如果他绘制给她一幅关于自己的草图， 那么草图是关于	f:0.5024885261074074	m:0.49751147389259254
如果他提供给她一项关于自己的建议， 那么建议是关于	f:0.500093821202235	m:0.49990617879776506
如果他演唱给她一首关于自己的歌曲， 那么歌曲是关于	f:0.5023924752782029	m:0.4976075247217971
如果他设计给她一个关于自己的项目， 那么项目是关于	f:0.5014566558064115	m:0.4985433441935884
如果他讲述给她一段关于自己的历史， 那么历史是关于	f:0.5052114807518785	m:0.49478851924812145
如果他推荐给她一本关于自己的传记， 那么传记是关于	f:0.5010302906127297	m:0.4989697093872703
如果他解释给她一个关于自己的观点， 那么观点是关于	f:0.5026770938712897	m:0.49732290612871033
如果他分享给她一篇关于自己的论文， 那么论文是关于	f:0.5002766263505394	m:0.4997233736494606
如果他报告给她一项关于自己的研究， 那么研究是关于	f:0.5006980427545953	m:0.49930195724540477
如果他送给她一个关于自己的纪念品， 那么纪念品是关于	f:0.5007356561767071	m:0.49926434382329277
如果他展示给她一份关于自己的简历， 那么简历是关于	f:0.5016496091367217	m:0.49835039086327826
如果他描绘给她一幅关于自己的肖像， 那么肖像是关于	f:0.5031495649784972	m:0.4968504350215028
如果他讨论给她一个关于自己的话题， 那么话题是关于	f:0.5028435845333977	m:0.49715641546660233
如果他汇报给她一项关于自己的成就， 那么成就是关于	f:0.5016089927279093	m:0.49839100727209074
如果他寄给她一件关于自己的物品， 那么物品是关于	f:0.5025696887929628	m:0.4974303112070372
如果他翻译给她一篇关于自己的文章， 那么文章是关于	f:0.5032596424933903	m:0.4967403575066096
如果他编排给她一个关于自己的节目， 那么节目是关于	f:0.5030037960480277	m:0.49699620395197236
如果他演示给她一段关于自己的舞蹈， 那么舞蹈是关于	f:0.5030115987354533	m:0.4969884012645467
如果他朗读给她一封关于自己的信件， 那么信件是关于	f:0.5016131836359828	m:0.4983868163640172
如果他发布给她一条关于自己的公告， 那么公告是关于	f:0.5004568500919188	m:0.4995431499080813
如果他策划给她一个关于自己的活动， 那么活动是关于	f:0.5009036664907014	m:0.49909633350929866
如果他陈述给她一份关于自己的声明， 那么声明是关于	f:0.5021229257595703	m:0.49787707424042965
如果他发送给她一条关于自己的通知， 那么通知是关于	f:0.4998361480015311	m:0.500163851998469
